,Rank,Name,G,TD,FG,1XP,2XP,Safety,Points,Points/G
0,1,Mississippi,13,24,13,23,0,1,208,16.0
1,2,Stanford,13,26,11,24,0,0,213,16.4
2,3,Clemson,13,27,11,22,0,0,217,16.7
3,4,Temple,12,24,14,24,0,0,210,17.5
4,4,LSU,13,27,13,27,0,0,228,17.5
5,6,Alabama,14,27,23,23,2,0,258,18.4
6,7,Penn State,13,27,18,24,0,1,242,18.6
7,8,TCU,13,28,17,26,1,0,247,19.0
8,9,UCF,13,29,16,27,0,0,249,19.2
9,9,Arkansas,13,33,6,32,1,0,250,19.2
10,11,Memphis,13,32,10,29,1,0,253,19.5
11,12,Utah State,14,33,15,31,0,1,276,19.7
12,13,San Diego State,13,33,9,33,0,0,258,19.8
13,14,Virginia Tech,13,30,18,28,0,0,262,20.2
14,15,Houston,13,33,11,33,0,2,268,20.6
15,16,Georgia,13,36,7,30,1,0,269,20.7
16,17,Wisconsin,14,35,15,32,2,0,291,20.8
17,18,Marshall,14,36,15,31,1,0,294,21.0
18,19,Florida,12,30,15,26,1,0,253,21.1
19,19,Missouri,14,36,14,33,2,0,295,21.1
20,21,Boston College,13,34,13,34,0,0,277,21.3
21,22,Michigan State,13,36,9,31,3,0,280,21.5
22,23,Mississippi State,13,35,13,31,0,1,282,21.7
23,24,Louisville,13,31,23,26,1,0,283,21.8
24,24,Duke,13,34,17,28,0,0,283,21.8
25,26,Ohio State,15,43,10,42,0,0,330,22.0
26,27,Michigan,12,31,18,29,0,0,269,22.4
27,28,Akron,12,35,13,28,0,0,277,23.1
28,29,Kansas State,13,39,11,34,0,0,301,23.2
29,30,Georgia Southern,12,37,8,31,2,0,281,23.4
30,31,Oregon,15,43,18,38,1,1,354,23.6
31,32,Texas,13,39,13,37,0,0,310,23.8
32,33,Virginia,12,36,13,34,0,0,289,24.1
33,34,Air Force,13,39,14,38,0,0,314,24.2
34,34,Minnesota,13,40,12,38,0,0,314,24.2
35,34,Tennessee,13,41,11,36,0,0,315,24.2
36,37,Syracuse,12,33,19,31,1,2,292,24.3
37,37,Miami (Florida),13,40,13,37,0,0,316,24.3
38,39,Louisiana Tech,14,41,21,37,0,0,346,24.7
39,40,Florida International,12,37,12,36,0,2,298,24.8
40,40,Ohio,12,38,11,37,0,0,298,24.8
41,40,Washington,14,41,20,39,0,1,347,24.8
