,Rank,Name,G,Pen.,Yards,Pen./G,Yards/G
0,1,Navy,13,33,324,2.5,24.9
1,2,Iowa,13,46,384,3.5,29.5
2,3,Michigan,12,42,381,3.5,31.8
3,4,Arizona State,13,58,421,4.5,32.4
4,5,New Mexico State,12,57,407,4.8,33.9
5,6,Tennessee,13,54,444,4.2,34.2
6,7,Clemson,13,52,450,4.0,34.6
7,8,Air Force,13,46,460,3.5,35.4
8,8,Louisiana-Monroe,12,53,425,4.4,35.4
9,10,Army,12,49,435,4.1,36.3
10,11,Old Dominion,12,44,439,3.7,36.6
11,11,San Jose State,12,52,439,4.3,36.6
12,13,Notre Dame,13,58,487,4.5,37.5
13,14,Boston College,13,58,498,4.5,38.3
14,15,Duke,13,64,503,4.9,38.7
15,16,Fresno State,14,59,546,4.2,39.0
16,17,Kansas State,13,57,511,4.4,39.3
17,18,Florida Atlantic,12,51,474,4.3,39.5
18,18,UTEP,13,65,514,5.0,39.5
19,18,Mississippi State,13,67,513,5.2,39.5
20,21,Louisiana Tech,14,69,555,4.9,39.6
21,22,Alabama,14,69,562,4.9,40.1
22,23,Georgia,13,65,527,5.0,40.5
23,24,Louisiana-Lafayette,13,65,529,5.0,40.7
24,25,Ball State,12,50,489,4.2,40.8
25,25,Iowa State,12,51,490,4.3,40.8
26,27,Georgia Tech,14,69,576,4.9,41.1
27,28,New Mexico,12,52,498,4.3,41.5
28,29,Cincinnati,13,59,542,4.5,41.7
29,30,North Carolina State,13,62,543,4.8,41.8
30,31,Rutgers,13,61,545,4.7,41.9
31,32,Mississippi,13,69,549,5.3,42.2
32,33,Georgia State,12,66,514,5.5,42.8
33,34,Purdue,12,60,518,5.0,43.2
34,35,Wyoming,12,63,520,5.3,43.3
35,36,Wisconsin,14,65,607,4.6,43.4
36,37,Northwestern,12,61,522,5.1,43.5
37,38,Arkansas,13,68,581,5.2,44.7
38,39,Georgia Southern,12,57,550,4.8,45.8
39,39,LSU,13,71,595,5.5,45.8
40,41,Penn State,13,75,600,5.8,46.2
41,42,Minnesota,13,69,605,5.3,46.5
42,42,Central Michigan,13,70,604,5.4,46.5
43,44,South Carolina,13,70,606,5.4,46.6
44,45,Ohio State,15,84,711,5.6,47.4
45,46,Wake Forest,12,60,574,5.0,47.8
46,47,Stanford,13,75,630,5.8,48.5
47,48,Florida State,14,88,683,6.3,48.8
48,49,Hawai'i,13,80,640,6.2,49.2
49,50,Louisville,13,90,641,6.9,49.3
50,51,Nevada,13,73,646,5.6,49.7
51,52,Oklahoma,13,70,648,5.4,49.8
52,52,Eastern Michigan,12,69,598,5.8,49.8
53,54,North Texas,12,63,603,5.3,50.3
54,54,Kentucky,12,66,604,5.5,50.3
55,56,Nebraska,13,75,655,5.8,50.4
56,57,Texas A&M,13,68,663,5.2,51.0
57,58,Texas,13,77,664,5.9,51.1
58,59,Western Michigan,13,69,665,5.3,51.2
59,60,Massachusetts,12,73,617,6.1,51.4
60,61,Toledo,13,78,669,6.0,51.5
61,61,Illinois,13,79,669,6.1,51.5
62,63,Maryland,13,77,677,5.9,52.1
63,64,Kent State,11,65,574,5.9,52.2
64,65,Vanderbilt,12,73,630,6.1,52.5
65,66,SMU,12,74,632,6.2,52.7
66,67,San Diego State,13,77,694,5.9,53.4
67,68,Buffalo,11,58,588,5.3,53.5
68,68,Rice,13,77,695,5.9,53.5
69,68,Pittsburgh,13,83,695,6.4,53.5
70,71,Oklahoma State,13,79,700,6.1,53.8
71,72,UNLV,13,80,701,6.2,53.9
72,73,Utah,13,77,702,5.9,54.0
73,73,Ohio,12,72,648,6.0,54.0
74,75,Temple,12,78,653,6.5,54.4
75,76,UCF,13,76,711,5.8,54.7
76,77,Colorado State,13,72,713,5.5,54.8
77,78,South Alabama,13,81,717,6.2,55.2
78,79,Kansas,12,76,669,6.3,55.8
79,80,Florida International,12,84,673,7.0,56.1
80,81,UAB,12,77,674,6.4,56.2
81,82,Northern Illinois,14,82,794,5.9,56.7
82,83,Western Kentucky,13,76,743,5.8,57.2
83,83,Boise State,14,92,801,6.6,57.2
84,85,TCU,13,82,752,6.3,57.8
85,85,Virginia,12,78,693,6.5,57.8
86,87,Michigan State,13,80,754,6.2,58.0
87,88,West Virginia,13,85,757,6.5,58.2
88,88,Missouri,14,102,815,7.3,58.2
89,90,Connecticut,12,74,708,6.2,59.0
90,90,Texas State,12,75,708,6.3,59.0
91,92,Memphis,13,81,770,6.2,59.2
92,92,Middle Tennessee,12,78,710,6.5,59.2
93,92,Florida,12,80,710,6.7,59.2
94,92,Virginia Tech,13,98,770,7.5,59.2
95,96,Houston,13,84,771,6.5,59.3
96,97,Troy,12,74,717,6.2,59.8
97,97,Syracuse,12,86,717,7.2,59.8
98,99,South Florida,12,75,728,6.3,60.7
99,99,Indiana,12,78,728,6.5,60.7
100,101,Southern Mississippi,12,77,731,6.4,60.9
101,102,Miami (Ohio),12,95,739,7.9,61.6
102,103,Washington,14,98,865,7.0,61.8
103,104,Bowling Green,14,110,872,7.9,62.3
104,105,Arizona,14,92,881,6.6,62.9
105,105,Appalachian State,12,88,755,7.3,62.9
106,107,North Carolina,13,99,821,7.6,63.2
107,108,Miami (Florida),13,93,827,7.2,63.6
108,109,Tulsa,12,78,768,6.5,64.0
109,110,Utah State,14,101,918,7.2,65.6
110,111,UTSA,12,85,789,7.1,65.8
111,112,Idaho,11,75,727,6.8,66.1
112,113,Washington State,12,94,812,7.8,67.7
113,114,Colorado,12,86,822,7.2,68.5
114,115,Auburn,13,92,896,7.1,68.9
115,116,Arkansas State,13,104,905,8.0,69.6
116,117,Tulane,12,90,841,7.5,70.1
117,118,Akron,12,101,870,8.4,72.5
118,119,Oregon,15,123,1095,8.2,73.0
119,120,UCLA,13,104,979,8.0,75.3
120,121,East Carolina,13,109,1004,8.4,77.2
121,122,USC,13,115,1023,8.8,78.7
122,123,Oregon State,12,107,958,8.9,79.8
123,124,Marshall,14,119,1124,8.5,80.3
124,125,BYU,13,110,1053,8.5,81.0
125,126,California,12,107,987,8.9,82.3
126,127,Baylor,13,127,1149,9.8,88.4
127,128,Texas Tech,12,112,1070,9.3,89.2
