,Rank,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
0,1,Baylor,13,2802,4757,1138,7559,6.64,581.5
1,2,Marshall,14,3807,4022,1032,7829,7.59,559.2
2,3,Oregon,15,3518,4687,1118,8205,7.34,547.0
3,4,Western Kentucky,13,2084,4866,986,6950,7.05,534.6
4,5,TCU,13,2689,4240,1038,6929,6.68,533.0
5,5,East Carolina,13,2094,4835,1070,6929,6.48,533.0
6,7,Washington State,12,478,5732,1014,6210,6.12,517.5
7,8,Mississippi State,13,3030,3649,1001,6679,6.67,513.8
8,9,Ohio State,15,3967,3707,1099,7674,6.98,511.6
9,10,Texas Tech,12,1836,4213,914,6049,6.62,504.1
10,11,Michigan State,13,3057,3453,994,6510,6.55,500.8
11,12,West Virginia,13,2376,4121,1097,6497,5.92,499.8
12,13,California,12,1790,4152,975,5942,6.09,495.2
13,14,Boise State,14,2994,3926,1060,6920,6.53,494.3
14,15,Toledo,13,3333,3044,973,6377,6.55,490.5
15,16,Georgia Southern,12,4559,1286,796,5845,7.34,487.1
16,17,Auburn,13,3321,2984,939,6305,6.71,485.0
17,18,Alabama,14,2893,3890,1018,6783,6.66,484.5
18,19,Colorado State,13,2071,4181,882,6252,7.09,480.9
19,20,Georgia Tech,14,4789,1882,993,6671,6.72,476.5
20,20,Arkansas State,13,2813,3381,1024,6194,6.05,476.5
21,22,Wisconsin,14,4482,2082,970,6564,6.77,468.9
22,23,UCLA,13,2724,3358,992,6082,6.13,467.8
23,24,Oklahoma,13,3395,2646,943,6041,6.41,464.7
24,25,Texas State,12,2862,2711,920,5573,6.06,464.4
25,26,Arizona,14,2546,3945,1139,6491,5.70,463.6
26,27,Appalachian State,12,2901,2637,877,5538,6.31,461.5
27,28,BYU,13,2363,3623,1050,5986,5.70,460.5
28,29,Cincinnati,13,2035,3947,945,5982,6.33,460.2
29,30,Georgia,13,3352,2599,877,5951,6.79,457.8
30,31,USC,13,2092,3856,984,5948,6.04,457.5
31,32,Texas A&M,13,1949,3971,935,5920,6.33,455.4
32,33,Nebraska,13,3123,2757,946,5880,6.22,452.3
33,34,Notre Dame,13,2073,3711,947,5784,6.11,444.9
34,35,South Carolina,13,2093,3671,947,5764,6.09,443.4
35,36,Arizona State,13,2194,3556,975,5750,5.90,442.3
36,37,Old Dominion,12,1793,3510,823,5303,6.44,441.9
37,38,Florida State,14,1933,4246,967,6179,6.39,441.4
38,39,Northern Illinois,14,3488,2689,1073,6177,5.76,441.2
39,40,Colorado,12,1855,3415,996,5270,5.29,439.2
40,41,Western Michigan,13,2221,3475,875,5696,6.51,438.2
41,41,Buffalo,11,1965,2855,810,4820,5.95,438.2
42,43,Pittsburgh,13,3243,2417,918,5660,6.17,435.4
43,44,Bowling Green,14,2422,3639,1103,6061,5.50,432.9
