,Rank,Name,G,Att,Yards,Avg.,TD,Att/G,Yards/G
0,1,Michigan State,13,363,1150,3.17,18,27.92,88.46
1,2,Boston College,13,399,1228,3.08,14,30.69,94.46
2,3,Penn State,13,443,1306,2.95,14,34.08,100.46
3,4,Alabama,14,452,1434,3.17,5,32.29,102.43
4,5,Clemson,13,453,1344,2.97,11,34.85,103.38
5,6,UCF,13,428,1356,3.17,10,32.92,104.31
6,7,Stanford,13,443,1358,3.07,12,34.08,104.46
7,8,Oklahoma,13,458,1383,3.02,15,35.23,106.38
8,9,TCU,13,508,1414,2.78,9,39.08,108.77
9,10,Louisville,13,435,1416,3.26,12,33.46,108.92
10,11,East Carolina,13,437,1453,3.32,16,33.62,111.77
11,12,Arkansas,13,429,1490,3.47,11,33.00,114.62
12,13,Florida,12,440,1394,3.17,10,36.67,116.17
13,14,Toledo,13,431,1511,3.51,13,33.15,116.23
14,15,Michigan,12,440,1412,3.21,13,36.67,117.67
15,16,Baylor,13,485,1530,3.15,17,37.31,117.69
16,17,Louisiana Tech,14,500,1655,3.31,19,35.71,118.21
17,18,Virginia,12,431,1448,3.36,11,35.92,120.67
18,19,Memphis,13,465,1580,3.40,16,35.77,121.54
19,20,BYU,13,483,1584,3.28,19,37.15,121.85
20,21,Central Michigan,13,426,1598,3.75,15,32.77,122.92
21,22,Washington,14,529,1737,3.28,14,37.79,124.07
22,23,Wisconsin,14,492,1765,3.59,19,35.14,126.07
23,24,Utah State,14,558,1830,3.28,16,39.86,130.71
24,25,Ohio,12,414,1595,3.85,13,34.50,132.92
25,26,Missouri,14,531,1865,3.51,18,37.93,133.21
26,27,USC,13,453,1734,3.83,20,34.85,133.38
27,28,Air Force,13,461,1763,3.82,17,35.46,135.62
28,29,Mississippi,13,513,1780,3.47,9,39.46,136.92
29,30,Miami (Florida),13,498,1782,3.58,21,38.31,137.08
30,31,Syracuse,12,493,1671,3.39,9,41.08,139.25
31,32,UTSA,12,471,1682,3.57,14,39.25,140.17
32,33,Kansas State,13,440,1824,4.15,17,33.85,140.31
33,34,Ohio State,15,537,2120,3.95,24,35.80,141.33
34,35,Louisiana-Lafayette,13,455,1849,4.06,21,35.00,142.23
35,36,Boise State,14,516,1996,3.87,24,36.86,142.57
36,37,Houston,13,503,1863,3.70,18,38.69,143.31
37,38,California,12,436,1735,3.98,19,36.33,144.58
38,39,Virginia Tech,13,484,1882,3.89,15,37.23,144.77
39,40,Washington State,12,430,1748,4.07,18,35.83,145.67
40,41,Utah,13,507,1909,3.77,12,39.00,146.85
41,42,UCLA,13,505,1923,3.81,19,38.85,147.92
42,43,Akron,12,457,1783,3.90,14,38.08,148.58
43,44,Mississippi State,13,471,1970,4.18,17,36.23,151.54
44,45,Appalachian State,12,430,1828,4.25,21,35.83,152.33
45,46,Rice,13,460,1983,4.31,19,35.38,152.54
46,47,LSU,13,460,1985,4.32,16,35.38,152.69
47,48,Western Michigan,13,470,1996,4.25,19,36.15,153.54
48,49,Georgia Southern,12,432,1844,4.27,19,36.00,153.67
49,50,San Diego State,13,522,2001,3.83,22,40.15,153.92
50,51,Arizona State,13,511,2046,4.00,17,39.31,157.38
51,52,Tulane,12,447,1895,4.24,16,37.25,157.92
52,53,Oregon State,12,412,1898,4.61,24,34.33,158.17
53,54,Temple,12,509,1922,3.78,12,42.42,160.17
54,55,Marshall,14,590,2243,3.80,15,42.14,160.21
55,56,Florida International,12,474,1925,4.06,18,39.50,160.42
56,57,Pittsburgh,13,465,2091,4.50,26,35.77,160.85
57,58,North Texas,12,447,1941,4.34,22,37.25,161.75
58,59,Oklahoma State,13,517,2117,4.09,24,39.77,162.85
59,60,Northern Illinois,14,541,2284,4.22,24,38.64,163.14
60,61,Texas,13,549,2136,3.89,17,42.23,164.31
61,62,Oregon,15,587,2481,4.23,22,39.13,165.40
62,63,Georgia,13,526,2169,4.12,23,40.46,166.85
63,64,Georgia Tech,14,463,2346,5.07,24,33.07,167.57
64,65,West Virginia,13,502,2186,4.35,20,38.62,168.15
65,66,Iowa,13,495,2188,4.42,19,38.08,168.31
66,67,North Carolina State,13,521,2189,4.20,21,40.08,168.38
67,67,Tennessee,13,515,2189,4.25,23,39.62,168.38
68,69,Auburn,13,493,2194,4.45,22,37.92,168.77
69,70,Arizona,14,581,2377,4.09,19,41.50,169.79
70,71,Connecticut,12,482,2038,4.23,18,40.17,169.83
71,72,Northwestern,12,481,2039,4.24,18,40.08,169.92
72,73,Florida State,14,573,2382,4.16,21,40.93,170.14
73,74,Notre Dame,13,525,2225,4.24,21,40.38,171.15
74,75,Hawai'i,13,537,2240,4.17,19,41.31,172.31
75,76,Minnesota,13,476,2271,4.77,18,36.62,174.69
76,77,UAB,12,474,2101,4.43,18,39.50,175.08
77,78,Buffalo,11,451,1927,4.27,29,41.00,175.18
78,79,UTEP,13,439,2299,5.24,26,33.77,176.85
79,80,Nebraska,13,488,2312,4.74,25,37.54,177.85
80,81,Nevada,13,488,2333,4.78,17,37.54,179.46
81,82,Middle Tennessee,12,505,2191,4.34,19,42.08,182.58
82,83,Wake Forest,12,501,2192,4.38,20,41.75,182.67
83,83,Indiana,12,450,2192,4.87,22,37.50,182.67
84,85,South Florida,12,487,2195,4.51,22,40.58,182.92
85,86,Louisiana-Monroe,12,507,2200,4.34,22,42.25,183.33
86,87,Cincinnati,13,501,2388,4.77,18,38.54,183.69
87,88,Vanderbilt,12,498,2205,4.43,23,41.50,183.75
88,89,South Alabama,13,541,2419,4.47,22,41.62,186.08
89,90,Ball State,12,475,2293,4.83,24,39.58,191.08
90,91,Kentucky,12,511,2294,4.49,20,42.58,191.17
91,92,Massachusetts,12,492,2301,4.68,23,41.00,191.75
92,93,Purdue,12,504,2305,4.57,27,42.00,192.08
93,94,Duke,13,564,2508,4.45,19,43.38,192.92
94,95,Army,12,436,2316,5.31,19,36.33,193.00
95,96,Navy,13,522,2582,4.95,18,40.15,198.62
96,97,Miami (Ohio),12,472,2399,5.08,24,39.33,199.92
97,98,Colorado State,13,529,2610,4.93,27,40.69,200.77
98,99,Maryland,13,584,2625,4.49,24,44.92,201.92
99,100,Fresno State,14,615,2827,4.60,24,43.93,201.93
100,101,Bowling Green,14,568,2830,4.98,37,40.57,202.14
101,102,Texas State,12,522,2434,4.66,21,43.50,202.83
102,103,Wyoming,12,465,2436,5.24,24,38.75,203.00
103,104,Colorado,12,437,2458,5.62,21,36.42,204.83
104,105,Arkansas State,13,565,2668,4.72,34,43.46,205.23
105,106,Kansas,12,466,2516,5.40,22,38.83,209.67
106,107,South Carolina,13,514,2759,5.37,29,39.54,212.23
107,108,Rutgers,13,499,2760,5.53,32,38.38,212.31
108,109,Kent State,11,492,2354,4.78,19,44.73,214.00
109,110,Tulsa,12,467,2576,5.52,30,38.92,214.67
110,111,Texas A&M,13,561,2808,5.01,23,43.15,216.00
111,112,Southern Mississippi,12,482,2596,5.39,28,40.17,216.33
112,113,Western Kentucky,13,576,2870,4.98,33,44.31,220.77
113,114,Florida Atlantic,12,483,2665,5.52,34,40.25,222.08
114,115,Old Dominion,12,552,2670,4.84,30,46.00,222.50
115,116,Eastern Michigan,12,513,2687,5.24,34,42.75,223.92
116,117,SMU,12,541,2829,5.23,32,45.08,235.75
117,118,Illinois,13,617,3109,5.04,31,47.46,239.15
118,119,San Jose State,12,536,2873,5.36,35,44.67,239.42
119,120,North Carolina,13,599,3126,5.22,33,46.08,240.46
120,121,Troy,12,521,2953,5.67,35,43.42,246.08
121,122,Idaho,11,482,2708,5.62,32,43.82,246.18
122,123,Iowa State,12,521,2955,5.67,35,43.42,246.25
123,124,Texas Tech,12,600,3114,5.19,36,50.00,259.50
124,125,New Mexico,12,554,3228,5.83,40,46.17,269.00
125,126,UNLV,13,677,3820,5.64,37,52.08,293.85
126,127,Georgia State,12,582,3641,6.26,41,48.50,303.42
127,128,New Mexico State,12,593,3705,6.25,40,49.42,308.75
