,Rank,Name,G,Punts,Yards,Avg.,Punts/G,Yards/G
0,1,Rutgers,13,56,2068,36.93,4.3,159.1
1,2,Temple,12,73,2706,37.07,6.1,225.5
2,3,San Jose State,12,51,1934,37.92,4.3,161.2
3,3,Northwestern,12,59,2237,37.92,4.9,186.4
4,5,Memphis,13,99,3773,38.11,7.6,290.2
5,6,California,12,56,2152,38.43,4.7,179.3
6,7,Army,12,36,1385,38.47,3.0,115.4
7,8,Middle Tennessee,12,58,2236,38.55,4.8,186.3
8,9,Appalachian State,12,56,2162,38.61,4.7,180.2
9,10,Connecticut,12,66,2557,38.74,5.5,213.1
10,11,Nebraska,13,90,3488,38.76,6.9,268.3
11,12,Central Michigan,13,58,2250,38.79,4.5,173.1
12,13,Michigan,12,65,2528,38.89,5.4,210.7
13,14,Cincinnati,13,60,2335,38.92,4.6,179.6
14,14,Marshall,14,93,3620,38.92,6.6,258.6
15,16,Iowa,13,79,3088,39.09,6.1,237.5
16,17,Old Dominion,12,41,1604,39.12,3.4,133.7
17,18,Illinois,13,63,2466,39.14,4.8,189.7
18,19,Oklahoma,13,89,3489,39.20,6.8,268.4
19,20,Georgia Tech,14,41,1608,39.22,2.9,114.9
20,21,Idaho,11,43,1693,39.37,3.9,153.9
21,21,Eastern Michigan,12,49,1929,39.37,4.1,160.8
22,23,Bowling Green,14,72,2837,39.40,5.1,202.6
23,24,Indiana,12,67,2648,39.52,5.6,220.7
24,25,Western Kentucky,13,43,1701,39.56,3.3,130.8
25,26,Maryland,13,67,2653,39.60,5.2,204.1
26,27,Akron,12,67,2655,39.63,5.6,221.3
27,28,SMU,12,37,1467,39.65,3.1,122.3
28,29,Toledo,13,68,2697,39.66,5.2,207.5
29,30,Arizona State,13,75,2976,39.68,5.8,228.9
30,30,UAB,12,76,3016,39.68,6.3,251.3
31,32,BYU,13,81,3221,39.77,6.2,247.8
32,33,Troy,12,38,1513,39.82,3.2,126.1
33,33,Western Michigan,13,71,2827,39.82,5.5,217.5
34,35,Air Force,13,68,2710,39.85,5.2,208.5
35,36,Louisiana Tech,14,72,2872,39.89,5.1,205.1
36,37,Minnesota,13,69,2754,39.91,5.3,211.8
37,38,South Carolina,13,52,2076,39.92,4.0,159.7
38,39,USC,13,77,3079,39.99,5.9,236.8
39,40,Tulsa,12,59,2364,40.07,4.9,197.0
40,41,Kansas State,13,68,2726,40.09,5.2,209.7
41,42,Georgia State,12,38,1525,40.13,3.2,127.1
42,43,Nevada,13,59,2370,40.17,4.5,182.3
43,43,Utah State,14,90,3615,40.17,6.4,258.2
44,45,Michigan State,13,77,3094,40.18,5.9,238.0
45,45,East Carolina,13,79,3174,40.18,6.1,244.2
46,47,Tulane,12,51,2050,40.20,4.3,170.8
47,48,North Texas,12,69,2783,40.33,5.8,231.9
48,49,Boston College,13,79,3187,40.34,6.1,245.2
49,50,Louisiana-Lafayette,13,58,2343,40.40,4.5,180.2
50,51,UNLV,13,63,2547,40.43,4.8,195.9
51,52,Texas State,12,65,2629,40.45,5.4,219.1
52,53,Oklahoma State,13,76,3079,40.51,5.8,236.8
53,54,Northern Illinois,14,76,3084,40.58,5.4,220.3
54,55,UCF,13,77,3127,40.61,5.9,240.5
55,55,Mississippi State,13,88,3574,40.61,6.8,274.9
56,57,Ball State,12,57,2316,40.63,4.8,193.0
57,58,Houston,13,69,2805,40.65,5.3,215.8
58,59,Texas,13,82,3334,40.66,6.3,256.5
59,60,Vanderbilt,12,52,2115,40.67,4.3,176.3
60,61,UTSA,12,69,2809,40.71,5.8,234.1
61,62,Kansas,12,56,2286,40.82,4.7,190.5
62,63,Baylor,13,82,3350,40.85,6.3,257.7
63,64,Texas A&M,13,69,2825,40.94,5.3,217.3
64,65,Wake Forest,12,62,2540,40.97,5.2,211.7
65,66,New Mexico,12,44,1803,40.98,3.7,150.3
66,67,San Diego State,13,69,2830,41.01,5.3,217.7
67,68,Southern Mississippi,12,49,2011,41.04,4.1,167.6
68,69,Massachusetts,12,56,2299,41.05,4.7,191.6
69,70,Hawai'i,13,82,3367,41.06,6.3,259.0
70,71,Ohio,12,66,2711,41.08,5.5,225.9
71,72,Tennessee,13,84,3454,41.12,6.5,265.7
72,73,Auburn,13,59,2427,41.14,4.5,186.7
73,74,Georgia Southern,12,53,2182,41.17,4.4,181.8
74,75,Notre Dame,13,55,2269,41.25,4.2,174.5
75,76,Kent State,11,54,2229,41.28,4.9,202.6
76,77,New Mexico State,12,52,2147,41.29,4.3,178.9
77,78,Rice,13,62,2561,41.31,4.8,197.0
78,79,Duke,13,63,2603,41.32,4.8,200.2
79,80,Georgia,13,74,3059,41.34,5.7,235.3
80,81,Penn State,13,84,3473,41.35,6.5,267.2
81,82,South Florida,12,58,2401,41.40,4.8,200.1
82,83,Missouri,14,83,3437,41.41,5.9,245.5
83,84,Florida,12,76,3148,41.42,6.3,262.3
84,85,Miami (Ohio),12,49,2032,41.47,4.1,169.3
85,86,Oregon State,12,58,2406,41.48,4.8,200.5
86,86,Miami (Florida),13,66,2738,41.48,5.1,210.6
87,88,LSU,13,90,3735,41.50,6.9,287.3
88,89,South Alabama,13,67,2782,41.52,5.2,214.0
89,90,North Carolina,13,61,2536,41.57,4.7,195.1
90,91,Louisiana-Monroe,12,74,3077,41.58,6.2,256.4
91,92,Arkansas State,13,81,3373,41.64,6.2,259.5
92,93,Kentucky,12,63,2625,41.67,5.3,218.8
93,94,Purdue,12,50,2087,41.74,4.2,173.9
94,95,UTEP,13,62,2589,41.76,4.8,199.2
95,96,Fresno State,14,76,3176,41.79,5.4,226.9
96,97,Buffalo,11,60,2508,41.80,5.5,228.0
97,98,Virginia,12,67,2807,41.90,5.6,233.9
98,99,Stanford,13,82,3437,41.91,6.3,264.4
99,100,West Virginia,13,91,3818,41.96,7.0,293.7
100,101,Colorado State,13,71,2981,41.99,5.5,229.3
101,102,North Carolina State,13,61,2565,42.05,4.7,197.3
102,103,Pittsburgh,13,69,2905,42.10,5.3,223.5
103,104,Louisville,13,79,3328,42.13,6.1,256.0
104,105,Utah,13,83,3512,42.31,6.4,270.2
105,106,Arizona,14,85,3598,42.33,6.1,257.0
106,107,Florida State,14,64,2712,42.38,4.6,193.7
107,108,Florida Atlantic,12,55,2332,42.40,4.6,194.3
108,109,Washington,14,70,2969,42.41,5.0,212.1
109,110,Ohio State,15,96,4078,42.48,6.4,271.9
110,111,Virginia Tech,13,83,3527,42.49,6.4,271.3
111,112,Florida International,12,65,2767,42.57,5.4,230.6
112,113,Navy,13,48,2046,42.63,3.7,157.4
113,114,Oregon,15,68,2906,42.74,4.5,193.7
114,115,Arkansas,13,66,2826,42.82,5.1,217.4
115,116,Iowa State,12,49,2106,42.98,4.1,175.5
116,117,Alabama,14,88,3790,43.07,6.3,270.7
117,118,Wisconsin,14,98,4222,43.08,7.0,301.6
118,119,Wyoming,12,51,2208,43.29,4.3,184.0
119,119,TCU,13,100,4329,43.29,7.7,333.0
120,121,Syracuse,12,63,2734,43.40,5.3,227.8
121,122,Colorado,12,64,2785,43.52,5.3,232.1
122,123,Mississippi,13,89,3878,43.57,6.8,298.3
123,124,Clemson,13,105,4580,43.62,8.1,352.3
124,125,Washington State,12,63,2752,43.68,5.3,229.3
125,126,Boise State,14,84,3672,43.71,6.0,262.3
126,127,Texas Tech,12,50,2186,43.72,4.2,182.2
127,128,UCLA,13,77,3452,44.83,5.9,265.5
