,Rank,Name,G,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Army,12,0,0,0,0,0,0,0,0
1,1,Baylor,13,0,0,0,0,0,0,0,0
2,1,Duke,13,0,0,0,0,0,0,0,0
3,1,Hawai'i,13,0,0,0,0,0,0,0,0
4,1,Massachusetts,12,0,0,0,0,0,0,0,0
5,1,Mississippi,13,0,0,0,0,0,0,0,0
6,1,Navy,13,0,0,0,0,0,0,0,0
7,1,Notre Dame,13,0,0,0,0,0,0,0,0
8,1,Oregon,15,0,0,0,0,0,0,0,0
9,1,TCU,13,0,0,0,0,0,0,0,0
10,1,Temple,12,0,0,0,0,0,0,0,0
11,1,Texas Tech,12,0,0,0,0,0,0,0,0
12,1,Utah State,14,0,0,0,0,0,0,0,0
13,1,Virginia Tech,13,0,0,0,0,0,0,0,0
14,1,Wake Forest,12,0,0,0,0,0,0,0,0
15,1,Washington,14,0,0,0,0,0,0,0,0
16,17,Air Force,13,1,1,0,0,0,0,0,0
17,17,Alabama,14,1,0,0,0,0,0,0,0
18,17,Arkansas,13,1,1,0,0,0,0,0,0
19,17,Boston College,13,1,1,0,0,0,0,0,0
20,17,Buffalo,11,1,0,0,0,0,0,0,0
21,17,California,12,1,1,1,1,0,0,0,0
22,17,Colorado State,13,1,0,0,0,0,0,0,0
23,17,Florida,12,1,1,1,1,1,1,1,0
24,17,Florida State,14,1,0,0,0,0,0,0,0
25,17,Georgia,13,1,1,0,0,0,0,0,0
26,17,Georgia Southern,12,1,0,0,0,0,0,0,0
27,17,Georgia Tech,14,1,1,0,0,0,0,0,0
28,17,Memphis,13,1,0,0,0,0,0,0,0
29,17,Miami (Ohio),12,1,0,0,0,0,0,0,0
30,17,Middle Tennessee,12,1,1,0,0,0,0,0,0
31,17,Northern Illinois,14,1,0,0,0,0,0,0,0
32,17,Ohio State,15,1,1,0,0,0,0,0,0
33,17,Oklahoma State,13,1,1,0,0,0,0,0,0
34,17,Pittsburgh,13,1,1,0,0,0,0,0,0
35,17,South Alabama,13,1,0,0,0,0,0,0,0
36,17,Tennessee,13,1,0,0,0,0,0,0,0
37,17,Texas A&M,13,1,1,1,0,0,0,0,0
38,17,Texas State,12,1,1,1,0,0,0,0,0
