,Rank,Name,G,Ret.,Yards,Avg.,TD,Ret./G,Yards/G
0,1,Iowa,13,25,370,14.80,0,1.9,28.5
1,2,Connecticut,12,37,573,15.49,0,3.1,47.8
2,3,Tulsa,12,37,578,15.62,0,3.1,48.2
3,4,Arkansas State,13,42,685,16.31,0,3.2,52.7
4,5,North Texas,12,41,671,16.37,0,3.4,55.9
5,6,South Alabama,13,49,803,16.39,0,3.8,61.8
6,7,UNLV,13,49,821,16.76,0,3.8,63.2
7,8,Louisiana-Lafayette,13,38,655,17.24,0,2.9,50.4
8,8,Ohio State,15,70,1207,17.24,0,4.7,80.5
9,10,North Carolina,13,34,592,17.41,0,2.6,45.5
10,11,UTEP,13,19,332,17.47,0,1.5,25.5
11,12,Utah State,14,42,737,17.55,0,3.0,52.6
12,13,Fresno State,14,48,849,17.69,0,3.4,60.6
13,14,Mississippi State,13,58,1038,17.90,0,4.5,79.8
14,15,Iowa State,12,40,718,17.95,1,3.3,59.8
15,16,Kansas State,13,60,1078,17.97,0,4.6,82.9
16,17,Memphis,13,33,598,18.12,0,2.5,46.0
17,18,Boston College,13,47,862,18.34,0,3.6,66.3
18,19,BYU,13,67,1235,18.43,0,5.2,95.0
19,20,Arizona,14,41,758,18.49,0,2.9,54.1
20,21,Baylor,13,81,1504,18.57,1,6.2,115.7
21,22,Florida State,14,45,846,18.80,0,3.2,60.4
22,23,North Carolina State,13,27,508,18.81,0,2.1,39.1
23,23,Virginia,12,32,602,18.81,1,2.7,50.2
24,23,Tennessee,13,54,1016,18.81,0,4.2,78.2
25,26,Minnesota,13,30,566,18.87,0,2.3,43.5
26,27,Toledo,13,47,888,18.89,0,3.6,68.3
27,28,Temple,12,48,913,19.02,0,4.0,76.1
28,29,Georgia,13,64,1232,19.25,0,4.9,94.8
29,30,Akron,12,43,828,19.26,0,3.6,69.0
30,31,New Mexico,12,23,444,19.30,0,1.9,37.0
31,32,Northern Illinois,14,71,1376,19.38,2,5.1,98.3
32,33,Northwestern,12,35,682,19.49,1,2.9,56.8
33,34,LSU,13,29,569,19.62,0,2.2,43.8
34,35,Massachusetts,12,52,1022,19.65,0,4.3,85.2
35,36,Texas A&M,13,36,709,19.69,0,2.8,54.5
36,37,Purdue,12,37,731,19.76,0,3.1,60.9
37,38,Buffalo,11,39,772,19.79,0,3.5,70.2
38,39,Miami (Ohio),12,45,892,19.82,2,3.8,74.3
39,40,Pittsburgh,13,36,716,19.89,1,2.8,55.1
40,41,Clemson,13,41,816,19.90,1,3.2,62.8
41,41,Wisconsin,14,63,1254,19.90,0,4.5,89.6
42,43,Syracuse,12,32,637,19.91,1,2.7,53.1
43,44,Nevada,13,46,918,19.96,0,3.5,70.6
44,45,Florida International,12,48,964,20.08,0,4.0,80.3
45,46,Ohio,12,33,663,20.09,0,2.8,55.3
46,47,TCU,13,57,1151,20.19,0,4.4,88.5
47,48,Georgia State,12,28,566,20.21,0,2.3,47.2
48,49,Western Kentucky,13,81,1638,20.22,3,6.2,126.0
49,50,California,12,49,994,20.29,0,4.1,82.8
50,51,Washington,14,63,1279,20.30,0,4.5,91.4
51,52,San Jose State,12,26,528,20.31,0,2.2,44.0
52,53,Virginia Tech,13,46,937,20.37,0,3.5,72.1
53,54,UTSA,12,32,653,20.41,0,2.7,54.4
54,55,Oregon State,12,36,740,20.56,0,3.0,61.7
55,56,Boise State,14,36,741,20.58,1,2.6,52.9
56,57,Wake Forest,12,25,515,20.60,0,2.1,42.9
57,58,Air Force,13,36,745,20.69,0,2.8,57.3
58,59,Utah,13,35,727,20.77,1,2.7,55.9
59,60,Colorado State,13,42,873,20.79,0,3.2,67.2
60,61,Texas Tech,12,35,734,20.97,0,2.9,61.2
61,62,Middle Tennessee,12,56,1175,20.98,0,4.7,97.9
62,63,Oklahoma State,13,56,1178,21.04,2,4.3,90.6
63,64,Marshall,14,56,1182,21.11,0,4.0,84.4
64,64,UCF,13,56,1182,21.11,0,4.3,90.9
65,66,Nebraska,13,59,1248,21.15,1,4.5,96.0
66,67,Stanford,13,25,529,21.16,1,1.9,40.7
67,68,Texas State,12,24,508,21.17,0,2.0,42.3
68,69,Mississippi,13,42,893,21.26,0,3.2,68.7
69,70,Georgia Southern,12,47,1000,21.28,0,3.9,83.3
70,71,Oklahoma,13,26,554,21.31,0,2.0,42.6
71,72,Michigan,12,29,620,21.38,0,2.4,51.7
72,73,Idaho,11,38,813,21.39,0,3.5,73.9
73,73,Oregon,15,93,1989,21.39,0,6.2,132.6
74,75,Colorado,12,28,600,21.43,0,2.3,50.0
75,76,Houston,13,52,1117,21.48,0,4.0,85.9
76,77,Alabama,14,60,1291,21.52,1,4.3,92.2
77,78,UCLA,13,30,646,21.53,1,2.3,49.7
78,79,San Diego State,13,49,1057,21.57,0,3.8,81.3
79,80,Vanderbilt,12,26,561,21.58,0,2.2,46.8
80,80,Western Michigan,13,57,1230,21.58,0,4.4,94.6
81,82,Louisiana-Monroe,12,22,476,21.64,0,1.8,39.7
82,83,SMU,12,27,586,21.70,1,2.3,48.8
83,83,Central Michigan,13,43,933,21.70,0,3.3,71.8
84,85,Bowling Green,14,69,1500,21.74,0,4.9,107.1
85,86,South Florida,12,24,522,21.75,0,2.0,43.5
86,87,Auburn,13,33,719,21.79,0,2.5,55.3
87,88,Washington State,12,53,1156,21.81,3,4.4,96.3
88,89,Louisiana Tech,14,76,1662,21.87,1,5.4,118.7
89,90,Kent State,11,30,660,22.00,0,2.7,60.0
90,91,Navy,13,52,1157,22.25,0,4.0,89.0
91,92,Army,12,40,892,22.30,0,3.3,74.3
92,93,West Virginia,13,49,1094,22.33,1,3.8,84.2
93,94,Florida,12,47,1053,22.40,1,3.9,87.8
94,95,Rutgers,13,51,1143,22.41,0,3.9,87.9
