,Rank,Name,G,Attempts,Scores,Score %,TD,TD %,FG,FG %
0,1,North Texas,12,35,33,94.29,23,65.71,10,28.57
1,2,UCLA,13,51,48,94.12,32,62.75,16,31.37
2,3,Memphis,13,60,56,93.33,41,68.33,15,25.00
3,3,Missouri,14,45,42,93.33,28,62.22,14,31.11
4,5,Tennessee,13,54,50,92.59,33,61.11,17,31.48
5,6,Nevada,13,53,49,92.45,36,67.92,13,24.53
6,7,Rice,13,48,44,91.67,32,66.67,12,25.00
7,8,Florida State,14,59,54,91.53,35,59.32,19,32.20
8,9,Maryland,13,35,32,91.43,24,68.57,8,22.86
9,10,Louisiana-Lafayette,13,57,52,91.23,36,63.16,16,28.07
10,11,Florida,12,44,40,90.91,26,59.09,14,31.82
11,12,Arizona State,13,64,58,90.63,40,62.50,18,28.13
12,13,Oklahoma State,13,42,38,90.48,21,50.00,17,40.48
13,14,Kansas State,13,62,56,90.32,43,69.35,13,20.97
14,15,Rutgers,13,41,37,90.24,25,60.98,12,29.27
15,16,Cincinnati,13,51,46,90.20,34,66.67,12,23.53
16,17,Boise State,14,71,64,90.14,50,70.42,14,19.72
17,18,Air Force,13,60,54,90.00,39,65.00,15,25.00
18,19,Pittsburgh,13,59,53,89.83,44,74.58,9,15.25
19,20,Michigan,12,37,33,89.19,24,64.86,9,24.32
20,21,Ball State,12,46,41,89.13,22,47.83,19,41.30
21,22,Louisiana Tech,14,55,49,89.09,40,72.73,9,16.36
22,23,Colorado,12,45,40,88.89,29,64.44,11,24.44
23,23,Washington,14,45,40,88.89,24,53.33,16,35.56
24,25,Toledo,13,62,55,88.71,40,64.52,15,24.19
25,26,Western Michigan,13,52,46,88.46,33,63.46,13,25.00
26,27,Nebraska,13,60,53,88.33,42,70.00,11,18.33
27,28,California,12,51,45,88.24,37,72.55,8,15.69
28,29,Georgia Southern,12,59,52,88.14,43,72.88,9,15.25
29,29,BYU,13,59,52,88.14,42,71.19,10,16.95
30,31,Western Kentucky,13,67,59,88.06,45,67.16,14,20.90
31,32,Auburn,13,58,51,87.93,38,65.52,13,22.41
32,33,Texas A&M,13,49,43,87.76,34,69.39,9,18.37
33,34,Duke,13,56,49,87.50,35,62.50,14,25.00
34,34,Minnesota,13,48,42,87.50,34,70.83,8,16.67
35,34,Virginia Tech,13,48,42,87.50,25,52.08,17,35.42
