,Rank,Name,G,10+Yards,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
111,110,San Jose State,12,48,10,5,3,3,2,2,2,0
112,110,Tulsa,12,48,7,2,0,0,0,0,0,0
113,110,UTSA,12,48,15,6,3,2,1,1,0,0
114,115,Vanderbilt,12,46,7,0,0,0,0,0,0,0
115,116,Kansas,12,44,8,3,1,1,1,1,0,0
116,117,Connecticut,12,43,12,3,3,1,1,0,0,0
117,117,Virginia,12,43,7,4,3,0,0,0,0,0
118,119,SMU,12,42,8,3,3,1,0,0,0,0
119,119,Southern Mississippi,12,42,12,5,1,1,1,0,0,0
120,121,Georgia State,12,41,6,2,1,1,0,0,0,0
121,122,Temple,12,36,13,6,2,2,2,1,0,0
122,123,Penn State,13,35,14,8,3,1,1,1,1,1
123,123,South Florida,12,35,9,6,5,5,3,1,0,0
124,125,Kent State,11,26,12,5,3,2,1,0,0,0
125,126,Wake Forest,12,23,4,1,0,0,0,0,0,0
126,127,Washington State,12,22,3,0,0,0,0,0,0,0
127,128,Louisiana-Monroe,12,18,3,2,0,0,0,0,0,0
