,Rank,Name,G,Pen.,Yards,Pen./G,Yards/G
0,1,West Virginia,13,108,1072,8.3,82.5
1,2,California,12,96,973,8.0,81.1
2,3,UCF,13,114,1037,8.8,79.8
3,4,Arizona,14,124,1086,8.9,77.6
4,5,Massachusetts,12,95,908,7.9,75.7
5,6,Houston,13,104,982,8.0,75.5
6,7,Akron,12,95,849,7.9,70.8
7,8,Washington State,12,95,839,7.9,69.9
8,9,Appalachian State,12,80,837,6.7,69.8
9,10,Connecticut,12,85,828,7.1,69.0
10,11,Colorado,12,86,819,7.2,68.3
11,12,Utah State,14,111,944,7.9,67.4
12,12,Oregon State,12,86,809,7.2,67.4
13,14,SMU,12,83,801,6.9,66.8
14,15,Baylor,13,89,866,6.8,66.6
15,16,Fresno State,14,109,905,7.8,64.6
16,17,East Carolina,13,92,835,7.1,64.2
17,18,Memphis,13,85,831,6.5,63.9
18,19,Bowling Green,14,92,890,6.6,63.6
19,20,Oklahoma State,13,89,815,6.8,62.7
20,21,UNLV,13,84,812,6.5,62.5
21,22,Arizona State,13,91,796,7.0,61.2
22,23,Arkansas State,13,91,793,7.0,61.0
23,24,Penn State,13,90,788,6.9,60.6
24,25,Duke,13,89,785,6.8,60.4
25,26,Kansas State,13,87,783,6.7,60.2
26,27,Kent State,11,77,661,7.0,60.1
27,27,Louisiana Tech,14,88,842,6.3,60.1
28,27,Temple,12,74,721,6.2,60.1
29,30,Idaho,11,78,660,7.1,60.0
30,31,Iowa,13,83,775,6.4,59.6
31,32,Ohio,12,80,713,6.7,59.4
32,33,Virginia,12,88,711,7.3,59.3
33,34,Virginia Tech,13,91,768,7.0,59.1
34,34,BYU,13,88,768,6.8,59.1
35,36,Western Kentucky,13,84,763,6.5,58.7
36,36,Buffalo,11,72,646,6.5,58.7
37,38,Tulane,12,76,703,6.3,58.6
38,39,Marshall,14,85,819,6.1,58.5
39,40,Florida,12,87,699,7.3,58.3
40,41,Eastern Michigan,12,79,695,6.6,57.9
41,42,Cincinnati,13,77,746,5.9,57.4
42,43,Louisiana-Monroe,12,75,682,6.3,56.8
43,44,South Carolina,13,80,736,6.2,56.6
44,45,South Alabama,13,79,730,6.1,56.2
45,46,Syracuse,12,79,672,6.6,56.0
46,47,Iowa State,12,79,663,6.6,55.3
47,48,USC,13,81,713,6.2,54.8
48,49,Rutgers,13,82,711,6.3,54.7
49,50,North Texas,12,67,655,5.6,54.6
50,51,Southern Mississippi,12,72,652,6.0,54.3
51,52,Oregon,15,91,809,6.1,53.9
52,53,Stanford,13,81,699,6.2,53.8
53,54,Hawai'i,13,83,698,6.4,53.7
54,55,Tulsa,12,71,643,5.9,53.6
55,56,Mississippi,13,78,696,6.0,53.5
56,56,Texas Tech,12,69,642,5.8,53.5
57,58,Georgia State,12,71,637,5.9,53.1
58,59,UTSA,12,75,636,6.3,53.0
59,60,Maryland,13,82,686,6.3,52.8
60,60,Middle Tennessee,12,70,634,5.8,52.8
61,62,Washington,14,85,738,6.1,52.7
62,63,Nebraska,13,78,680,6.0,52.3
63,64,South Florida,12,69,622,5.8,51.8
64,64,Miami (Ohio),12,66,621,5.5,51.8
65,66,Vanderbilt,12,77,615,6.4,51.3
66,67,Notre Dame,13,78,665,6.0,51.2
67,68,UCLA,13,74,664,5.7,51.1
68,69,Utah,13,75,662,5.8,50.9
69,69,Northwestern,12,68,611,5.7,50.9
70,71,Texas,13,71,655,5.5,50.4
71,72,Old Dominion,12,65,601,5.4,50.1
72,73,TCU,13,71,650,5.5,50.0
73,74,North Carolina,13,80,646,6.2,49.7
74,74,Miami (Florida),13,72,646,5.5,49.7
75,76,Michigan,12,72,589,6.0,49.1
76,76,Arkansas,13,77,638,5.9,49.1
77,76,Florida Atlantic,12,69,589,5.8,49.1
78,79,Ball State,12,67,588,5.6,49.0
79,80,Pittsburgh,13,78,634,6.0,48.8
80,81,Florida International,12,68,583,5.7,48.6
81,82,Texas A&M,13,77,624,5.9,48.0
82,83,Missouri,14,83,671,5.9,47.9
83,83,Florida State,14,76,670,5.4,47.9
84,85,Western Michigan,13,72,622,5.5,47.8
85,85,Central Michigan,13,71,621,5.5,47.8
86,87,Tennessee,13,78,620,6.0,47.7
87,88,Oklahoma,13,77,614,5.9,47.2
88,89,Texas State,12,73,560,6.1,46.7
89,90,North Carolina State,13,68,605,5.2,46.5
90,91,Clemson,13,79,601,6.1,46.2
91,92,Wisconsin,14,82,645,5.9,46.1
92,93,UAB,12,64,552,5.3,46.0
93,94,Illinois,13,70,595,5.4,45.8
94,94,Nevada,13,60,595,4.6,45.8
95,96,Ohio State,15,79,686,5.3,45.7
96,97,Boston College,13,75,593,5.8,45.6
97,98,New Mexico State,12,67,545,5.6,45.4
98,99,Wake Forest,12,68,542,5.7,45.2
99,99,Georgia,13,67,587,5.2,45.2
100,101,Kansas,12,71,536,5.9,44.7
101,101,Michigan State,13,73,581,5.6,44.7
102,103,Boise State,14,76,622,5.4,44.4
103,104,Georgia Tech,14,75,616,5.4,44.0
104,105,Wyoming,12,56,527,4.7,43.9
105,106,UTEP,13,72,570,5.5,43.8
106,107,Colorado State,13,59,560,4.5,43.1
107,108,San Diego State,13,66,556,5.1,42.8
108,109,Louisville,13,65,554,5.0,42.6
109,110,Toledo,13,63,547,4.8,42.1
110,111,Kentucky,12,58,499,4.8,41.6
111,112,Navy,13,57,540,4.4,41.5
112,113,Indiana,12,56,494,4.7,41.2
113,113,Air Force,13,59,535,4.5,41.2
114,115,New Mexico,12,60,487,5.0,40.6
115,116,Troy,12,55,477,4.6,39.8
116,117,LSU,13,57,510,4.4,39.2
117,118,Minnesota,13,59,508,4.5,39.1
118,119,Rice,13,56,504,4.3,38.8
119,120,Army,12,54,460,4.5,38.3
120,121,San Jose State,12,59,456,4.9,38.0
121,122,Northern Illinois,14,63,528,4.5,37.7
122,123,Alabama,14,61,516,4.4,36.9
123,124,Mississippi State,13,57,476,4.4,36.6
124,125,Purdue,12,50,434,4.2,36.2
125,126,Auburn,13,57,467,4.4,35.9
126,127,Louisiana-Lafayette,13,60,466,4.6,35.8
127,128,Georgia Southern,12,51,406,4.3,33.8
