,Rank,Name,G,TD,FG,1XP,2XP,Safety,Points,Points/G
0,1,Baylor,13,82,18,81,0,0,627,48.2
1,2,TCU,13,77,22,76,0,0,604,46.5
2,3,Marshall,14,84,17,83,0,0,638,45.6
3,4,Oregon,15,90,18,79,4,0,681,45.4
4,5,Ohio State,15,90,13,89,1,1,672,44.8
5,6,Western Kentucky,13,76,16,71,1,0,577,44.4
6,7,Michigan State,13,74,14,73,0,0,559,43.0
7,8,Georgia,13,70,16,67,1,0,537,41.3
8,9,Boise State,14,73,16,68,0,1,556,39.7
9,10,Georgia Southern,12,64,10,53,1,0,469,39.1
10,11,California,12,61,11,56,1,1,459,38.3
11,12,Georgia Tech,14,72,11,65,0,0,530,37.9
12,13,Nebraska,13,64,15,60,1,0,491,37.8
13,14,Louisiana Tech,14,68,17,64,0,0,523,37.4
14,15,BYU,13,63,12,62,0,3,482,37.1
15,16,Alabama,14,68,14,63,1,1,517,36.9
16,16,Mississippi State,13,64,12,60,0,0,480,36.9
17,16,Arizona State,13,59,23,53,2,0,480,36.9
18,19,Arkansas State,13,65,11,52,1,0,477,36.7
19,20,Toledo,13,61,17,57,1,0,476,36.6
20,21,Oklahoma,13,62,13,60,1,0,473,36.4
21,22,Memphis,13,58,21,58,0,1,471,36.2
22,23,USC,13,63,9,61,0,0,466,35.8
23,23,East Carolina,13,61,14,58,0,0,466,35.8
24,23,Kansas State,13,57,23,52,1,0,465,35.8
25,26,Appalachian State,12,58,8,52,1,1,428,35.7
26,27,Auburn,13,58,18,57,1,0,461,35.5
27,28,Texas A&M,13,60,13,59,0,0,458,35.2
28,29,Wisconsin,14,61,19,59,0,1,484,34.6
29,30,Arizona,14,61,20,57,0,0,483,34.5
30,31,Cincinnati,13,57,16,52,0,0,442,34.0
31,32,Colorado State,13,58,12,57,0,0,441,33.9
32,33,Western Michigan,13,57,14,51,1,1,439,33.8
33,33,Texas State,12,53,12,48,2,0,406,33.8
34,35,Florida State,14,56,27,55,0,0,472,33.7
35,36,UCLA,13,55,18,47,2,0,435,33.5
36,36,West Virginia,13,49,30,47,0,2,435,33.5
37,38,North Carolina,13,60,6,52,1,0,432,33.2
38,38,UAB,12,52,13,47,0,0,398,33.2
39,40,Notre Dame,13,55,14,51,2,0,427,32.8
40,41,Old Dominion,12,54,6,50,0,0,392,32.7
41,42,South Carolina,13,53,18,52,0,0,424,32.6
42,43,Duke,13,52,19,50,0,1,421,32.4
43,44,Buffalo,11,49,6,41,1,0,355,32.3
44,45,Arkansas,13,56,9,52,0,0,415,31.9
45,46,Navy,13,55,9,53,1,1,414,31.8
46,46,Pittsburgh,13,52,16,50,0,2,414,31.8
47,46,Washington State,12,50,11,47,1,0,382,31.8
48,49,Middle Tennessee,12,51,9,46,0,0,379,31.6
49,50,Northern Illinois,14,56,17,54,0,0,441,31.5
50,50,Air Force,13,50,19,46,2,1,409,31.5
51,52,Utah,13,49,23,44,0,0,407,31.3
52,53,Louisville,13,51,15,50,0,2,405,31.2
53,54,Clemson,13,48,21,46,0,2,401,30.8
54,55,Texas Tech,12,49,10,42,0,0,366,30.5
55,56,Florida,12,44,19,42,0,0,363,30.3
56,57,Washington,14,52,20,47,2,0,423,30.2
57,57,North Carolina State,13,51,12,46,2,0,392,30.2
58,59,Bowling Green,14,51,23,45,0,0,420,30.0
59,60,Houston,13,49,16,43,1,0,387,29.8
60,61,Louisiana-Lafayette,13,47,18,43,1,1,383,29.5
61,62,Miami (Florida),13,47,18,40,1,1,380,29.2
62,62,Nevada,13,48,14,43,3,0,379,29.2
63,62,Kentucky,12,41,21,41,0,0,350,29.2
64,65,Tennessee,13,45,20,42,2,0,376,28.9
65,66,Rice,13,48,13,47,0,0,374,28.8
66,67,Maryland,13,45,18,44,1,0,370,28.5
67,67,Colorado,12,42,16,42,0,0,342,28.5
68,69,Minnesota,13,48,12,45,0,0,369,28.4
69,70,Mississippi,13,49,9,47,0,0,368,28.3
70,71,Iowa,13,47,12,45,1,1,367,28.2
71,72,UCF,13,43,21,40,1,1,365,28.1
72,73,Missouri,14,48,18,43,2,0,389,27.8
73,74,New Mexico,12,45,5,43,2,0,332,27.7
74,74,Ball State,12,37,25,35,0,0,332,27.7
75,76,LSU,13,46,13,40,2,0,359,27.6
76,76,Oklahoma State,13,42,22,41,0,0,359,27.6
77,78,Massachusetts,12,45,6,38,1,0,328,27.3
78,79,Stanford,13,44,15,44,0,0,353,27.2
79,79,North Texas,12,40,15,39,1,0,326,27.2
80,81,Utah State,14,49,12,45,1,0,377,26.9
81,81,Central Michigan,13,47,8,42,1,0,350,26.9
82,83,Rutgers,13,43,16,41,0,0,347,26.7
83,84,UTEP,13,44,13,43,0,0,346,26.6
84,85,Fresno State,14,49,9,46,0,2,371,26.5
85,86,Boston College,13,45,12,35,0,0,341,26.2
86,87,Illinois,13,45,9,38,0,1,337,25.9
87,88,Virginia,12,35,22,34,0,0,310,25.8
88,89,Oregon State,12,36,19,33,0,1,308,25.7
89,90,Indiana,12,37,14,35,1,0,301,25.1
90,91,San Diego State,13,38,20,37,0,0,325,25.0
91,91,Idaho,11,35,11,28,1,1,275,25.0
92,93,Army,12,40,7,36,1,0,299,24.9
93,94,Tulsa,12,37,12,34,2,0,296,24.7
94,95,New Mexico State,12,39,7,37,1,0,294,24.5
95,96,Virginia Tech,13,36,20,33,1,1,313,24.1
96,97,Florida Atlantic,12,35,14,34,0,1,288,24.0
97,98,Purdue,12,34,16,32,1,0,286,23.8
98,99,Iowa State,12,35,11,35,0,0,278,23.2
99,100,Temple,12,33,15,32,0,1,277,23.1
100,101,Florida International,12,33,15,29,1,1,276,23.0
101,101,Northwestern,12,33,14,26,5,0,276,23.0
102,103,Georgia State,12,36,7,35,0,0,272,22.7
103,104,Akron,12,33,13,32,0,1,271,22.6
104,105,South Alabama,13,34,19,30,0,1,293,22.5
105,106,Miami (Ohio),12,35,9,31,0,0,268,22.3
106,107,UNLV,13,34,15,32,1,1,285,21.9
107,108,Troy,12,33,10,32,0,1,262,21.8
