,Rank,Name,G,10+Yards,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Washington State,12,226,69,29,16,10,6,4,4,1
1,2,East Carolina,13,203,74,26,7,3,1,0,0,0
2,3,Western Kentucky,13,187,75,32,16,9,3,1,0,0
3,4,Oregon,15,174,73,32,15,12,8,5,1,0
4,5,Florida State,14,170,55,24,14,7,3,1,0,0
5,6,Texas Tech,12,166,54,31,18,7,3,3,1,0
6,7,Baylor,13,165,66,39,27,14,9,4,2,0
7,8,Marshall,14,160,69,33,9,2,2,1,0,0
8,9,Colorado State,13,159,65,36,20,14,8,4,0,0
9,9,USC,13,159,46,21,12,5,3,3,1,0
10,11,West Virginia,13,157,56,28,17,6,3,1,0,0
11,12,California,12,152,51,22,17,9,5,4,2,1
12,12,Cincinnati,13,152,55,27,14,8,5,3,2,0
13,14,Kansas State,13,151,53,23,11,6,4,2,0,0
14,15,TCU,13,150,63,31,18,10,3,3,2,1
15,16,Massachusetts,12,149,50,26,16,10,7,5,1,0
16,17,Boise State,14,148,59,26,16,7,3,3,0,0
17,18,Texas A&M,13,147,52,26,14,8,3,2,1,0
18,19,Miami (Ohio),12,146,55,19,8,2,2,1,0,0
19,20,Arizona,14,145,45,23,17,10,6,2,2,1
20,20,Notre Dame,13,145,65,24,11,5,3,3,0,0
21,22,Alabama,14,142,55,26,17,10,4,4,2,0
22,22,Arizona State,13,142,52,21,13,4,3,2,0,0
23,22,Mississippi State,13,142,59,23,11,6,3,1,0,0
24,25,Michigan State,13,141,46,20,12,8,5,2,0,0
25,26,South Carolina,13,140,60,18,11,6,4,3,1,0
26,27,Mississippi,13,139,52,25,10,6,4,2,1,0
27,28,Bowling Green,14,138,46,28,17,6,3,2,1,0
28,29,Central Michigan,13,134,51,15,6,3,2,1,0,0
29,29,Louisiana Tech,14,134,51,21,9,7,6,5,2,0
30,31,BYU,13,133,49,23,11,6,3,3,2,0
31,31,Old Dominion,12,133,47,22,13,3,2,1,0,0
32,33,North Carolina,13,132,50,18,11,8,7,2,1,1
33,34,Ohio State,15,130,56,32,19,10,3,2,1,0
34,34,Southern Mississippi,12,130,47,21,6,1,0,0,0,0
35,34,Stanford,13,130,43,15,7,1,0,0,0,0
