,Rank,Name,G,Int.,Passes Broken Up,Passes Defended,Passes Defended/G
0,1,Louisiana Tech,14,26,66,92,6.57
1,2,Mississippi State,13,16,73,89,6.85
2,3,Oregon,15,13,71,84,5.60
3,4,BYU,13,14,69,83,6.38
4,4,Western Michigan,13,13,70,83,6.38
5,4,Bowling Green,14,16,67,83,5.93
6,7,Virginia,12,15,67,82,6.83
7,7,Utah State,14,19,63,82,5.86
8,9,Ohio State,15,25,55,80,5.33
9,10,USC,13,14,65,79,6.08
10,11,Florida,12,16,62,78,6.50
11,11,TCU,13,26,52,78,6.00
12,13,Louisville,13,26,51,77,5.92
13,13,Boise State,14,22,55,77,5.50
14,15,UCF,13,18,58,76,5.85
15,16,Arkansas,13,12,60,72,5.54
16,16,Alabama,14,11,61,72,5.14
17,18,Marshall,14,13,58,71,5.07
18,19,Memphis,13,17,53,70,5.38
19,20,Auburn,13,22,47,69,5.31
20,20,Rice,13,9,60,69,5.31
21,22,LSU,13,10,58,68,5.23
22,22,Maryland,13,9,59,68,5.23
23,22,Florida State,14,14,54,68,4.86
24,25,Michigan State,13,18,49,67,5.15
25,26,Colorado State,13,13,53,66,5.08
26,26,Oklahoma,13,12,54,66,5.08
27,26,Georgia Tech,14,18,48,66,4.71
28,29,Ohio,12,12,53,65,5.42
29,29,Minnesota,13,15,50,65,5.00
30,29,Utah,13,12,53,65,5.00
31,32,Penn State,13,16,48,64,4.92
32,32,Nebraska,13,13,51,64,4.92
33,32,Washington,14,13,51,64,4.57
34,35,East Carolina,13,14,49,63,4.85
35,35,Nevada,13,13,50,63,4.85
36,37,Kentucky,12,15,47,62,5.17
37,37,Middle Tennessee,12,13,49,62,5.17
38,37,Mississippi,13,22,40,62,4.77
39,37,Central Michigan,13,14,48,62,4.77
40,37,Virginia Tech,13,12,50,62,4.77
41,37,Miami (Florida),13,10,52,62,4.77
42,43,Iowa State,12,10,51,61,5.08
43,43,Baylor,13,13,48,61,4.69
44,43,Oklahoma State,13,12,49,61,4.69
45,43,Toledo,13,10,51,61,4.69
46,43,Arizona,14,13,48,61,4.36
47,43,Missouri,14,12,49,61,4.36
48,49,Indiana,12,13,47,60,5.00
49,49,Houston,13,19,41,60,4.62
50,49,Arkansas State,13,16,44,60,4.62
51,49,Kansas State,13,15,45,60,4.62
52,49,North Carolina State,13,10,50,60,4.62
53,54,Northwestern,12,15,44,59,4.92
54,54,Texas Tech,12,6,53,59,4.92
55,54,Tennessee,13,16,43,59,4.54
56,57,Massachusetts,12,12,46,58,4.83
57,57,Kansas,12,9,49,58,4.83
58,57,UAB,12,9,49,58,4.83
59,57,San Diego State,13,14,44,58,4.46
60,57,Northern Illinois,14,14,44,58,4.14
61,62,Akron,12,13,44,57,4.75
62,62,Cincinnati,13,8,49,57,4.38
63,62,South Alabama,13,6,51,57,4.38
64,65,Georgia,13,16,40,56,4.31
65,65,UCLA,13,11,45,56,4.31
66,67,Buffalo,11,2,53,55,5.00
67,67,Tulane,12,17,38,55,4.58
68,67,Temple,12,11,44,55,4.58
69,67,UTSA,12,9,46,55,4.58
70,67,Notre Dame,13,16,39,55,4.23
71,67,North Carolina,13,12,43,55,4.23
72,67,Duke,13,11,44,55,4.23
73,74,Texas,13,15,39,54,4.15
74,74,West Virginia,13,12,42,54,4.15
75,76,Florida Atlantic,12,8,45,53,4.42
76,76,Clemson,13,12,41,53,4.08
77,76,Pittsburgh,13,10,43,53,4.08
78,79,Fresno State,14,9,43,52,3.71
79,80,California,12,12,39,51,4.25
80,80,Purdue,12,10,41,51,4.25
81,80,UTEP,13,11,40,51,3.92
82,83,Georgia Southern,12,13,37,50,4.17
83,83,Oregon State,12,11,39,50,4.17
84,83,Wake Forest,12,6,44,50,4.17
85,83,Arizona State,13,14,36,50,3.85
86,87,Colorado,12,3,46,49,4.08
87,87,Stanford,13,12,37,49,3.77
88,87,Texas A&M,13,5,44,49,3.77
89,90,Miami (Ohio),12,11,37,48,4.00
90,90,Iowa,13,13,35,48,3.69
91,92,Florida International,12,14,33,47,3.92
92,92,New Mexico,12,11,36,47,3.92
93,92,Western Kentucky,13,13,34,47,3.62
94,95,Louisiana-Monroe,12,11,35,46,3.83
95,95,Syracuse,12,8,38,46,3.83
96,95,South Carolina,13,11,35,46,3.54
97,98,Illinois,13,7,38,45,3.46
98,99,Army,12,11,33,44,3.67
99,99,Washington State,12,3,41,44,3.67
100,99,Air Force,13,10,34,44,3.38
101,99,Rutgers,13,7,37,44,3.38
102,99,Wisconsin,14,6,38,44,3.14
103,104,Appalachian State,12,12,31,43,3.58
104,104,Ball State,12,10,33,43,3.58
105,104,San Jose State,12,6,37,43,3.58
106,104,Vanderbilt,12,6,37,43,3.58
107,104,Navy,13,13,30,43,3.31
108,109,North Texas,12,12,30,42,3.50
109,109,Southern Mississippi,12,7,35,42,3.50
110,109,Eastern Michigan,12,6,36,42,3.50
111,109,Boston College,13,9,33,42,3.23
112,113,Texas State,12,13,28,41,3.42
113,113,Connecticut,12,8,33,41,3.42
114,113,Hawai'i,13,11,30,41,3.15
115,116,Tulsa,12,8,32,40,3.33
116,117,SMU,12,6,33,39,3.25
117,118,UNLV,13,7,31,38,2.92
118,119,Kent State,11,8,26,34,3.09
119,119,Troy,12,11,23,34,2.83
120,119,Louisiana-Lafayette,13,7,27,34,2.62
121,122,Old Dominion,12,5,28,33,2.75
122,123,Michigan,12,5,27,32,2.67
123,124,Wyoming,12,3,28,31,2.58
124,125,Georgia State,12,3,27,30,2.50
125,126,New Mexico State,12,11,17,28,2.33
126,126,South Florida,12,6,22,28,2.33
127,128,Idaho,11,8,14,22,2.00
