,Rank,Name,G,TFL,TFL Yards,TFL/G
0,1,Clemson,13,131.0,553,10.08
1,2,Utah State,14,114.0,503,8.14
2,2,Louisiana Tech,14,114.0,454,8.14
3,4,TCU,13,112.0,432,8.62
4,5,Ohio State,15,110.0,449,7.33
5,6,Virginia Tech,13,109.0,516,8.39
6,6,Boise State,14,109.0,411,7.79
7,8,Marshall,14,105.0,421,7.50
8,9,Missouri,14,104.0,437,7.43
9,10,Utah,13,103.0,437,7.92
10,11,Mississippi,13,99.0,400,7.62
11,12,Arizona State,13,98.0,452,7.54
12,12,Arizona,14,98.0,356,7.00
13,12,Bowling Green,14,98.0,337,7.00
14,15,Oklahoma State,13,97.0,366,7.46
15,16,Alabama,14,96.0,360,6.86
16,17,Stanford,13,95.0,464,7.31
17,18,Oregon,15,94.0,411,6.27
18,18,Baylor,13,94.0,407,7.23
19,20,Wisconsin,14,93.0,381,6.64
20,21,Penn State,13,92.0,357,7.08
21,22,Washington,14,91.0,376,6.50
22,22,Tennessee,13,91.0,341,7.00
23,24,Louisiana-Monroe,12,90.0,384,7.50
24,25,North Carolina State,13,89.0,397,6.85
25,25,UCF,13,89.0,392,6.85
26,25,Boston College,13,89.0,351,6.85
27,28,Louisville,13,88.0,450,6.77
28,28,Rice,13,88.0,396,6.77
29,30,Florida,12,87.0,363,7.25
30,30,Memphis,13,87.0,361,6.69
31,32,Wake Forest,12,86.0,342,7.17
32,32,Arkansas State,13,86.0,318,6.62
33,34,Tulane,12,85.0,354,7.08
34,34,Mississippi State,13,85.0,324,6.54
35,36,Michigan State,13,84.0,423,6.46
36,36,Texas,13,84.0,346,6.46
37,36,Air Force,13,84.0,292,6.46
38,39,Louisiana-Lafayette,13,83.0,368,6.39
39,39,West Virginia,13,83.0,278,6.39
40,39,Fresno State,14,83.0,264,5.93
41,42,Michigan,12,82.0,357,6.83
42,42,Auburn,13,82.0,296,6.31
43,42,Illinois,13,82.0,286,6.31
44,45,Arkansas,13,81.0,358,6.23
45,45,UAB,12,81.0,348,6.75
46,47,Nebraska,13,80.0,347,6.15
47,47,USC,13,80.0,347,6.15
48,47,Oklahoma,13,80.0,331,6.15
49,47,Minnesota,13,80.0,316,6.15
50,47,UCLA,13,80.0,312,6.15
51,47,Syracuse,12,80.0,311,6.67
52,47,Oregon State,12,80.0,301,6.67
53,47,Temple,12,80.0,279,6.67
54,55,Toledo,13,79.0,340,6.08
55,56,Virginia,12,78.0,362,6.50
56,57,Washington State,12,77.0,311,6.42
57,57,Tulsa,12,77.0,277,6.42
58,57,Indiana,12,77.0,264,6.42
59,57,UTEP,13,77.0,262,5.92
60,61,Cincinnati,13,76.0,411,5.85
61,61,Appalachian State,12,76.0,287,6.33
62,61,Florida State,14,76.0,273,5.43
63,61,San Diego State,13,76.0,270,5.85
64,61,Texas A&M,13,76.0,267,5.85
65,61,BYU,13,76.0,259,5.85
66,61,LSU,13,76.0,244,5.85
67,68,Maryland,13,75.0,356,5.77
68,68,Northern Illinois,14,75.0,323,5.36
69,70,Nevada,13,74.5,249,5.73
70,71,Notre Dame,13,73.0,326,5.62
71,71,Kansas State,13,73.0,274,5.62
72,73,Western Kentucky,13,72.0,285,5.54
73,73,Akron,12,72.0,280,6.00
74,73,East Carolina,13,72.0,268,5.54
75,73,UNLV,13,72.0,259,5.54
76,73,North Carolina,13,72.0,259,5.54
77,78,UTSA,12,71.5,234,5.96
78,79,Georgia,13,71.0,348,5.46
79,79,Rutgers,13,71.0,325,5.46
80,79,Iowa,13,71.0,263,5.46
81,82,Hawai'i,13,70.0,291,5.39
82,82,Vanderbilt,12,70.0,260,5.83
83,82,South Florida,12,70.0,251,5.83
84,85,South Alabama,13,68.0,308,5.23
85,85,North Texas,12,68.0,292,5.67
86,85,Florida International,12,68.0,283,5.67
87,88,New Mexico,12,67.0,294,5.58
88,88,Kansas,12,67.0,249,5.58
89,90,Georgia Southern,12,66.0,266,5.50
90,90,Houston,13,66.0,249,5.08
91,90,Southern Mississippi,12,66.0,229,5.50
92,93,Kentucky,12,65.0,267,5.42
93,93,Central Michigan,13,65.0,243,5.00
94,93,Idaho,11,65.0,214,5.91
95,93,Massachusetts,12,65.0,180,5.42
96,97,Miami (Florida),13,64.0,289,4.92
97,97,Northwestern,12,64.0,244,5.33
98,99,Buffalo,11,63.0,272,5.73
99,99,Texas Tech,12,63.0,258,5.25
100,99,Eastern Michigan,12,63.0,224,5.25
101,102,Western Michigan,13,62.0,266,4.77
102,103,Duke,13,61.0,303,4.69
103,103,Georgia Tech,14,61.0,242,4.36
104,103,Texas State,12,61.0,224,5.08
105,103,Purdue,12,61.0,224,5.08
106,103,Connecticut,12,61.0,186,5.08
107,108,Florida Atlantic,12,60.0,255,5.00
108,108,Old Dominion,12,60.0,241,5.00
109,110,Iowa State,12,58.0,169,4.83
110,111,Middle Tennessee,12,57.0,232,4.75
111,111,Colorado State,13,57.0,192,4.39
112,113,Ohio,12,56.0,219,4.67
113,114,California,12,55.0,229,4.58
114,114,Colorado,12,55.0,214,4.58
115,114,Army,12,55.0,179,4.58
116,114,Miami (Ohio),12,55.0,173,4.58
117,118,Pittsburgh,13,54.0,254,4.15
118,119,Ball State,12,52.0,210,4.33
119,119,South Carolina,13,52.0,205,4.00
120,119,Wyoming,12,52.0,202,4.33
121,119,Troy,12,52.0,192,4.33
122,123,Kent State,11,51.0,172,4.64
123,124,SMU,12,50.0,178,4.17
124,125,Georgia State,12,48.0,158,4.00
125,126,San Jose State,12,46.0,173,3.83
126,127,Navy,13,45.0,149,3.46
127,128,New Mexico State,12,43.0,147,3.58
