,Rank,Name,G,Rush,Pass,Penalty,Total,Total/G
0,1,Baylor,13,171,193,27,391,30.1
1,2,East Carolina,13,107,238,33,378,29.1
2,3,Washington State,12,45,251,30,326,27.2
3,4,Oregon,15,183,198,25,406,27.1
4,5,Western Kentucky,13,112,216,23,351,27.0
5,6,California,12,99,188,32,319,26.6
6,7,Marshall,14,161,183,22,366,26.1
7,8,West Virginia,13,125,175,37,337,25.9
8,9,Ohio State,15,217,150,19,386,25.7
9,9,Mississippi State,13,160,159,15,334,25.7
10,11,TCU,13,139,173,19,331,25.5
11,12,Georgia Tech,14,259,78,13,350,25.0
12,12,BYU,13,143,160,22,325,25.0
13,14,Arizona,14,128,176,42,346,24.7
14,14,Toledo,13,162,137,22,321,24.7
15,14,Michigan State,13,153,154,14,321,24.7
16,14,Colorado,12,101,159,36,296,24.7
17,14,Texas Tech,12,95,178,23,296,24.7
18,19,Alabama,14,154,170,16,340,24.3
19,20,Auburn,13,172,132,10,314,24.2
20,21,Boise State,14,148,173,17,338,24.1
21,22,North Carolina,13,128,158,25,311,23.9
22,23,Cincinnati,13,103,185,22,310,23.8
23,23,Notre Dame,13,117,168,24,309,23.8
24,25,Pittsburgh,13,182,107,19,308,23.7
25,25,USC,13,122,165,21,308,23.7
26,27,Appalachian State,12,137,114,32,283,23.6
27,28,South Carolina,13,131,150,24,305,23.5
28,28,Idaho,11,98,134,26,258,23.5
29,30,Arkansas State,13,145,139,20,304,23.4
30,30,UCLA,13,144,142,18,304,23.4
31,32,Arizona State,13,110,166,25,301,23.2
32,32,Texas State,12,142,123,13,278,23.2
33,34,Texas A&M,13,106,179,15,300,23.1
34,35,Florida State,14,111,187,24,322,23.0
35,35,Colorado State,13,105,176,18,299,23.0
36,37,Georgia,13,154,126,18,298,22.9
37,37,Old Dominion,12,96,156,23,275,22.9
38,39,Northern Illinois,14,183,121,15,319,22.8
39,40,Memphis,13,118,149,27,294,22.6
40,40,Kansas State,13,104,162,28,294,22.6
41,42,Oklahoma,13,161,118,14,293,22.5
42,42,Tulsa,12,107,140,23,270,22.5
43,44,Massachusetts,12,79,156,32,267,22.3
44,45,Bowling Green,14,120,158,33,311,22.2
45,45,Nebraska,13,149,115,25,289,22.2
46,45,Arkansas,13,146,120,22,288,22.2
47,45,Buffalo,11,97,122,25,244,22.2
48,49,Air Force,13,198,74,15,287,22.1
49,49,Central Michigan,13,117,148,22,287,22.1
50,49,UAB,12,150,102,13,265,22.1
51,52,Wisconsin,14,189,103,16,308,22.0
52,52,Duke,13,133,130,23,286,22.0
53,52,Houston,13,130,123,33,286,22.0
54,55,Louisiana-Lafayette,13,162,112,9,283,21.8
