,Rank,Name,G,10+Yards,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Oregon,15,289,107,44,20,14,9,5,1,0
1,2,Marshall,14,278,111,57,25,13,11,5,2,0
2,3,East Carolina,13,274,93,36,15,5,2,1,1,0
3,4,Ohio State,15,268,92,46,28,17,8,5,4,0
4,5,Baylor,13,254,81,44,28,14,9,4,2,0
5,6,Western Kentucky,13,253,92,39,21,11,5,3,1,0
6,7,Washington State,12,248,72,29,16,10,6,4,4,1
7,8,Boise State,14,247,89,38,22,12,6,5,0,0
8,8,TCU,13,247,88,41,22,13,5,3,2,1
9,10,Florida State,14,244,80,29,17,8,3,1,0,0
10,11,Mississippi State,13,237,86,34,19,11,5,2,0,0
11,12,Alabama,14,230,81,30,20,10,4,4,2,0
12,13,Auburn,13,228,69,36,18,9,4,1,0,0
13,14,Colorado State,13,227,80,44,28,19,10,5,0,0
14,15,Georgia Tech,14,226,68,33,17,12,8,3,0,0
15,16,USC,13,225,60,29,17,7,3,3,1,0
16,16,West Virginia,13,225,72,33,21,9,4,1,0,0
17,18,Texas Tech,12,223,66,38,23,10,6,5,1,0
18,19,Arkansas State,13,221,73,36,26,14,8,2,1,0
19,20,Arizona State,13,219,71,29,20,8,3,2,0,0
20,21,Arizona,14,218,66,34,21,13,9,5,3,1
21,21,Michigan State,13,218,75,36,15,11,8,4,1,0
22,23,Notre Dame,13,215,83,28,14,8,4,3,0,0
23,24,Cincinnati,13,211,70,34,17,10,7,3,2,0
24,25,Georgia,13,210,68,36,18,8,4,3,2,0
25,25,Texas A&M,13,210,69,34,18,9,3,2,1,0
26,25,UCLA,13,210,58,31,18,13,8,6,5,2
27,25,Wisconsin,14,210,84,41,28,15,10,3,1,0
28,29,BYU,13,209,67,29,11,6,3,3,2,0
29,30,Nebraska,13,208,69,30,21,11,6,2,0,0
30,30,North Carolina,13,208,63,22,15,9,7,2,1,1
31,30,Toledo,13,208,82,37,21,7,4,2,2,1
32,33,California,12,207,60,26,20,11,5,4,2,1
33,33,South Carolina,13,207,77,25,15,9,6,5,1,0
34,35,Bowling Green,14,206,73,41,21,9,6,3,1,0
35,36,Oklahoma,13,205,68,38,21,9,4,2,1,0
36,36,Pittsburgh,13,205,55,20,13,6,2,1,0,0
