,Rank,Name,G,Fum. Gain,Int. Gain,Total Gain,Fum. Lost,Int. Lost,Total Lost,Margin,Margin/G
0,1,Oregon,15,21,13,34,7,4,11,23,1.53
1,2,Michigan State,13,16,18,34,6,9,15,19,1.46
2,3,TCU,13,14,26,40,11,11,22,18,1.38
3,4,Georgia,13,13,16,29,7,6,13,16,1.23
4,5,Louisiana Tech,14,16,26,42,13,13,26,16,1.14
5,6,Arizona State,13,13,14,27,4,9,13,14,1.08
6,7,Baylor,13,13,13,26,5,8,13,13,1.00
7,8,Florida International,12,19,14,33,12,10,22,11,0.92
8,9,Washington,14,16,13,29,11,6,17,12,0.86
9,9,Northern Illinois,14,10,14,24,9,3,12,12,0.86
10,11,Memphis,13,14,17,31,11,9,20,11,0.85
11,11,Nevada,13,14,13,27,5,11,16,11,0.85
12,11,USC,13,9,14,23,7,5,12,11,0.85
13,14,Georgia Tech,14,11,18,29,12,6,18,11,0.79
14,15,Minnesota,13,15,15,30,11,9,20,10,0.77
15,16,Ball State,12,14,10,24,8,7,15,9,0.75
16,17,Bowling Green,14,17,16,33,10,13,23,10,0.71
17,18,UTEP,13,10,11,21,6,6,12,9,0.69
18,19,Kentucky,12,8,15,23,4,11,15,8,0.67
19,19,Georgia Southern,12,7,13,20,8,4,12,8,0.67
20,21,Utah State,14,11,19,30,10,11,21,9,0.64
21,21,Missouri,14,13,12,25,3,13,16,9,0.64
22,23,Houston,13,11,19,30,7,15,22,8,0.62
23,23,Kansas State,13,6,15,21,5,8,13,8,0.62
24,23,Rice,13,11,9,20,4,8,12,8,0.62
25,26,Texas State,12,6,13,19,5,7,12,7,0.58
26,27,Arizona,14,13,13,26,8,10,18,8,0.57
27,28,Mississippi,13,10,22,32,10,15,25,7,0.54
28,28,Auburn,13,5,22,27,13,7,20,7,0.54
29,28,Arkansas,13,12,12,24,11,6,17,7,0.54
30,31,Boise State,14,9,22,31,9,15,24,7,0.50
31,31,Florida,12,14,16,30,10,14,24,6,0.50
32,33,Ohio State,15,8,25,33,14,12,26,7,0.47
33,34,Arkansas State,13,12,16,28,14,8,22,6,0.46
34,34,Clemson,13,12,12,24,6,12,18,6,0.46
35,34,Duke,13,10,11,21,7,8,15,6,0.46
36,37,Virginia,12,14,15,29,8,16,24,5,0.42
37,38,Western Kentucky,13,10,13,23,8,10,18,5,0.38
38,38,Utah,13,9,12,21,8,8,16,5,0.38
39,38,North Carolina State,13,10,10,20,9,6,15,5,0.38
40,41,Northwestern,12,12,15,27,9,14,23,4,0.33
41,41,Oregon State,12,7,11,18,6,8,14,4,0.33
42,41,Troy,12,7,11,18,10,4,14,4,0.33
43,44,Louisville,13,4,26,30,16,10,26,4,0.31
44,44,San Diego State,13,12,14,26,7,15,22,4,0.31
45,46,Temple,12,19,11,30,11,16,27,3,0.25
46,46,Tulane,12,11,17,28,7,18,25,3,0.25
47,46,Kansas,12,12,9,21,5,13,18,3,0.25
48,49,Western Michigan,13,10,13,23,10,10,20,3,0.23
49,49,LSU,13,10,10,20,8,9,17,3,0.23
50,49,Louisiana-Lafayette,13,10,7,17,5,9,14,3,0.23
51,52,Miami (Ohio),12,11,11,22,10,10,20,2,0.17
52,52,Army,12,4,11,15,11,2,13,2,0.17
53,54,Cincinnati,13,16,8,24,8,14,22,2,0.15
54,54,Tennessee,13,8,16,24,8,14,22,2,0.15
55,54,Colorado State,13,6,13,19,10,7,17,2,0.15
56,57,New Mexico,12,8,11,19,12,6,18,1,0.08
57,57,Air Force,13,8,10,18,13,4,17,1,0.08
58,57,Boston College,13,5,9,14,3,10,13,1,0.08
59,60,North Carolina,13,11,12,23,10,13,23,0,0.00
60,60,Mississippi State,13,7,16,23,11,12,23,0,0.00
61,60,Maryland,13,13,9,22,8,14,22,0,0.00
