,Rank,Name,G,Rush,Pass,Penalty,Total,Total/G
0,1,Clemson,13,86,81,18,185,14.2
1,2,Penn State,13,79,96,15,190,14.6
2,2,Wisconsin,14,93,93,19,205,14.6
3,4,Michigan State,13,67,112,20,199,15.3
4,4,Louisville,13,74,110,15,199,15.3
5,6,LSU,13,100,89,13,202,15.5
6,7,UTEP,13,105,95,11,211,16.2
7,8,Michigan,12,88,101,10,199,16.6
8,8,Virginia Tech,13,95,105,16,216,16.6
9,10,Alabama,14,81,141,12,234,16.7
10,11,TCU,13,86,119,13,218,16.8
11,11,Stanford,13,84,117,18,219,16.8
12,11,Iowa,13,106,101,12,219,16.8
13,14,Boston College,13,77,135,13,225,17.3
14,14,UCF,13,97,103,25,225,17.3
15,14,Arkansas,13,97,115,13,225,17.3
16,17,Appalachian State,12,94,100,19,213,17.8
17,18,Florida,12,78,114,24,216,18.0
18,18,Florida International,12,101,97,18,216,18.0
19,18,San Diego State,13,112,97,25,234,18.0
20,21,San Jose State,12,145,64,10,219,18.3
21,22,Buffalo,11,95,94,13,202,18.4
22,22,Mississippi,13,106,118,15,239,18.4
23,22,Boise State,14,90,148,20,258,18.4
24,25,North Texas,12,98,106,18,222,18.5
25,26,Virginia,12,83,118,24,225,18.8
26,26,Tennessee,13,120,110,14,244,18.8
27,26,Memphis,13,82,140,23,245,18.8
28,29,Louisiana-Monroe,12,118,94,15,227,18.9
29,29,Western Michigan,13,96,125,25,246,18.9
30,29,Nebraska,13,113,118,15,246,18.9
31,29,Pittsburgh,13,118,112,16,246,18.9
32,29,Ohio State,15,120,135,28,283,18.9
33,34,Central Michigan,13,87,138,23,248,19.1
34,34,Houston,13,114,114,20,248,19.1
35,34,Utah State,14,108,132,27,267,19.1
36,37,Air Force,13,91,144,14,249,19.2
37,37,Miami (Florida),13,111,109,29,249,19.2
38,39,Wake Forest,12,114,94,23,231,19.3
39,39,Texas,13,122,112,17,251,19.3
40,41,Temple,12,111,101,21,233,19.4
41,41,Georgia,13,133,100,19,252,19.4
42,43,Louisiana-Lafayette,13,89,145,19,253,19.5
43,43,Minnesota,13,113,117,23,253,19.5
44,45,Missouri,14,113,137,25,275,19.6
45,46,Baylor,13,85,128,43,256,19.7
46,46,Rice,13,111,124,21,256,19.7
47,48,UTSA,12,94,112,32,238,19.8
48,48,West Virginia,13,99,135,23,257,19.8
49,50,Louisiana Tech,14,103,162,14,279,19.9
50,50,Fresno State,14,127,138,14,279,19.9
51,52,Syracuse,12,100,120,20,240,20.0
52,53,Arizona State,13,100,146,15,261,20.1
53,54,East Carolina,13,79,149,34,262,20.2
54,54,Kansas State,13,98,153,11,262,20.2
55,56,Connecticut,12,110,110,23,243,20.3
