,Rank,Name,G,Attempts,Conversions,Conversion %
0,1,Ball State,12,13,11,84.62
1,2,Missouri,14,16,13,81.25
2,3,Georgia,13,15,12,80.00
3,4,Wisconsin,14,18,14,77.78
4,5,Alabama,14,13,10,76.92
5,6,Baylor,13,34,25,73.53
6,7,Air Force,13,28,20,71.43
7,7,Memphis,13,14,10,71.43
8,9,Georgia Tech,14,17,12,70.59
9,10,Hawai'i,13,27,19,70.37
10,11,Minnesota,13,10,7,70.00
11,12,Kansas State,13,16,11,68.75
12,12,Cincinnati,13,16,11,68.75
13,14,California,12,28,19,67.86
14,15,Pittsburgh,13,15,10,66.67
15,15,Louisiana Tech,14,12,8,66.67
16,17,BYU,13,23,15,65.22
17,18,Kent State,11,14,9,64.29
18,18,Toledo,13,14,9,64.29
19,20,Arkansas,13,19,12,63.16
20,21,USC,13,24,15,62.50
21,21,UTSA,12,16,10,62.50
22,21,Georgia Southern,12,16,10,62.50
23,24,Arizona,14,26,16,61.54
24,25,Florida Atlantic,12,18,11,61.11
25,26,Iowa,13,23,14,60.87
26,26,Miami (Florida),13,23,14,60.87
27,26,Appalachian State,12,23,14,60.87
28,29,Oregon,15,28,17,60.71
29,30,Old Dominion,12,30,18,60.00
30,30,Texas State,12,20,12,60.00
31,30,Oklahoma,13,15,9,60.00
32,33,Nevada,13,27,16,59.26
33,34,Ohio State,15,22,13,59.09
34,35,San Jose State,12,29,17,58.62
35,36,Navy,13,24,14,58.33
36,36,Tennessee,13,12,7,58.33
37,38,Texas A&M,13,19,11,57.89
38,39,New Mexico State,12,26,15,57.69
39,40,Idaho,11,35,20,57.14
40,40,Boston College,13,21,12,57.14
41,40,Northern Illinois,14,14,8,57.14
42,40,Connecticut,12,14,8,57.14
43,44,UCLA,13,16,9,56.25
44,44,Georgia State,12,16,9,56.25
45,44,Middle Tennessee,12,16,9,56.25
46,44,LSU,13,16,9,56.25
47,48,Duke,13,29,16,55.17
48,49,Utah,13,13,7,53.85
49,49,Maryland,13,13,7,53.85
50,51,Florida,12,15,8,53.33
51,52,Michigan State,13,17,9,52.94
52,53,Massachusetts,12,36,19,52.78
53,54,Louisville,13,21,11,52.38
54,55,Buffalo,11,23,12,52.17
55,55,Houston,13,23,12,52.17
56,55,South Carolina,13,23,12,52.17
57,58,UCF,13,25,13,52.00
58,59,UNLV,13,27,14,51.85
59,60,Army,12,31,16,51.61
60,61,Arkansas State,13,36,18,50.00
61,61,SMU,12,28,14,50.00
62,61,Washington,14,22,11,50.00
63,61,Temple,12,22,11,50.00
64,61,Louisiana-Monroe,12,22,11,50.00
65,61,Marshall,14,20,10,50.00
66,61,Vanderbilt,12,18,9,50.00
67,61,Louisiana-Lafayette,13,18,9,50.00
68,61,Notre Dame,13,16,8,50.00
69,61,Oklahoma State,13,16,8,50.00
70,61,Virginia Tech,13,14,7,50.00
71,61,TCU,13,14,7,50.00
72,61,Texas,13,14,7,50.00
73,61,Syracuse,12,12,6,50.00
74,61,North Carolina State,13,10,5,50.00
75,76,Northwestern,12,29,14,48.28
76,76,Colorado,12,29,14,48.28
77,78,Troy,12,25,12,48.00
78,79,North Carolina,13,23,11,47.83
79,80,Boise State,14,21,10,47.62
80,81,South Florida,12,19,9,47.37
81,82,Fresno State,14,34,16,47.06
82,82,Rutgers,13,17,8,47.06
83,82,Virginia,12,17,8,47.06
84,85,Ohio,12,13,6,46.15
85,85,Nebraska,13,13,6,46.15
86,85,North Texas,12,13,6,46.15
87,88,East Carolina,13,24,11,45.83
88,89,West Virginia,13,22,10,45.45
89,89,Florida International,12,11,5,45.45
90,91,Washington State,12,40,18,45.00
91,91,Mississippi,13,20,9,45.00
92,91,Wyoming,12,20,9,45.00
93,94,Central Michigan,13,16,7,43.75
94,95,Texas Tech,12,23,10,43.48
95,95,Arizona State,13,23,10,43.48
96,97,UAB,12,28,12,42.86
97,97,Mississippi State,13,21,9,42.86
98,97,Auburn,13,7,3,42.86
99,100,Oregon State,12,19,8,42.11
100,101,Kentucky,12,24,10,41.67
101,101,San Diego State,13,12,5,41.67
102,101,Eastern Michigan,12,12,5,41.67
103,101,Western Kentucky,13,12,5,41.67
104,105,New Mexico,12,25,10,40.00
105,105,Wake Forest,12,20,8,40.00
106,107,Tulsa,12,28,11,39.29
107,108,Purdue,12,31,12,38.71
108,109,Illinois,13,13,5,38.46
109,109,Michigan,12,13,5,38.46
110,111,Penn State,13,19,7,36.84
111,112,Colorado State,13,14,5,35.71
112,112,Clemson,13,14,5,35.71
113,114,Indiana,12,20,7,35.00
114,115,Miami (Ohio),12,23,8,34.78
115,116,Akron,12,21,7,33.33
116,116,Rice,13,15,5,33.33
117,116,UTEP,13,15,5,33.33
118,116,Western Michigan,13,12,4,33.33
119,120,Iowa State,12,19,6,31.58
120,121,Bowling Green,14,23,7,30.43
121,122,Stanford,13,10,3,30.00
122,123,Tulane,12,27,7,25.93
123,124,South Alabama,13,12,3,25.00
124,125,Southern Mississippi,12,13,3,23.08
125,126,Kansas,12,20,4,20.00
126,127,Utah State,14,13,2,15.38
127,128,Florida State,14,6,0,0.00
