,Rank,Name,G,TFL,TFL Yards,TFL/G
0,1,Duke,13,41.0,168,3.15
1,2,Georgia Southern,12,42.0,146,3.50
2,3,Cincinnati,13,45.0,188,3.46
3,4,Marshall,14,47.5,174,3.39
4,5,Vanderbilt,12,51.0,211,4.25
5,6,Michigan State,13,52.0,149,4.00
6,7,Virginia,12,53.0,224,4.42
7,8,Toledo,13,54.0,248,4.15
8,8,Pittsburgh,13,54.0,252,4.15
9,10,Texas Tech,12,57.0,185,4.75
10,10,Ohio,12,57.0,268,4.75
11,12,San Diego State,13,58.0,236,4.46
12,13,Ball State,12,59.0,196,4.92
13,13,Louisiana-Lafayette,13,59.0,210,4.54
14,13,Akron,12,59.0,213,4.92
15,13,Tulsa,12,59.0,222,4.92
16,13,North Carolina State,13,59.0,289,4.54
17,18,Baylor,13,60.0,225,4.62
18,18,Miami (Florida),13,60.0,243,4.62
19,18,Stanford,13,60.0,252,4.62
20,18,LSU,13,60.0,258,4.62
21,22,Buffalo,11,61.0,180,5.55
22,22,Western Kentucky,13,61.0,230,4.69
23,24,Arkansas,13,62.0,209,4.77
24,24,Mississippi State,13,62.0,222,4.77
25,24,Western Michigan,13,62.0,254,4.77
26,27,Appalachian State,12,63.0,157,5.25
27,27,Alabama,14,63.0,231,4.50
28,29,Oklahoma,13,64.0,171,4.92
29,29,Florida Atlantic,12,64.0,227,5.33
30,29,Nebraska,13,64.0,228,4.92
31,29,Nevada,13,64.0,257,4.92
32,29,California,12,64.0,288,5.33
33,29,Old Dominion,12,64.0,313,5.33
34,35,Georgia Tech,14,65.0,192,4.64
35,35,Navy,13,65.0,231,5.00
36,35,Kent State,11,65.0,241,5.91
37,35,Purdue,12,65.0,286,5.42
38,35,Northwestern,12,65.0,347,5.42
39,40,Air Force,13,66.0,209,5.08
40,41,New Mexico,12,67.0,200,5.58
41,41,Colorado State,13,67.0,288,5.15
42,43,Northern Illinois,14,68.0,216,4.86
43,43,Florida,12,68.0,233,5.67
44,43,Rutgers,13,68.0,242,5.23
45,43,BYU,13,68.0,275,5.23
46,43,Texas A&M,13,68.0,281,5.23
47,43,Florida State,14,68.0,321,4.86
48,49,Georgia,13,69.0,215,5.31
