,Rank,Name,G,Sacks,Sack Yards,Sacks/G
0,1,Georgia Southern,12,5.0,29,0.42
1,2,Oklahoma,13,9.0,58,0.69
2,3,New Mexico State,12,10.0,66,0.83
3,4,Appalachian State,12,11.0,46,0.92
4,4,Michigan State,13,11.0,53,0.85
5,4,Georgia Tech,14,11.0,65,0.79
6,7,New Mexico,12,12.0,74,1.00
7,7,Air Force,13,12.0,80,0.92
8,7,Ball State,12,12.0,81,1.00
9,10,Texas Tech,12,13.0,89,1.08
10,10,Duke,13,13.0,91,1.00
11,10,Wisconsin,14,13.0,99,0.93
12,13,Northern Illinois,14,14.0,82,1.00
13,13,UTEP,13,14.0,88,1.08
14,13,Arkansas,13,14.0,104,1.08
15,16,Auburn,13,15.0,92,1.15
16,17,Buffalo,11,16.0,83,1.46
17,17,Army,12,16.0,88,1.33
18,17,Alabama,14,16.0,108,1.14
19,17,Memphis,13,16.0,130,1.23
20,17,Virginia,12,16.0,134,1.33
21,22,Florida,12,17.0,92,1.42
22,22,Georgia,13,17.0,110,1.31
23,22,Toledo,13,17.0,136,1.31
24,25,Kent State,11,18.0,109,1.64
25,25,Louisiana Tech,14,18.0,115,1.29
26,25,Cincinnati,13,18.0,119,1.39
27,28,Western Kentucky,13,19.0,137,1.46
28,28,Rutgers,13,19.0,142,1.46
29,30,Nevada,13,20.0,148,1.54
30,31,Temple,12,21.0,121,1.75
31,31,Marshall,14,21.0,125,1.50
32,31,Navy,13,21.0,131,1.62
33,31,Florida Atlantic,12,21.0,134,1.75
34,31,Pittsburgh,13,21.0,148,1.62
35,31,Vanderbilt,12,21.0,149,1.75
36,31,Minnesota,13,21.0,150,1.62
37,31,Boston College,13,21.0,153,1.62
38,31,Miami (Florida),13,21.0,156,1.62
39,40,Nebraska,13,22.0,129,1.69
40,40,Iowa,13,22.0,146,1.69
41,42,TCU,13,23.0,120,1.77
42,42,Colorado,12,23.0,137,1.92
43,42,Mississippi State,13,23.0,148,1.77
44,42,Stanford,13,23.0,154,1.77
45,42,South Florida,12,23.0,155,1.92
46,42,San Diego State,13,23.0,156,1.77
47,42,Troy,12,23.0,171,1.92
48,42,Ohio,12,23.0,173,1.92
49,42,Missouri,14,23.0,177,1.64
50,42,Florida State,14,23.0,187,1.64
51,52,Western Michigan,13,24.0,136,1.85
52,52,Baylor,13,24.0,152,1.85
53,52,Akron,12,24.0,152,2.00
54,52,San Jose State,12,24.0,168,2.00
55,52,Syracuse,12,24.0,183,2.00
56,52,Purdue,12,24.0,186,2.00
57,52,North Texas,12,24.0,214,2.00
58,59,Louisiana-Lafayette,13,25.0,144,1.92
59,59,Tulsa,12,25.0,152,2.08
60,59,LSU,13,25.0,183,1.92
61,59,Tulane,12,25.0,198,2.08
62,63,Texas State,12,26.0,151,2.17
63,63,Michigan,12,26.0,172,2.17
64,63,Middle Tennessee,12,26.0,175,2.17
65,63,Indiana,12,26.0,179,2.17
66,63,Texas A&M,13,26.0,187,2.00
67,68,Clemson,13,27.0,196,2.08
68,68,California,12,27.0,203,2.25
69,68,South Carolina,13,27.0,219,2.08
70,71,Utah State,14,28.0,154,2.00
71,71,Rice,13,28.0,160,2.15
72,71,UAB,12,28.0,162,2.33
73,71,Bowling Green,14,28.0,171,2.00
74,71,UCF,13,28.0,184,2.15
75,71,Central Michigan,13,28.0,187,2.15
76,71,Boise State,14,28.0,197,2.00
77,71,Notre Dame,13,28.0,201,2.15
78,71,Massachusetts,12,28.0,201,2.33
79,71,Colorado State,13,28.0,202,2.15
80,71,Ohio State,15,28.0,203,1.87
81,71,North Carolina,13,28.0,215,2.15
82,71,Washington,14,28.0,221,2.00
83,71,Texas,13,28.0,221,2.15
84,71,Old Dominion,12,28.0,232,2.33
85,86,UTSA,12,29.0,186,2.42
86,86,North Carolina State,13,29.0,192,2.23
87,86,Kansas,12,29.0,201,2.42
88,89,Kansas State,13,30.0,172,2.31
89,89,Connecticut,12,30.0,181,2.50
90,89,Iowa State,12,30.0,188,2.50
91,92,Oregon,15,31.0,165,2.07
92,92,Mississippi,13,31.0,171,2.39
93,92,Georgia State,12,31.0,184,2.58
94,92,Arkansas State,13,31.0,193,2.39
95,92,Utah,13,31.0,216,2.39
96,92,West Virginia,13,31.0,228,2.39
97,92,South Alabama,13,31.0,229,2.39
98,99,USC,13,32.0,228,2.46
99,99,East Carolina,13,32.0,232,2.46
100,101,Houston,13,34.0,215,2.62
101,101,Virginia Tech,13,34.0,279,2.62
102,101,Northwestern,12,34.0,279,2.83
103,104,Eastern Michigan,12,35.0,247,2.92
104,105,BYU,13,36.0,211,2.77
105,105,Southern Mississippi,12,36.0,232,3.00
106,105,Kentucky,12,36.0,236,3.00
107,105,Washington State,12,36.0,273,3.00
108,105,Oregon State,12,36.0,304,3.00
109,110,Maryland,13,37.0,222,2.85
110,110,Illinois,13,37.0,239,2.85
111,112,UNLV,13,38.0,247,2.92
112,113,Fresno State,14,40.0,223,2.86
113,113,Oklahoma State,13,40.0,235,3.08
114,113,Arizona State,13,40.0,236,3.08
115,113,Arizona,14,40.0,239,2.86
116,113,Idaho,11,40.0,279,3.64
