,Rank,Name,G,Int.,Yards,TD,Int./G
0,1,TCU,13,26,378,5,2.00
1,1,Louisville,13,26,310,1,2.00
2,1,Louisiana Tech,14,26,343,2,1.86
3,4,Ohio State,15,25,300,2,1.67
4,5,Mississippi,13,22,371,3,1.69
5,5,Auburn,13,22,130,1,1.69
6,5,Boise State,14,22,284,5,1.57
7,8,Houston,13,19,286,1,1.46
8,8,Utah State,14,19,298,2,1.36
9,10,Michigan State,13,18,128,3,1.38
10,10,UCF,13,18,115,0,1.38
11,10,Georgia Tech,14,18,328,5,1.29
12,13,Tulane,12,17,86,0,1.42
13,13,Memphis,13,17,170,3,1.31
14,15,Florida,12,16,138,2,1.33
15,15,Arkansas State,13,16,266,3,1.23
16,15,Mississippi State,13,16,186,1,1.23
17,15,Georgia,13,16,166,1,1.23
18,15,Tennessee,13,16,157,1,1.23
19,15,Penn State,13,16,143,2,1.23
20,15,Notre Dame,13,16,138,0,1.23
21,15,Bowling Green,14,16,172,0,1.14
22,23,Kentucky,12,15,309,4,1.25
23,23,Northwestern,12,15,213,1,1.25
24,23,Virginia,12,15,130,3,1.25
25,23,Texas,13,15,183,2,1.15
26,23,Minnesota,13,15,179,2,1.15
27,23,Kansas State,13,15,42,1,1.15
28,29,Florida International,12,14,325,5,1.17
29,29,Arizona State,13,14,276,3,1.08
30,29,BYU,13,14,249,2,1.08
31,29,USC,13,14,212,2,1.08
32,29,San Diego State,13,14,182,1,1.08
33,29,East Carolina,13,14,132,2,1.08
34,29,Central Michigan,13,14,94,1,1.08
35,29,Florida State,14,14,156,2,1.00
36,29,Northern Illinois,14,14,108,1,1.00
37,38,Georgia Southern,12,13,277,2,1.08
38,38,Akron,12,13,244,1,1.08
39,38,Texas State,12,13,225,1,1.08
40,38,Indiana,12,13,110,1,1.08
41,38,Middle Tennessee,12,13,58,0,1.08
42,38,Western Kentucky,13,13,414,4,1.00
43,38,Navy,13,13,279,1,1.00
44,38,Nevada,13,13,215,3,1.00
45,38,Baylor,13,13,203,0,1.00
46,38,Iowa,13,13,169,2,1.00
47,38,Western Michigan,13,13,167,1,1.00
48,38,Colorado State,13,13,128,0,1.00
49,38,Nebraska,13,13,124,0,1.00
50,38,Washington,14,13,289,4,0.93
51,38,Marshall,14,13,173,1,0.93
52,38,Arizona,14,13,138,1,0.93
53,38,Oregon,15,13,163,0,0.87
54,55,North Texas,12,12,198,2,1.00
55,55,Massachusetts,12,12,184,1,1.00
56,55,Ohio,12,12,174,0,1.00
57,55,Appalachian State,12,12,97,1,1.00
58,55,California,12,12,60,0,1.00
59,55,Arkansas,13,12,241,1,0.92
60,55,North Carolina,13,12,232,3,0.92
61,55,Virginia Tech,13,12,228,2,0.92
62,55,Clemson,13,12,213,2,0.92
63,55,Oklahoma,13,12,191,3,0.92
64,55,Utah,13,12,172,3,0.92
65,55,Oklahoma State,13,12,155,2,0.92
66,55,West Virginia,13,12,106,2,0.92
67,55,Stanford,13,12,68,0,0.92
68,55,Missouri,14,12,197,1,0.86
69,70,Temple,12,11,315,2,0.92
70,70,Army,12,11,237,2,0.92
71,70,New Mexico,12,11,151,1,0.92
72,70,Oregon State,12,11,109,1,0.92
73,70,Louisiana-Monroe,12,11,103,1,0.92
74,70,Troy,12,11,95,1,0.92
75,70,New Mexico State,12,11,76,1,0.92
76,70,Miami (Ohio),12,11,59,1,0.92
77,70,UCLA,13,11,231,3,0.85
78,70,South Carolina,13,11,203,2,0.85
79,70,Duke,13,11,159,2,0.85
80,70,Hawai'i,13,11,139,0,0.85
81,70,UTEP,13,11,138,2,0.85
82,70,Alabama,14,11,84,0,0.79
83,84,Purdue,12,10,223,1,0.83
84,84,Ball State,12,10,177,0,0.83
85,84,Iowa State,12,10,65,0,0.83
86,84,North Carolina State,13,10,159,1,0.77
87,84,Pittsburgh,13,10,95,0,0.77
88,84,Miami (Florida),13,10,93,1,0.77
89,84,Toledo,13,10,93,0,0.77
90,84,LSU,13,10,83,1,0.77
91,84,Air Force,13,10,72,0,0.77
92,93,Kansas,12,9,168,0,0.75
93,93,UAB,12,9,99,2,0.75
94,93,UTSA,12,9,95,0,0.75
95,93,Maryland,13,9,172,2,0.69
96,93,Rice,13,9,167,1,0.69
97,93,Boston College,13,9,86,0,0.69
