,Rank,Name,G,Total Time,Time/G
0,1,Michigan State,13,459:35,35:21.15
1,2,UTEP,13,454:28,34:57.54
2,3,Georgia Tech,14,478:12,34:09.43
3,4,Arkansas,13,442:37,34:02.85
4,5,Pittsburgh,13,439:38,33:49.08
5,6,Wisconsin,14,471:00,33:38.57
6,7,Rice,13,436:49,33:36.08
7,8,Central Michigan,13,434:22,33:24.77
8,9,LSU,13,430:47,33:08.23
9,10,Boston College,13,430:18,33:06.00
10,11,Buffalo,11,361:32,32:52.00
11,12,Western Michigan,13,426:10,32:46.92
12,13,Kansas State,13,425:31,32:43.92
13,14,Colorado,12,390:58,32:34.83
14,15,Louisville,13,422:51,32:31.62
15,16,Wyoming,12,389:31,32:27.58
16,17,Georgia Southern,12,387:15,32:16.25
17,18,Stanford,13,418:46,32:12.77
18,19,Oregon State,12,382:17,31:51.42
19,20,Alabama,14,444:23,31:44.50
20,21,Louisiana-Lafayette,13,412:18,31:42.92
21,22,Virginia,12,379:47,31:38.92
22,23,UCF,13,411:07,31:37.46
23,24,Tulsa,12,378:55,31:34.58
24,25,Air Force,13,410:07,31:32.85
25,26,Ohio State,15,472:34,31:30.27
26,27,Toledo,13,408:59,31:27.62
27,28,Boise State,14,440:23,31:27.36
28,29,Iowa,13,408:38,31:26.00
29,30,Minnesota,13,408:26,31:25.08
30,31,San Jose State,12,376:59,31:24.92
31,32,Virginia Tech,13,408:22,31:24.77
32,33,Washington State,12,376:52,31:24.33
33,34,Clemson,13,408:03,31:23.31
34,35,Appalachian State,12,376:00,31:20.00
35,36,Army,12,375:57,31:19.75
36,37,Idaho,11,344:31,31:19.18
37,38,San Diego State,13,407:09,31:19.15
38,39,Penn State,13,406:22,31:15.54
39,40,Nevada,13,403:22,31:01.69
40,41,Michigan,12,370:26,30:52.17
41,42,South Carolina,13,400:38,30:49.08
42,43,TCU,13,398:06,30:37.38
43,44,USC,13,397:25,30:34.23
44,45,UAB,12,366:40,30:33.33
45,46,Tulane,12,366:23,30:31.92
46,47,Florida International,12,365:56,30:29.67
47,48,South Alabama,13,394:37,30:21.31
48,49,Oklahoma,13,394:19,30:19.92
49,50,Rutgers,13,393:37,30:16.69
50,51,Nebraska,13,393:34,30:16.46
51,52,Kansas,12,363:11,30:15.92
52,53,Tennessee,13,393:08,30:14.46
53,54,Navy,13,392:58,30:13.69
54,55,New Mexico,12,362:18,30:11.50
55,56,Memphis,13,391:32,30:07.08
56,57,California,12,359:35,29:57.92
57,58,Florida,12,359:08,29:55.67
58,59,Ball State,12,358:35,29:52.92
59,60,West Virginia,13,388:26,29:52.77
60,61,Auburn,13,388:25,29:52.69
61,62,Louisiana-Monroe,12,358:32,29:52.67
62,63,Utah,13,388:19,29:52.23
63,64,Notre Dame,13,388:06,29:51.23
64,65,Ohio,12,357:37,29:48.08
65,66,East Carolina,13,386:17,29:42.85
66,67,Texas,13,386:15,29:42.69
67,68,Louisiana Tech,14,415:27,29:40.50
68,69,UTSA,12,355:57,29:39.75
69,70,Houston,13,385:12,29:37.85
70,71,Mississippi State,13,385:06,29:37.38
71,72,Vanderbilt,12,353:55,29:29.58
72,73,North Carolina State,13,383:23,29:29.46
73,74,Northwestern,12,353:16,29:26.33
74,75,Southern Mississippi,12,353:01,29:25.08
75,76,Utah State,14,411:14,29:22.43
76,77,Troy,12,352:18,29:21.50
77,78,Florida Atlantic,12,352:07,29:20.58
78,79,Miami (Florida),13,380:35,29:16.54
79,80,Georgia,13,380:31,29:16.23
80,81,UCLA,13,379:09,29:09.92
81,82,Colorado State,13,379:07,29:09.77
82,83,Miami (Ohio),12,349:26,29:07.17
83,84,Duke,13,378:28,29:06.77
84,85,Akron,12,349:11,29:05.92
85,86,Kent State,11,319:34,29:03.09
86,87,Baylor,13,377:38,29:02.92
87,88,Missouri,14,405:57,28:59.79
88,89,Florida State,14,405:13,28:56.64
89,90,Purdue,12,346:59,28:54.92
90,91,Arkansas State,13,375:05,28:51.15
91,92,SMU,12,346:10,28:50.83
92,93,Hawai'i,13,374:16,28:47.38
93,94,Middle Tennessee,12,345:12,28:46.00
94,95,Wake Forest,12,344:48,28:44.00
95,96,Northern Illinois,14,402:12,28:43.71
96,97,Fresno State,14,402:01,28:42.93
97,98,Cincinnati,13,373:17,28:42.85
98,99,Arizona State,13,373:11,28:42.38
99,100,Kentucky,12,344:05,28:40.42
100,101,North Texas,12,343:45,28:38.75
101,102,Washington,14,400:34,28:36.71
102,103,Marshall,14,399:42,28:33.00
103,104,Iowa State,12,342:09,28:30.75
104,105,Connecticut,12,340:56,28:24.67
105,106,Georgia State,12,340:23,28:21.92
106,107,South Florida,12,340:13,28:21.08
107,108,Indiana,12,339:56,28:19.67
108,109,Mississippi,13,367:04,28:14.15
109,110,Texas State,12,337:16,28:06.33
110,111,Western Kentucky,13,365:07,28:05.15
111,112,Old Dominion,12,336:49,28:04.08
112,113,Oklahoma State,13,363:55,27:59.62
113,114,BYU,13,362:44,27:54.15
114,115,Illinois,13,360:16,27:42.77
115,116,New Mexico State,12,330:47,27:33.92
116,117,UNLV,13,356:36,27:25.85
117,118,Massachusetts,12,327:10,27:15.83
118,119,Arizona,14,381:13,27:13.79
119,120,Maryland,13,350:10,26:56.15
120,121,Oregon,15,402:15,26:49.00
121,122,Temple,12,321:32,26:47.67
122,123,Syracuse,12,320:13,26:41.08
123,124,Eastern Michigan,12,318:16,26:31.33
124,125,Texas A&M,13,341:07,26:14.38
125,126,Bowling Green,14,366:52,26:12.29
126,127,Texas Tech,12,313:04,26:05.33
127,128,North Carolina,13,331:09,25:28.38
