,Rank,Name,G,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Iowa,13,0,0,0,0,0,0,0
1,1,North Texas,12,0,0,0,0,0,0,0
2,1,UTEP,13,0,0,0,0,0,0,0
3,4,Connecticut,12,1,0,0,0,0,0,0
4,4,Memphis,13,1,0,0,0,0,0,0
5,6,Arkansas State,13,2,1,1,0,0,0,0
6,6,Iowa State,12,2,1,1,1,1,1,1
7,6,LSU,13,2,0,0,0,0,0,0
8,6,North Carolina,13,2,1,0,0,0,0,0
9,6,North Carolina State,13,2,0,0,0,0,0,0
10,6,Ohio State,15,2,0,0,0,0,0,0
11,6,Pittsburgh,13,2,1,1,1,1,1,1
12,6,Tulsa,12,2,1,1,0,0,0,0
13,6,Virginia,12,2,1,1,1,1,1,1
14,15,Clemson,13,3,2,2,1,1,1,1
15,15,Colorado State,13,3,0,0,0,0,0,0
16,15,Fresno State,14,3,1,1,0,0,0,0
17,15,Georgia Tech,14,3,0,0,0,0,0,0
18,15,Houston,13,3,0,0,0,0,0,0
19,15,Kansas State,13,3,2,0,0,0,0,0
20,15,Louisiana-Lafayette,13,3,2,1,0,0,0,0
21,15,Michigan,12,3,0,0,0,0,0,0
22,15,Minnesota,13,3,0,0,0,0,0,0
23,15,Mississippi State,13,3,0,0,0,0,0,0
24,15,New Mexico,12,3,0,0,0,0,0,0
25,15,Northwestern,12,3,2,2,1,1,1,1
26,15,Oklahoma,13,3,1,0,0,0,0,0
27,15,Stanford,13,3,1,1,1,1,1,1
28,15,Syracuse,12,3,2,2,2,1,1,1
29,15,Texas State,12,3,1,1,0,0,0,0
30,15,UCLA,13,3,3,1,1,1,1,1
31,15,UNLV,13,3,1,0,0,0,0,0
32,15,UTSA,12,3,2,0,0,0,0,0
33,15,Utah,13,3,2,1,1,1,1,1
34,15,Virginia Tech,13,3,1,0,0,0,0,0
35,15,Wake Forest,12,3,1,0,0,0,0,0
36,37,Arizona,14,4,0,0,0,0,0,0
37,37,Eastern Michigan,12,4,1,1,1,1,1,1
38,37,Georgia Southern,12,4,0,0,0,0,0,0
39,37,Georgia State,12,4,3,1,1,0,0,0
40,37,Kent State,11,4,1,1,1,0,0,0
41,37,Louisville,13,4,1,0,0,0,0,0
42,37,Miami (Ohio),12,4,3,2,2,2,2,1
43,37,Mississippi,13,4,1,1,1,0,0,0
44,37,Nevada,13,4,2,0,0,0,0,0
45,37,New Mexico State,12,4,1,1,1,1,1,0
46,37,Notre Dame,13,4,2,1,1,1,1,1
47,37,Oregon State,12,4,1,0,0,0,0,0
48,37,SMU,12,4,3,2,1,1,1,1
49,37,Temple,12,4,0,0,0,0,0,0
50,37,Texas A&M,13,4,2,1,0,0,0,0
51,37,Tulane,12,4,4,2,1,1,0,0
52,37,Western Kentucky,13,4,3,3,3,3,3,3
53,54,Air Force,13,5,1,0,0,0,0,0
54,54,BYU,13,5,2,1,0,0,0,0
55,54,Boise State,14,5,2,1,1,1,1,1
56,54,Florida,12,5,1,1,1,1,1,1
57,54,Florida Atlantic,12,5,3,1,1,1,1,0
58,54,Florida State,14,5,3,0,0,0,0,0
59,54,Illinois,13,5,3,2,1,1,1,0
60,54,Nebraska,13,5,4,1,1,1,1,1
61,54,South Carolina,13,5,3,2,2,2,2,2
62,54,South Florida,12,5,2,1,0,0,0,0
63,54,Texas Tech,12,5,1,1,0,0,0,0
64,54,Utah State,14,5,0,0,0,0,0,0
65,66,Akron,12,6,1,0,0,0,0,0
66,66,Alabama,14,6,3,3,2,2,1,1
67,66,Georgia,13,6,1,0,0,0,0,0
68,66,Indiana,12,6,3,1,1,1,0,0
69,66,Louisiana-Monroe,12,6,2,1,1,1,0,0
70,66,Michigan State,13,6,2,1,0,0,0,0
71,66,Ohio,12,6,1,1,0,0,0,0
72,66,Penn State,13,6,3,3,3,2,1,1
73,66,Purdue,12,6,3,1,1,0,0,0
74,66,San Diego State,13,6,1,1,0,0,0,0
75,66,San Jose State,12,6,3,0,0,0,0,0
76,66,South Alabama,13,6,2,0,0,0,0,0
77,66,Tennessee,13,6,1,0,0,0,0,0
