,Rank,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
0,1,Clemson,13,1344,2046,841,3390,4.03,260.8
1,2,Penn State,13,1306,2317,849,3623,4.27,278.7
2,3,Stanford,13,1358,2313,873,3671,4.21,282.4
3,4,Wisconsin,14,1765,2352,839,4117,4.91,294.1
4,5,UCF,13,1356,2525,869,3881,4.47,298.5
5,6,Louisville,13,1416,2595,845,4011,4.75,308.5
6,7,Michigan,12,1412,2324,783,3736,4.77,311.3
7,8,Michigan State,13,1150,2955,807,4105,5.09,315.8
8,9,LSU,13,1985,2134,845,4119,4.87,316.8
9,10,Arkansas,13,1490,2714,821,4204,5.12,323.4
10,11,Boston College,13,1228,2987,822,4215,5.13,324.2
11,12,Alabama,14,1434,3164,945,4598,4.87,328.4
12,13,Mississippi,13,1780,2497,915,4277,4.67,329.0
13,14,Miami (Florida),13,1782,2503,895,4285,4.79,329.6
14,15,Florida,12,1394,2563,869,3957,4.55,329.8
15,16,San Diego State,13,2001,2321,877,4322,4.93,332.5
16,17,Georgia,13,2169,2215,905,4384,4.84,337.2
17,18,TCU,13,1414,3029,953,4443,4.66,341.8
18,19,Ohio State,15,2120,3016,1032,5136,4.98,342.4
19,20,Houston,13,1863,2601,915,4464,4.88,343.4
20,21,Virginia Tech,13,1882,2587,868,4469,5.15,343.8
21,22,Iowa,13,2188,2287,847,4475,5.28,344.2
22,23,Missouri,14,1865,2978,1005,4843,4.82,345.9
23,24,Temple,12,1922,2243,876,4165,4.75,347.1
24,25,Appalachian State,12,1828,2342,786,4170,5.31,347.5
25,26,Texas,13,2136,2395,968,4531,4.68,348.5
26,27,Syracuse,12,1671,2519,838,4190,5.00,349.2
27,28,Memphis,13,1580,2964,959,4544,4.74,349.5
28,29,Virginia,12,1448,2790,825,4238,5.14,353.2
29,30,Central Michigan,13,1598,3023,849,4621,5.44,355.5
30,31,Utah State,14,1830,3155,1047,4985,4.76,356.1
31,32,Marshall,14,2243,2756,1056,4999,4.73,357.1
32,33,San Jose State,12,2873,1414,777,4287,5.52,357.3
33,34,Pittsburgh,13,2091,2586,837,4677,5.59,359.8
34,35,Louisiana Tech,14,1655,3420,1028,5075,4.94,362.5
35,36,Florida International,12,1925,2440,812,4365,5.38,363.8
36,37,Tennessee,13,2189,2551,892,4740,5.31,364.6
37,38,East Carolina,13,1453,3322,937,4775,5.10,367.3
38,39,UTEP,13,2299,2486,760,4785,6.30,368.1
39,40,Minnesota,13,2271,2515,882,4786,5.43,368.2
40,41,Wake Forest,12,2192,2239,849,4431,5.22,369.3
41,41,Kansas State,13,1824,2977,879,4801,5.46,369.3
42,43,North Texas,12,1941,2492,809,4433,5.48,369.4
43,44,UTSA,12,1682,2754,848,4436,5.23,369.7
44,45,Akron,12,1783,2670,859,4453,5.18,371.1
45,46,Western Michigan,13,1996,2829,882,4825,5.47,371.2
46,47,North Carolina State,13,2189,2661,926,4850,5.24,373.1
47,48,Louisiana-Monroe,12,2200,2279,844,4479,5.31,373.3
48,49,Boise State,14,1996,3260,1004,5256,5.24,375.4
49,50,Connecticut,12,2038,2505,871,4543,5.22,378.6
50,51,Baylor,13,1530,3434,941,4964,5.28,381.8
51,52,Oklahoma,13,1383,3591,968,4974,5.14,382.6
52,53,Nebraska,13,2312,2676,929,4988,5.37,383.7
53,54,Northwestern,12,2039,2572,878,4611,5.25,384.3
54,55,Rice,13,1983,3034,874,5017,5.74,385.9
55,56,Tulane,12,1895,2759,824,4654,5.65,387.8
56,57,Georgia Southern,12,1844,2813,849,4657,5.49,388.1
57,58,BYU,13,1584,3506,1032,5090,4.93,391.5
58,59,Northern Illinois,14,2284,3199,997,5483,5.50,391.6
59,60,Utah,13,1909,3206,957,5115,5.34,393.5
60,61,Ohio,12,1595,3137,848,4732,5.58,394.3
61,62,Air Force,13,1763,3368,895,5131,5.73,394.7
62,63,Florida State,14,2382,3175,1008,5557,5.51,396.9
63,64,Buffalo,11,1927,2448,746,4375,5.86,397.7
64,65,UCLA,13,1923,3258,1002,5181,5.17,398.5
65,66,Auburn,13,2194,2991,914,5185,5.67,398.8
66,67,South Alabama,13,2419,2767,927,5186,5.59,398.9
67,68,West Virginia,13,2186,3006,957,5192,5.43,399.4
68,69,Duke,13,2508,2688,985,5196,5.28,399.7
69,70,Vanderbilt,12,2205,2620,844,4825,5.72,402.1
70,71,South Florida,12,2195,2638,849,4833,5.69,402.8
71,72,Navy,13,2582,2668,901,5250,5.83,403.8
72,73,Notre Dame,13,2225,3029,938,5254,5.60,404.2
