,Rank,Name,G,Att.,Made,Pct.,Att/G,Made/G
0,1,Arkansas,13,13,6,46.2,1.0,0.5
1,2,Hawai'i,13,15,7,46.7,1.2,0.5
2,3,Northwestern,12,21,11,52.4,1.8,0.9
3,4,Memphis,13,19,10,52.6,1.5,0.8
4,5,UTEP,13,15,8,53.3,1.2,0.6
5,5,UAB,12,15,8,53.3,1.3,0.7
6,7,Arkansas State,13,13,7,53.8,1.0,0.5
7,8,Tulsa,12,22,12,54.5,1.8,1.0
8,9,Virginia Tech,13,32,18,56.3,2.5,1.4
9,10,Nevada,13,23,13,56.5,1.8,1.0
10,10,Rutgers,13,23,13,56.5,1.8,1.0
11,12,Western Kentucky,13,19,11,57.9,1.5,0.8
12,13,San Diego State,13,15,9,60.0,1.2,0.7
13,13,Michigan State,13,15,9,60.0,1.2,0.7
14,13,Notre Dame,13,20,12,60.0,1.5,0.9
15,13,Southern Mississippi,12,20,12,60.0,1.7,1.0
16,13,South Alabama,13,25,15,60.0,1.9,1.2
17,18,Texas A&M,13,28,17,60.7,2.2,1.3
18,19,Temple,12,23,14,60.9,1.9,1.2
19,20,Houston,13,18,11,61.1,1.4,0.8
20,20,USC,13,18,11,61.1,1.4,0.8
21,20,Auburn,13,18,11,61.1,1.4,0.8
22,23,Georgia Southern,12,13,8,61.5,1.1,0.7
23,24,Bowling Green,14,21,13,61.9,1.5,0.9
24,25,Tulane,12,27,17,63.0,2.3,1.4
25,26,South Carolina,13,30,19,63.3,2.3,1.5
26,27,Georgia,13,11,7,63.6,0.8,0.5
27,28,Tennessee,13,17,11,64.7,1.3,0.8
28,28,Ball State,12,17,11,64.7,1.4,0.9
29,30,Northern Illinois,14,20,13,65.0,1.4,0.9
30,30,Louisiana-Lafayette,13,20,13,65.0,1.5,1.0
31,30,Colorado State,13,20,13,65.0,1.5,1.0
32,30,Mississippi State,13,20,13,65.0,1.5,1.0
33,30,Eastern Michigan,12,20,13,65.0,1.7,1.1
34,35,Navy,13,23,15,65.2,1.8,1.2
35,36,Ohio State,15,15,10,66.7,1.0,0.7
36,36,Louisiana-Monroe,12,15,10,66.7,1.3,0.8
37,36,Idaho,11,18,12,66.7,1.6,1.1
38,36,Appalachian State,12,21,14,66.7,1.8,1.2
39,36,Cincinnati,13,30,20,66.7,2.3,1.5
40,41,BYU,13,25,17,68.0,1.9,1.3
41,42,Central Michigan,13,22,15,68.2,1.7,1.2
42,43,Mississippi,13,19,13,68.4,1.5,1.0
43,43,Miami (Florida),13,19,13,68.4,1.5,1.0
44,43,California,12,19,13,68.4,1.6,1.1
45,43,Connecticut,12,19,13,68.4,1.6,1.1
46,43,Texas State,12,19,13,68.4,1.6,1.1
47,43,Wyoming,12,19,13,68.4,1.6,1.1
48,49,Nebraska,13,16,11,68.8,1.2,0.8
49,49,Ohio,12,16,11,68.8,1.3,0.9
50,51,Penn State,13,26,18,69.2,2.0,1.4
51,52,Purdue,12,23,16,69.6,1.9,1.3
52,53,Western Michigan,13,20,14,70.0,1.5,1.1
53,53,Kentucky,12,20,14,70.0,1.7,1.2
54,55,North Carolina,13,17,12,70.6,1.3,0.9
55,55,Rice,13,17,12,70.6,1.3,0.9
56,55,Florida International,12,17,12,70.6,1.4,1.0
57,58,Arizona,14,24,17,70.8,1.7,1.2
58,58,East Carolina,13,24,17,70.8,1.8,1.3
59,58,Oklahoma State,13,24,17,70.8,1.8,1.3
60,61,New Mexico,12,14,10,71.4,1.2,0.8
61,61,Utah State,14,21,15,71.4,1.5,1.1
62,61,Utah,13,21,15,71.4,1.6,1.2
63,61,Illinois,13,21,15,71.4,1.6,1.2
64,61,North Carolina State,13,21,15,71.4,1.6,1.2
65,61,Middle Tennessee,12,21,15,71.4,1.8,1.3
66,67,Florida State,14,25,18,72.0,1.8,1.3
67,67,Wake Forest,12,25,18,72.0,2.1,1.5
68,69,Virginia,12,18,13,72.2,1.5,1.1
69,69,Akron,12,18,13,72.2,1.5,1.1
70,71,Louisiana Tech,14,29,21,72.4,2.1,1.5
71,72,Clemson,13,15,11,73.3,1.2,0.8
72,73,Air Force,13,19,14,73.7,1.5,1.1
73,73,Massachusetts,12,19,14,73.7,1.6,1.2
74,75,Fresno State,14,23,17,73.9,1.6,1.2
75,75,Oregon State,12,23,17,73.9,1.9,1.4
76,77,SMU,12,27,20,74.1,2.3,1.7
77,78,Maryland,13,31,23,74.2,2.4,1.8
78,79,Old Dominion,12,12,9,75.0,1.0,0.8
79,79,Minnesota,13,16,12,75.0,1.2,0.9
80,79,South Florida,12,16,12,75.0,1.3,1.0
81,79,Marshall,14,20,15,75.0,1.4,1.1
82,79,Oregon,15,24,18,75.0,1.6,1.2
83,79,Florida,12,20,15,75.0,1.7,1.3
84,85,Iowa,13,21,16,76.2,1.6,1.2
85,86,Boston College,13,17,13,76.5,1.3,1.0
86,86,Texas,13,17,13,76.5,1.3,1.0
87,86,San Jose State,12,17,13,76.5,1.4,1.1
88,89,Pittsburgh,13,13,10,76.9,1.0,0.8
89,89,Indiana,12,26,20,76.9,2.2,1.7
90,91,Duke,13,22,17,77.3,1.7,1.3
91,92,Missouri,14,18,14,77.8,1.3,1.0
92,92,Oklahoma,13,18,14,77.8,1.4,1.1
93,94,Texas Tech,12,23,18,78.3,1.9,1.5
94,95,Kansas State,13,14,11,78.6,1.1,0.8
95,95,Stanford,13,14,11,78.6,1.1,0.8
96,95,Baylor,13,14,11,78.6,1.1,0.8
97,98,Toledo,13,19,15,78.9,1.5,1.2
98,98,New Mexico State,12,19,15,78.9,1.6,1.3
99,100,Syracuse,12,24,19,79.2,2.0,1.6
100,101,North Texas,12,10,8,80.0,0.8,0.7
101,101,Buffalo,11,10,8,80.0,0.9,0.7
102,101,Miami (Ohio),12,15,12,80.0,1.3,1.0
103,101,UCF,13,20,16,80.0,1.5,1.2
104,105,Michigan,12,22,18,81.8,1.8,1.5
105,106,Wisconsin,14,18,15,83.3,1.3,1.1
106,106,Kent State,11,18,15,83.3,1.6,1.4
107,106,Washington,14,24,20,83.3,1.7,1.4
108,106,UNLV,13,24,20,83.3,1.8,1.5
109,106,UTSA,12,24,20,83.3,2.0,1.7
110,111,West Virginia,13,25,21,84.0,1.9,1.6
111,112,Boise State,14,19,16,84.2,1.4,1.1
112,113,UCLA,13,20,17,85.0,1.5,1.3
113,113,Vanderbilt,12,20,17,85.0,1.7,1.4
114,115,Georgia Tech,14,21,18,85.7,1.5,1.3
115,115,Washington State,12,21,18,85.7,1.8,1.5
116,115,Georgia State,12,21,18,85.7,1.8,1.5
117,115,Kansas,12,28,24,85.7,2.3,2.0
118,119,LSU,13,15,13,86.7,1.2,1.0
119,119,Arizona State,13,15,13,86.7,1.2,1.0
120,121,Florida Atlantic,12,16,14,87.5,1.3,1.2
121,122,Army,12,17,15,88.2,1.4,1.3
122,123,Louisville,13,26,23,88.5,2.0,1.8
123,124,Iowa State,12,23,21,91.3,1.9,1.8
124,125,Alabama,14,25,23,92.0,1.8,1.6
125,126,Troy,12,15,14,93.3,1.3,1.2
126,127,TCU,13,18,17,94.4,1.4,1.3
127,128,Colorado,12,19,18,94.7,1.6,1.5
