,Rank,Name,G,Kickoffs,Yards,Avg.,Touchback,Touchback %,Out-Of-Bounds,Onside
0,1,Georgia,13,50,2791,55.82,14,28.00,0,3
1,2,Oklahoma,13,68,3810,56.03,25,36.76,1,0
2,3,Marshall,14,62,3503,56.50,13,20.97,2,2
3,4,Buffalo,11,65,3709,57.06,16,24.62,3,1
4,5,Nebraska,13,65,3730,57.38,18,27.69,2,2
5,6,UTEP,13,70,4038,57.69,23,32.86,4,0
6,7,Akron,12,61,3548,58.16,25,40.98,4,0
7,8,San Diego State,13,55,3200,58.18,15,27.27,2,0
8,8,Vanderbilt,12,77,4480,58.18,14,18.18,2,1
9,10,Massachusetts,12,76,4427,58.25,22,28.95,1,0
10,11,Kansas State,13,61,3563,58.41,21,34.43,3,1
11,12,Alabama,14,63,3685,58.49,12,19.05,1,0
12,13,UCLA,13,70,4098,58.54,19,27.14,2,4
13,14,Minnesota,13,59,3458,58.61,19,32.20,3,3
14,15,TCU,13,54,3168,58.67,16,29.63,1,1
15,16,Troy,12,81,4755,58.70,25,30.86,0,2
16,17,Bowling Green,14,88,5173,58.78,22,25.00,4,0
17,18,Purdue,12,76,4473,58.86,24,31.58,3,0
18,18,Oklahoma State,13,81,4768,58.86,30,37.04,0,0
19,20,Missouri,14,60,3532,58.87,30,50.00,3,2
20,21,Navy,13,68,4005,58.90,24,35.29,2,6
21,22,Tennessee,13,63,3716,58.98,21,33.33,3,1
22,23,Memphis,13,51,3011,59.04,11,21.57,2,4
23,24,Army,12,68,4019,59.10,27,39.71,4,7
24,25,Ball State,12,63,3727,59.16,18,28.57,1,1
25,26,Washington,14,70,4143,59.19,23,32.86,2,3
26,27,Central Michigan,13,67,3968,59.22,22,32.84,2,1
27,27,Indiana,12,79,4678,59.22,27,34.18,3,0
28,29,Stanford,13,46,2727,59.28,16,34.78,0,2
29,30,Miami (Ohio),12,73,4337,59.41,25,34.25,3,0
30,31,Wake Forest,12,65,3862,59.42,23,35.38,5,1
31,32,USC,13,61,3627,59.46,15,24.59,1,4
32,33,Texas A&M,13,73,4345,59.52,18,24.66,1,2
33,34,Houston,13,56,3334,59.54,10,17.86,1,0
34,35,Air Force,13,63,3752,59.56,26,41.27,2,4
35,35,Illinois,13,80,4765,59.56,36,45.00,4,3
36,37,Michigan,12,59,3515,59.58,32,54.24,2,1
37,38,Kent State,11,64,3815,59.61,17,26.56,3,0
38,39,Arkansas State,13,73,4353,59.63,22,30.14,3,1
39,40,California,12,84,5010,59.64,29,34.52,1,3
40,41,New Mexico,12,79,4712,59.65,29,36.71,4,0
41,42,BYU,13,72,4300,59.72,22,30.56,1,0
42,43,Northern Illinois,14,68,4069,59.84,16,23.53,4,3
43,44,Oregon,15,68,4070,59.85,21,30.88,1,5
44,45,Middle Tennessee,12,69,4130,59.86,31,44.93,2,2
45,46,Temple,12,48,2874,59.88,12,25.00,2,1
46,47,Northwestern,12,62,3713,59.89,22,35.48,0,0
47,48,Arkansas,13,49,2935,59.90,24,48.98,1,1
48,48,Baylor,13,60,3594,59.90,18,30.00,1,6
49,50,Colorado State,13,64,3834,59.91,23,35.94,0,1
50,51,Florida,12,53,3181,60.02,11,20.75,1,0
51,52,Florida International,12,61,3662,60.03,24,39.34,2,0
52,53,South Florida,12,60,3603,60.05,16,26.67,2,2
53,54,Connecticut,12,69,4145,60.07,20,28.99,1,1
54,55,Auburn,13,64,3845,60.08,25,39.06,3,1
55,56,Georgia State,12,95,5711,60.12,35,36.84,3,0
56,57,LSU,13,51,3071,60.22,18,35.29,1,0
57,57,Texas Tech,12,88,5299,60.22,37,42.05,2,3
58,59,Idaho,11,77,4638,60.23,29,37.66,0,0
59,60,Ohio,12,59,3555,60.25,19,32.20,2,2
60,61,Pittsburgh,13,62,3737,60.27,18,29.03,3,4
61,62,Toledo,13,76,4581,60.28,26,34.21,2,1
62,63,Boise State,14,73,4411,60.42,10,13.70,1,3
63,64,Texas State,12,62,3748,60.45,26,41.94,2,2
64,64,UTSA,12,67,4050,60.45,22,32.84,3,0
65,66,Georgia Southern,12,52,3144,60.46,15,28.85,3,5
66,67,UAB,12,65,3931,60.48,13,20.00,4,1
67,68,Miami (Florida),13,63,3811,60.49,26,41.27,2,2
68,69,Fresno State,14,89,5392,60.58,36,40.45,2,1
69,70,Old Dominion,12,78,4726,60.59,32,41.03,1,1
70,71,Western Kentucky,13,88,5345,60.74,32,36.36,2,1
71,72,Louisiana Tech,14,71,4313,60.75,24,33.80,2,1
72,73,Appalachian State,12,61,3708,60.79,29,47.54,0,6
73,74,Oregon State,12,72,4379,60.82,16,22.22,1,2
74,75,Duke,13,60,3650,60.83,23,38.33,1,2
75,76,Tulane,12,66,4017,60.86,26,39.39,1,1
76,77,Boston College,13,56,3412,60.93,19,33.93,1,2
77,77,Utah State,14,60,3656,60.93,25,41.67,3,0
78,79,Mississippi State,13,57,3476,60.98,28,49.12,1,4
79,80,Louisiana-Lafayette,13,67,4089,61.03,31,46.27,2,1
80,80,Florida State,14,73,4455,61.03,20,27.40,3,2
81,82,Notre Dame,13,68,4152,61.06,20,29.41,3,4
82,83,Washington State,12,88,5381,61.15,37,42.05,1,0
83,84,West Virginia,13,75,4588,61.17,28,37.33,0,1
84,85,Virginia,12,59,3611,61.20,22,37.29,2,2
85,86,East Carolina,13,68,4162,61.21,19,27.94,3,1
86,87,Western Michigan,13,65,3979,61.22,23,35.38,3,1
87,88,Florida Atlantic,12,79,4837,61.23,22,27.85,1,0
88,89,Eastern Michigan,12,86,5267,61.24,32,37.21,3,2
89,90,Iowa,13,68,4165,61.25,22,32.35,3,2
90,91,North Carolina State,13,68,4166,61.26,31,45.59,1,4
91,92,Michigan State,13,55,3370,61.27,19,34.55,0,3
92,93,Mississippi,13,48,2942,61.29,16,33.33,0,1
93,93,Nevada,13,68,4168,61.29,44,64.71,5,1
