,Rank,Name,G,Att,Comp,Pct.,Yards,Yards/Att,TD,Int,Rating,Att/G,Yards/G
105,106,Florida,12,324,169,52.2,2159,6.7,18,14,117.83,27.0,179.9
106,107,Vanderbilt,12,357,180,50.4,2149,6.0,13,19,102.37,29.8,179.1
107,108,San Diego State,13,349,183,52.4,2319,6.6,10,15,109.11,26.8,178.4
108,109,Wake Forest,12,385,225,58.4,2116,5.5,12,14,107.63,32.1,176.3
109,110,UTSA,12,356,203,57.0,2104,5.9,7,12,106.41,29.7,175.3
110,111,North Texas,12,331,181,54.7,2073,6.3,13,13,112.40,27.6,172.8
111,112,Michigan,12,326,189,58.0,2042,6.3,10,18,109.68,27.2,170.2
112,113,Connecticut,12,340,185,54.4,2032,6.0,12,12,109.20,28.3,169.3
113,114,SMU,12,430,230,53.5,2024,4.7,6,14,91.12,35.8,168.7
114,115,Florida International,12,324,171,52.8,2016,6.2,15,10,114.15,27.0,168.0
115,116,LSU,13,276,138,50.0,2118,7.7,17,9,128.26,21.2,162.9
116,117,Eastern Michigan,12,320,167,52.2,1821,5.7,13,11,106.52,26.7,151.8
117,118,Wisconsin,14,322,177,55.0,2082,6.5,15,16,114.71,23.0,148.7
118,119,Air Force,13,206,117,56.8,1893,9.2,15,4,154.14,15.8,145.6
119,120,UTEP,13,287,159,55.4,1858,6.5,12,6,119.40,22.1,142.9
120,121,Minnesota,13,254,127,50.0,1844,7.3,12,9,119.48,19.5,141.8
121,122,Indiana,12,313,168,53.7,1697,5.4,7,9,100.84,26.1,141.4
122,123,Georgia Tech,14,203,106,52.2,1882,9.3,19,6,155.08,14.5,134.4
123,124,Boston College,13,243,135,55.6,1681,6.9,13,10,123.10,18.7,129.3
124,125,Georgia Southern,12,155,90,58.1,1286,8.3,7,4,137.50,12.9,107.2
125,126,New Mexico,12,149,76,51.0,1068,7.2,7,6,118.67,12.4,89.0
126,127,Navy,13,130,62,47.7,1058,8.1,9,5,131.21,10.0,81.4
127,128,Army,12,105,50,47.6,747,7.1,3,2,113.00,8.8,62.3
