,Rank,Name,G,Opponent Fumbles,Fumbles Recovered,Fumble Recovery %
0,1,Oregon,15,29,21,72.41
1,2,Temple,12,27,19,70.37
2,2,Florida International,12,25,19,76.00
3,4,Bowling Green,14,27,17,62.96
4,5,Louisiana Tech,14,27,16,59.26
5,5,Washington,14,26,16,61.54
6,5,Cincinnati,13,23,16,69.57
7,5,Michigan State,13,22,16,72.73
8,9,Minnesota,13,29,15,51.72
9,9,South Alabama,13,21,15,71.43
10,11,Florida,12,29,14,48.28
11,11,Memphis,13,29,14,48.28
12,11,Old Dominion,12,26,14,53.85
13,11,Virginia,12,25,14,56.00
14,11,TCU,13,25,14,56.00
15,11,Ball State,12,23,14,60.87
16,11,South Florida,12,22,14,63.64
17,11,Nevada,13,20,14,70.00
18,19,Missouri,14,32,13,40.63
19,19,Arizona,14,31,13,41.94
20,19,Miami (Florida),13,28,13,46.43
21,19,Baylor,13,25,13,52.00
22,19,Georgia,13,25,13,52.00
23,19,Wake Forest,12,22,13,59.09
24,19,Arizona State,13,22,13,59.09
25,19,Maryland,13,21,13,61.90
26,19,Wyoming,12,21,13,61.90
27,19,Buffalo,11,18,13,72.22
28,29,Clemson,13,24,12,50.00
29,29,Florida State,14,23,12,52.17
30,29,Arkansas State,13,23,12,52.17
31,29,BYU,13,22,12,54.55
32,29,Arkansas,13,22,12,54.55
33,29,Northwestern,12,21,12,57.14
34,29,Syracuse,12,21,12,57.14
35,29,Kansas,12,21,12,57.14
36,29,Illinois,13,21,12,57.14
37,29,San Diego State,13,18,12,66.67
38,39,Houston,13,24,11,45.83
39,39,Fresno State,14,22,11,50.00
40,39,Rutgers,13,22,11,50.00
41,39,Akron,12,22,11,50.00
42,39,Tulane,12,21,11,52.38
43,39,Utah State,14,20,11,55.00
44,39,Wisconsin,14,20,11,55.00
45,39,Georgia Tech,14,20,11,55.00
46,39,Rice,13,19,11,57.89
47,39,Miami (Ohio),12,19,11,57.89
48,39,North Carolina,13,16,11,68.75
49,50,Northern Illinois,14,24,10,41.67
50,50,Duke,13,22,10,45.45
51,50,UTEP,13,22,10,45.45
52,50,UCF,13,22,10,45.45
53,50,UNLV,13,21,10,47.62
54,50,North Carolina State,13,21,10,47.62
55,50,Western Kentucky,13,21,10,47.62
56,50,Nebraska,13,20,10,50.00
57,50,North Texas,12,20,10,50.00
58,50,Virginia Tech,13,19,10,52.63
59,50,Louisiana-Lafayette,13,18,10,55.56
60,50,Mississippi,13,18,10,55.56
61,50,UTSA,12,18,10,55.56
62,50,LSU,13,18,10,55.56
63,50,UAB,12,16,10,62.50
64,50,SMU,12,15,10,66.67
65,50,New Mexico State,12,14,10,71.43
66,50,Western Michigan,13,14,10,71.43
67,68,Marshall,14,23,9,39.13
68,68,Hawai'i,13,22,9,40.91
69,68,Utah,13,20,9,45.00
70,68,Texas Tech,12,20,9,45.00
71,68,USC,13,20,9,45.00
72,68,Alabama,14,20,9,45.00
73,68,Kent State,11,18,9,50.00
74,68,Boise State,14,18,9,50.00
75,68,Purdue,12,17,9,52.94
76,68,Southern Mississippi,12,14,9,64.29
77,68,Idaho,11,12,9,75.00
78,79,Kentucky,12,24,8,33.33
79,79,New Mexico,12,19,8,42.11
80,79,Ohio State,15,19,8,42.11
81,79,Tennessee,13,19,8,42.11
82,79,Central Michigan,13,19,8,42.11
83,79,Texas A&M,13,17,8,47.06
84,79,San Jose State,12,15,8,53.33
85,79,South Carolina,13,15,8,53.33
86,79,Air Force,13,14,8,57.14
87,79,Colorado,12,14,8,57.14
88,89,Oregon State,12,21,7,33.33
89,89,Oklahoma,13,19,7,36.84
90,89,Vanderbilt,12,18,7,38.89
91,89,Middle Tennessee,12,18,7,38.89
92,89,Mississippi State,13,17,7,41.18
93,89,Georgia Southern,12,17,7,41.18
94,89,Appalachian State,12,17,7,41.18
95,89,Connecticut,12,16,7,43.75
96,89,Tulsa,12,16,7,43.75
97,89,Texas,13,16,7,43.75
98,89,Notre Dame,13,13,7,53.85
99,89,Ohio,12,12,7,58.33
100,89,Florida Atlantic,12,12,7,58.33
101,89,Troy,12,11,7,63.64
102,103,Colorado State,13,16,6,37.50
103,103,Eastern Michigan,12,14,6,42.86
104,103,Kansas State,13,14,6,42.86
105,103,Texas State,12,14,6,42.86
106,103,Iowa State,12,10,6,60.00
107,108,Auburn,13,22,5,22.73
108,108,Louisiana-Monroe,12,16,5,31.25
109,108,East Carolina,13,15,5,33.33
110,108,Georgia State,12,14,5,35.71
111,108,Massachusetts,12,14,5,35.71
112,108,California,12,13,5,38.46
113,108,Penn State,13,13,5,38.46
114,108,UCLA,13,12,5,41.67
115,108,Navy,13,12,5,41.67
116,108,Washington State,12,11,5,45.45
117,108,Boston College,13,10,5,50.00
118,108,Michigan,12,9,5,55.56
119,120,Pittsburgh,13,16,4,25.00
120,120,Stanford,13,14,4,28.57
121,120,Louisville,13,11,4,36.36
122,120,Toledo,13,10,4,40.00
123,120,Army,12,9,4,44.44
124,120,Indiana,12,9,4,44.44
125,126,Iowa,13,11,3,27.27
126,127,West Virginia,13,13,2,15.38
127,127,Oklahoma State,13,12,2,16.67
