,Rank,Name,G,Punts,Yards,Avg.,Punts/G,Yards/G
0,1,Alabama,14,55,2640,48.00,3.9,188.6
1,2,Idaho,11,44,2101,47.75,4.0,191.0
2,3,Utah,13,80,3736,46.70,6.2,287.4
3,4,Arizona,14,80,3651,45.64,5.7,260.8
4,5,North Carolina State,13,60,2724,45.40,4.6,209.5
5,6,Ohio State,15,48,2164,45.08,3.2,144.3
6,7,BYU,13,69,3106,45.01,5.3,238.9
7,8,LSU,13,71,3189,44.92,5.5,245.3
8,9,Minnesota,13,68,3025,44.49,5.2,232.7
9,10,Texas A&M,13,62,2737,44.15,4.8,210.5
10,11,Colorado,12,65,2869,44.14,5.4,239.1
11,12,Kansas,12,84,3694,43.98,7.0,307.8
12,13,Illinois,13,78,3422,43.87,6.0,263.2
13,14,Colorado State,13,51,2235,43.82,3.9,171.9
14,15,South Florida,12,66,2888,43.76,5.5,240.7
15,16,Texas State,12,65,2844,43.75,5.4,237.0
16,17,Wake Forest,12,81,3535,43.64,6.8,294.6
17,17,Air Force,13,61,2662,43.64,4.7,204.8
18,19,Florida,12,65,2832,43.57,5.4,236.0
19,20,Baylor,13,47,2040,43.40,3.6,156.9
20,21,Nevada,13,65,2815,43.31,5.0,216.5
21,22,Mississippi,13,68,2943,43.28,5.2,226.4
22,23,North Texas,12,73,3156,43.23,6.1,263.0
23,23,Marshall,14,43,1859,43.23,3.1,132.8
24,25,Navy,13,39,1678,43.03,3.0,129.1
25,26,Duke,13,59,2537,43.00,4.5,195.2
26,27,Kent State,11,69,2966,42.99,6.3,269.6
27,28,Michigan,12,54,2318,42.93,4.5,193.2
28,29,Mississippi State,13,60,2574,42.90,4.6,198.0
29,30,Western Michigan,13,58,2484,42.83,4.5,191.1
30,30,Miami (Florida),13,52,2227,42.83,4.0,171.3
31,32,Texas Tech,12,54,2303,42.65,4.5,191.9
32,33,UAB,12,61,2601,42.64,5.1,216.8
33,34,Kentucky,12,66,2810,42.58,5.5,234.2
34,35,East Carolina,13,51,2170,42.55,3.9,166.9
35,36,Florida Atlantic,12,69,2931,42.48,5.8,244.3
36,37,Bowling Green,14,82,3482,42.46,5.9,248.7
37,38,Clemson,13,78,3306,42.38,6.0,254.3
38,39,Texas,13,87,3678,42.28,6.7,282.9
39,40,Tennessee,13,80,3378,42.23,6.2,259.8
40,41,Louisiana-Lafayette,13,59,2486,42.14,4.5,191.2
41,42,Arkansas State,13,67,2819,42.07,5.2,216.8
42,43,Tulsa,12,70,2943,42.04,5.8,245.3
43,44,Rice,13,68,2853,41.96,5.2,219.5
44,45,Old Dominion,12,41,1719,41.93,3.4,143.3
45,46,Akron,12,67,2806,41.88,5.6,233.8
46,46,Boston College,13,66,2764,41.88,5.1,212.6
47,48,Syracuse,12,76,3182,41.87,6.3,265.2
48,49,Oklahoma,13,66,2763,41.86,5.1,212.5
49,50,Boise State,14,68,2845,41.84,4.9,203.2
50,51,New Mexico,12,57,2384,41.82,4.8,198.7
51,52,South Alabama,13,74,3094,41.81,5.7,238.0
52,52,West Virginia,13,57,2383,41.81,4.4,183.3
53,54,Oklahoma State,13,81,3385,41.79,6.2,260.4
54,55,Ohio,12,63,2631,41.76,5.3,219.3
55,56,Ball State,12,65,2708,41.66,5.4,225.7
56,57,Washington State,12,49,2039,41.61,4.1,169.9
57,58,Notre Dame,13,51,2115,41.47,3.9,162.7
58,59,Louisiana-Monroe,12,78,3232,41.44,6.5,269.3
59,60,South Carolina,13,44,1823,41.43,3.4,140.2
60,61,Arizona State,13,67,2774,41.40,5.2,213.4
61,62,Vanderbilt,12,70,2894,41.34,5.8,241.2
62,63,Hawai'i,13,86,3554,41.33,6.6,273.4
63,64,Wyoming,12,67,2761,41.21,5.6,230.1
64,64,Michigan State,13,52,2143,41.21,4.0,164.8
65,66,UTSA,12,84,3459,41.18,7.0,288.3
66,67,Eastern Michigan,12,84,3457,41.15,7.0,288.1
67,67,Missouri,14,75,3086,41.15,5.4,220.4
68,67,Northern Illinois,14,67,2757,41.15,4.8,196.9
69,70,Nebraska,13,64,2628,41.06,4.9,202.2
70,71,UTEP,13,71,2909,40.97,5.5,223.8
71,72,Florida State,14,48,1966,40.96,3.4,140.4
72,73,Washington,14,72,2941,40.85,5.1,210.1
73,74,Buffalo,11,50,2037,40.74,4.5,185.2
74,75,Indiana,12,77,3133,40.69,6.4,261.1
75,76,Auburn,13,52,2115,40.67,4.0,162.7
76,77,UNLV,13,85,3452,40.61,6.5,265.5
77,78,Maryland,13,86,3487,40.55,6.6,268.2
78,79,SMU,12,77,3121,40.53,6.4,260.1
79,80,Fresno State,14,85,3432,40.38,6.1,245.1
80,81,North Carolina,13,69,2784,40.35,5.3,214.2
81,82,Virginia,12,62,2500,40.32,5.2,208.3
82,83,Utah State,14,85,3420,40.24,6.1,244.3
83,84,Georgia Tech,14,32,1285,40.16,2.3,91.8
84,85,Middle Tennessee,12,56,2248,40.14,4.7,187.3
85,86,Miami (Ohio),12,65,2606,40.09,5.4,217.2
86,87,Pittsburgh,13,50,2003,40.06,3.8,154.1
87,88,Arkansas,13,59,2363,40.05,4.5,181.8
88,89,UCLA,13,70,2802,40.03,5.4,215.5
89,90,Houston,13,56,2241,40.02,4.3,172.4
90,91,Virginia Tech,13,83,3314,39.93,6.4,254.9
91,92,California,12,56,2233,39.88,4.7,186.1
92,92,Kansas State,13,48,1914,39.88,3.7,147.2
93,94,Louisville,13,73,2909,39.85,5.6,223.8
94,95,USC,13,69,2748,39.83,5.3,211.4
95,96,Southern Mississippi,12,67,2644,39.46,5.6,220.3
96,97,Army,12,44,1731,39.34,3.7,144.3
97,98,Troy,12,63,2472,39.24,5.3,206.0
98,99,TCU,13,64,2507,39.17,4.9,192.8
99,100,Florida International,12,82,3211,39.16,6.8,267.6
100,101,Oregon,15,47,1840,39.15,3.1,122.7
101,102,Oregon State,12,70,2735,39.07,5.8,227.9
102,103,Cincinnati,13,64,2481,38.77,4.9,190.8
103,104,Memphis,13,74,2866,38.73,5.7,220.5
104,105,Purdue,12,60,2322,38.70,5.0,193.5
105,106,Iowa State,12,76,2929,38.54,6.3,244.1
106,107,Connecticut,12,80,3078,38.48,6.7,256.5
107,108,Georgia Southern,12,40,1531,38.28,3.3,127.6
108,109,Stanford,13,59,2252,38.17,4.5,173.2
109,110,UCF,13,56,2131,38.05,4.3,163.9
110,111,Appalachian State,12,45,1707,37.93,3.8,142.3
111,112,Georgia,13,43,1630,37.91,3.3,125.4
112,113,New Mexico State,12,61,2312,37.90,5.1,192.7
113,114,Iowa,13,65,2459,37.83,5.0,189.2
114,115,Temple,12,74,2780,37.57,6.2,231.7
115,116,Rutgers,13,65,2427,37.34,5.0,186.7
116,117,Tulane,12,72,2683,37.26,6.0,223.6
117,118,Northwestern,12,71,2644,37.24,5.9,220.3
118,119,Louisiana Tech,14,68,2528,37.18,4.9,180.6
119,120,Wisconsin,14,61,2263,37.10,4.4,161.6
120,121,Toledo,13,53,1966,37.09,4.1,151.2
121,122,Western Kentucky,13,49,1817,37.08,3.8,139.8
122,123,Massachusetts,12,58,2150,37.07,4.8,179.2
123,124,Georgia State,12,60,2210,36.83,5.0,184.2
124,125,Penn State,13,77,2818,36.60,5.9,216.8
125,126,Central Michigan,13,57,2076,36.42,4.4,159.7
126,127,San Jose State,12,44,1595,36.25,3.7,132.9
127,128,San Diego State,13,59,2113,35.81,4.5,162.5
