,Rank,Name,G,Kickoffs,Yards,Avg.,Touchback,Touchback %,Out-Of-Bounds,Onside
0,1,UCLA,13,80,5143,64.29,50,62.50,0,2
1,2,North Carolina,13,76,4868,64.05,43,56.58,0,6
2,3,Memphis,13,88,5635,64.03,51,57.95,3,0
3,4,Oklahoma,13,86,5506,64.02,58,67.44,2,1
4,5,Stanford,13,69,4415,63.99,41,59.42,2,0
5,6,Texas,13,61,3892,63.80,44,72.13,2,1
6,7,Rice,13,74,4707,63.61,47,63.51,2,0
7,7,North Carolina State,13,74,4707,63.61,47,63.51,0,1
8,9,Minnesota,13,70,4448,63.54,38,54.29,2,1
9,10,Michigan State,13,99,6279,63.42,46,46.46,2,1
10,11,Texas State,12,71,4500,63.38,46,64.79,1,4
11,12,Notre Dame,13,81,5131,63.35,52,64.20,3,0
12,13,Colorado State,13,81,5128,63.31,38,46.91,0,1
13,14,Georgia Tech,14,87,5506,63.29,52,59.77,1,5
14,15,Boise State,14,103,6510,63.20,65,63.11,2,1
15,16,Texas A&M,13,80,5049,63.11,42,52.50,2,2
16,17,Florida,12,71,4480,63.10,20,28.17,3,0
17,18,San Diego State,13,71,4465,62.89,18,25.35,4,0
18,19,Michigan,12,53,3329,62.81,24,45.28,0,2
19,20,UTEP,13,70,4395,62.79,47,67.14,2,0
20,21,Florida State,14,96,6027,62.78,49,51.04,2,0
21,22,UAB,12,76,4765,62.70,39,51.32,0,1
22,23,Duke,13,79,4951,62.67,29,36.71,0,2
23,24,Illinois,13,65,4071,62.63,34,52.31,4,3
24,25,Georgia Southern,12,85,5320,62.59,32,37.65,4,1
25,26,Louisville,13,79,4944,62.58,31,39.24,2,0
26,27,North Texas,12,67,4186,62.48,23,34.33,2,0
27,28,Air Force,13,78,4873,62.47,39,50.00,2,0
28,29,Maryland,13,75,4684,62.45,29,38.67,1,2
29,30,Navy,13,73,4556,62.41,20,27.40,2,2
30,31,Auburn,13,87,5422,62.32,50,57.47,1,0
31,32,Cincinnati,13,84,5233,62.30,34,40.48,1,1
32,33,South Florida,12,48,2990,62.29,24,50.00,0,1
33,34,Pittsburgh,13,79,4907,62.11,37,46.84,5,0
34,34,New Mexico,12,62,3851,62.11,37,59.68,1,0
35,36,Mississippi,13,71,4402,62.00,25,35.21,2,0
36,36,Hawai'i,13,58,3596,62.00,27,46.55,1,3
37,38,Utah,13,77,4770,61.95,40,51.95,2,1
38,38,Wake Forest,12,42,2602,61.95,14,33.33,3,0
39,40,Arizona State,13,91,5633,61.90,33,36.26,3,2
40,41,UTSA,12,51,3152,61.80,19,37.25,0,0
41,42,Alabama,14,93,5741,61.73,28,30.11,3,1
42,43,Temple,12,60,3700,61.67,12,20.00,0,0
43,44,TCU,13,109,6716,61.61,47,43.12,2,1
44,44,Kent State,11,44,2711,61.61,13,29.55,1,0
45,46,Houston,13,75,4620,61.60,21,28.00,2,3
46,46,Southern Mississippi,12,52,3203,61.60,17,32.69,0,3
47,48,Arizona,14,91,5604,61.58,48,52.75,1,2
48,49,Mississippi State,13,86,5295,61.57,26,30.23,2,2
49,50,East Carolina,13,86,5293,61.55,29,33.72,1,1
50,51,Oregon,15,123,7567,61.52,29,23.58,0,0
51,51,Virginia,12,66,4060,61.52,29,43.94,4,0
52,53,Wisconsin,14,92,5655,61.47,28,30.43,1,0
53,54,Iowa State,12,56,3442,61.46,13,23.21,3,2
54,55,West Virginia,13,84,5158,61.40,31,36.90,2,4
55,56,USC,13,83,5092,61.35,23,27.71,1,2
56,57,LSU,13,69,4232,61.33,35,50.72,4,3
57,58,Nebraska,13,90,5518,61.31,30,33.33,1,1
58,59,Marshall,14,112,6865,61.29,48,42.86,8,0
59,60,Indiana,12,57,3493,61.28,27,47.37,6,4
60,61,Oregon State,12,63,3859,61.25,25,39.68,0,0
61,62,Georgia,13,98,5981,61.03,31,31.63,0,1
62,62,Toledo,13,86,5249,61.03,37,43.02,0,3
63,64,Western Michigan,13,83,5065,61.02,25,30.12,1,1
64,65,Ball State,12,74,4514,61.00,29,39.19,4,0
65,66,Ohio State,15,115,7007,60.93,38,33.04,7,0
66,67,Eastern Michigan,12,40,2434,60.85,22,55.00,2,2
67,68,Utah State,14,74,4500,60.81,27,36.49,4,1
68,69,Clemson,13,80,4863,60.79,37,46.25,1,1
69,70,Texas Tech,12,69,4192,60.75,31,44.93,1,2
70,71,Tulane,12,43,2612,60.74,17,39.53,5,1
71,72,Nevada,13,74,4491,60.69,26,35.14,0,1
72,73,Colorado,12,66,4004,60.67,35,53.03,0,1
73,74,Ohio,12,54,3271,60.57,19,35.19,2,0
74,75,Troy,12,52,3148,60.54,16,30.77,2,3
75,76,Louisiana-Lafayette,13,77,4661,60.53,34,44.16,3,0
76,77,Miami (Florida),13,77,4654,60.44,23,29.87,2,1
77,78,Florida Atlantic,12,60,3625,60.42,23,38.33,1,1
78,79,Central Michigan,13,66,3984,60.36,20,30.30,3,1
79,80,Tennessee,13,73,4395,60.21,17,23.29,1,3
80,81,Penn State,13,62,3730,60.16,21,33.87,3,0
81,82,Missouri,14,78,4687,60.09,41,52.56,1,1
82,82,Arkansas,13,77,4627,60.09,18,23.38,3,1
83,84,Kansas State,13,92,5522,60.02,25,27.17,3,1
84,84,Virginia Tech,13,64,3841,60.02,15,23.44,2,2
85,86,UCF,13,74,4432,59.89,17,22.97,1,1
86,87,Louisiana-Monroe,12,54,3233,59.87,29,53.70,2,2
87,88,South Carolina,13,80,4772,59.65,43,53.75,2,2
88,89,Washington,14,84,5010,59.64,19,22.62,2,2
89,90,Iowa,13,68,4047,59.51,43,63.24,0,2
90,91,Idaho,11,54,3207,59.39,14,25.93,2,3
91,92,Louisiana Tech,14,93,5516,59.31,15,16.13,2,1
92,93,Arkansas State,13,80,4741,59.26,35,43.75,2,8
93,94,Oklahoma State,13,70,4147,59.24,14,20.00,0,2
94,95,Fresno State,14,69,4076,59.07,15,21.74,3,2
95,96,Georgia State,12,50,2948,58.96,19,38.00,2,4
96,97,Boston College,13,67,3940,58.81,18,26.87,2,2
97,98,Rutgers,13,71,4175,58.80,17,23.94,3,1
98,99,Washington State,12,67,3930,58.66,11,16.42,1,5
99,100,Syracuse,12,46,2690,58.48,9,19.57,4,4
100,101,California,12,78,4560,58.46,25,32.05,2,3
101,102,Vanderbilt,12,44,2571,58.43,13,29.55,2,1
102,103,Kentucky,12,68,3972,58.41,25,36.76,1,1
103,104,San Jose State,12,47,2742,58.34,18,38.30,2,3
104,105,Bowling Green,14,87,5046,58.00,15,17.24,3,0
105,106,Old Dominion,12,63,3652,57.97,11,17.46,3,5
106,107,BYU,13,87,5031,57.83,17,19.54,3,0
107,108,Northwestern,12,55,3174,57.71,19,34.55,0,3
108,109,Florida International,12,59,3393,57.51,6,10.17,4,1
109,109,Akron,12,57,3278,57.51,10,17.54,4,0
110,111,Army,12,58,3332,57.45,14,24.14,3,1
111,112,Northern Illinois,14,88,5037,57.24,13,14.77,3,1
112,113,Buffalo,11,60,3433,57.22,20,33.33,2,6
113,114,Appalachian State,12,77,4394,57.06,27,35.06,3,0
114,115,Baylor,13,110,6264,56.95,23,20.91,1,0
115,116,Wyoming,12,55,3129,56.89,15,27.27,2,0
116,117,New Mexico State,12,57,3242,56.88,12,21.05,4,1
117,118,Middle Tennessee,12,68,3865,56.84,7,10.29,3,2
118,119,Connecticut,12,44,2499,56.80,5,11.36,2,1
119,120,Massachusetts,12,62,3489,56.27,7,11.29,1,0
120,121,SMU,12,33,1846,55.94,4,12.12,1,1
121,122,Western Kentucky,13,97,5381,55.47,11,11.34,3,2
122,123,Purdue,12,60,3316,55.27,19,31.67,3,1
123,123,Tulsa,12,55,3040,55.27,10,18.18,6,1
124,125,UNLV,13,62,3404,54.90,9,14.52,4,0
125,126,Kansas,12,48,2619,54.56,13,27.08,1,0
126,127,Miami (Ohio),12,56,3052,54.50,7,12.50,2,1
127,128,South Alabama,13,64,3442,53.78,10,15.63,1,1
