,Rank,Name,G,Fumbles Forced,Fumbles Forced/G
0,1,Oregon,15,22,1.47
1,2,Missouri,14,21,1.50
2,3,Temple,12,19,1.58
3,4,Kansas,12,18,1.50
4,4,Old Dominion,12,18,1.50
5,4,Miami (Florida),13,18,1.38
6,4,Washington,14,18,1.29
7,4,Bowling Green,14,18,1.29
8,4,Arizona,14,18,1.29
9,10,Florida,12,17,1.42
10,11,Florida International,12,16,1.33
11,11,Northwestern,12,16,1.33
12,11,TCU,13,16,1.23
13,11,Baylor,13,16,1.23
14,11,Minnesota,13,16,1.23
15,11,Marshall,14,16,1.14
16,11,Georgia Tech,14,16,1.14
17,11,Ohio State,15,16,1.07
18,19,Syracuse,12,15,1.25
19,19,Ball State,12,15,1.25
20,19,Akron,12,15,1.25
21,19,Northern Illinois,14,15,1.07
22,23,South Florida,12,14,1.17
23,23,Nebraska,13,14,1.08
24,23,Nevada,13,14,1.08
25,23,Houston,13,14,1.08
26,23,UTEP,13,14,1.08
27,23,North Carolina State,13,14,1.08
28,23,Arkansas,13,14,1.08
29,23,Memphis,13,14,1.08
30,23,South Alabama,13,14,1.08
31,23,Florida State,14,14,1.00
32,23,Fresno State,14,14,1.00
33,34,Buffalo,11,13,1.18
34,34,Virginia,12,13,1.08
35,34,UTSA,12,13,1.08
36,34,Middle Tennessee,12,13,1.08
37,34,Duke,13,13,1.00
38,34,Cincinnati,13,13,1.00
39,34,Georgia,13,13,1.00
40,34,Arkansas State,13,13,1.00
41,34,Central Michigan,13,13,1.00
42,34,Arizona State,13,13,1.00
43,34,Louisiana Tech,14,13,0.93
44,45,Wake Forest,12,12,1.00
45,45,Tulane,12,12,1.00
46,45,Tulsa,12,12,1.00
47,45,North Carolina,13,12,0.92
48,45,Rice,13,12,0.92
49,45,BYU,13,12,0.92
50,45,Mississippi State,13,12,0.92
51,45,Illinois,13,12,0.92
52,45,Auburn,13,12,0.92
53,45,Boise State,14,12,0.86
54,55,Kentucky,12,11,0.92
55,55,SMU,12,11,0.92
56,55,Georgia Southern,12,11,0.92
57,55,Wyoming,12,11,0.92
58,55,Rutgers,13,11,0.85
59,55,Louisiana-Lafayette,13,11,0.85
60,55,Maryland,13,11,0.85
61,55,Mississippi,13,11,0.85
62,55,Stanford,13,11,0.85
63,55,Clemson,13,11,0.85
64,55,Western Kentucky,13,11,0.85
65,55,Michigan State,13,11,0.85
66,55,UCF,13,11,0.85
67,55,Utah State,14,11,0.79
68,69,Kent State,11,10,0.91
69,69,New Mexico,12,10,0.83
70,69,San Jose State,12,10,0.83
71,69,Texas Tech,12,10,0.83
72,69,Southern Mississippi,12,10,0.83
73,69,Miami (Ohio),12,10,0.83
74,69,North Texas,12,10,0.83
75,69,Oregon State,12,10,0.83
76,69,East Carolina,13,10,0.77
77,69,San Diego State,13,10,0.77
78,69,Utah,13,10,0.77
79,69,Colorado State,13,10,0.77
80,69,Hawai'i,13,10,0.77
81,69,LSU,13,10,0.77
82,69,Wisconsin,14,10,0.71
83,84,Idaho,11,9,0.82
84,84,New Mexico State,12,9,0.75
85,84,Washington State,12,9,0.75
86,84,Eastern Michigan,12,9,0.75
87,84,Louisiana-Monroe,12,9,0.75
88,84,UAB,12,9,0.75
89,84,Notre Dame,13,9,0.69
90,84,Virginia Tech,13,9,0.69
91,84,UNLV,13,9,0.69
92,84,Kansas State,13,9,0.69
93,84,Texas,13,9,0.69
94,84,USC,13,9,0.69
95,84,Oklahoma,13,9,0.69
96,84,Oklahoma State,13,9,0.69
97,84,Alabama,14,9,0.64
98,99,Vanderbilt,12,8,0.67
99,99,Connecticut,12,8,0.67
100,99,Texas State,12,8,0.67
101,99,Purdue,12,8,0.67
102,99,Troy,12,8,0.67
103,99,Massachusetts,12,8,0.67
104,99,Air Force,13,8,0.62
105,99,Navy,13,8,0.62
106,107,California,12,7,0.58
107,107,Florida Atlantic,12,7,0.58
108,107,Colorado,12,7,0.58
109,107,Tennessee,13,7,0.54
110,107,Texas A&M,13,7,0.54
111,107,Pittsburgh,13,7,0.54
112,107,Penn State,13,7,0.54
113,107,Louisville,13,7,0.54
114,107,South Carolina,13,7,0.54
115,116,Ohio,12,6,0.50
116,116,Appalachian State,12,6,0.50
117,116,UCLA,13,6,0.46
118,116,Iowa,13,6,0.46
119,116,Toledo,13,6,0.46
120,116,West Virginia,13,6,0.46
121,122,Army,12,5,0.42
122,122,Iowa State,12,5,0.42
123,122,Indiana,12,5,0.42
124,122,Michigan,12,5,0.42
125,122,Western Michigan,13,5,0.38
126,127,Georgia State,12,4,0.33
127,128,Boston College,13,2,0.15
