,Rank,Name,G,Ret.,Yards,Avg.,TD,Ret./G,Yards/G
0,1,New Mexico State,4,2,98,49.00,0,0.5,24.5
1,2,Wyoming,4,3,108,36.00,0,0.8,27.0
2,3,Kansas State,3,7,238,34.00,1,2.3,79.3
3,4,Colorado,4,6,201,33.50,0,1.5,50.3
4,5,Boise State,4,7,227,32.43,1,1.8,56.8
5,5,Texas,4,7,227,32.43,1,1.8,56.8
6,7,Western Michigan,4,11,356,32.36,0,2.8,89.0
7,8,Virginia,4,11,353,32.09,1,2.8,88.3
8,9,Appalachian State,3,4,128,32.00,1,1.3,42.7
9,10,Oregon State,3,9,285,31.67,0,3.0,95.0
10,11,Illinois,4,12,367,30.58,0,3.0,91.8
11,12,LSU,4,5,144,28.80,0,1.3,36.0
12,13,UCLA,4,6,172,28.67,1,1.5,43.0
13,14,Troy,3,10,284,28.40,1,3.3,94.7
14,15,Hawai'i,4,11,308,28.00,0,2.8,77.0
15,16,Tulane,4,7,191,27.29,0,1.8,47.8
16,17,California,4,5,136,27.20,0,1.3,34.0
17,18,SMU,4,12,321,26.75,1,3.0,80.3
18,19,Middle Tennessee,3,3,80,26.67,0,1.0,26.7
19,20,Southern Mississippi,4,13,345,26.54,2,3.3,86.3
20,21,Virginia Tech,3,7,185,26.43,0,2.3,61.7
21,22,Stanford,4,10,264,26.40,0,2.5,66.0
22,23,Louisiana-Lafayette,4,11,289,26.27,0,2.8,72.3
23,24,Miami (Florida),4,4,105,26.25,0,1.0,26.3
24,25,Mississippi,4,9,234,26.00,1,2.3,58.5
25,25,Florida,4,3,78,26.00,0,0.8,19.5
26,27,Georgia Tech,3,9,231,25.67,0,3.0,77.0
27,28,UAB,3,8,204,25.50,1,2.7,68.0
28,29,Tennessee,4,6,150,25.00,0,1.5,37.5
29,30,Michigan,3,6,146,24.33,0,2.0,48.7
30,30,Toledo,3,3,73,24.33,0,1.0,24.3
31,32,Florida State,4,7,170,24.29,0,1.8,42.5
32,33,BYU,4,4,97,24.25,0,1.0,24.3
33,34,Northwestern,3,3,72,24.00,0,1.0,24.0
34,35,Central Michigan,4,7,167,23.86,0,1.8,41.8
35,36,Utah State,3,6,142,23.67,0,2.0,47.3
36,36,Washington,4,6,142,23.67,0,1.5,35.5
37,38,USC,4,21,495,23.57,1,5.3,123.8
38,39,UCF,4,4,94,23.50,0,1.0,23.5
39,40,Texas Tech,3,3,70,23.33,0,1.0,23.3
40,41,UTSA,4,7,163,23.29,0,1.8,40.8
41,42,Rutgers,3,5,115,23.00,0,1.7,38.3
42,43,Colorado State,4,8,183,22.88,0,2.0,45.8
43,44,North Texas,4,15,343,22.87,1,3.8,85.8
44,45,Nebraska,4,5,113,22.60,0,1.3,28.3
45,46,Eastern Michigan,4,2,45,22.50,0,0.5,11.3
46,47,Notre Dame,3,4,89,22.25,0,1.3,29.7
47,47,Maryland,3,4,89,22.25,0,1.3,29.7
48,49,Kent State,4,13,289,22.23,0,3.3,72.3
49,50,Temple,3,8,175,21.88,0,2.7,58.3
50,51,Pittsburgh,4,5,109,21.80,0,1.3,27.3
51,52,Massachusetts,4,25,543,21.72,0,6.3,135.8
52,53,Oregon,4,7,152,21.71,0,1.8,38.0
53,54,Ohio,4,11,238,21.64,0,2.8,59.5
54,55,Ball State,4,10,216,21.60,0,2.5,54.0
55,56,Liberty,4,9,194,21.56,0,2.3,48.5
56,57,Louisiana Tech,4,11,237,21.55,1,2.8,59.3
57,58,Minnesota,3,4,86,21.50,0,1.3,28.7
58,59,Arkansas State,4,11,236,21.45,0,2.8,59.0
59,60,San Jose State,3,9,192,21.33,0,3.0,64.0
60,61,North Carolina,4,8,170,21.25,0,2.0,42.5
61,62,Akron,4,12,254,21.17,0,3.0,63.5
