,Rank,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
0,1,Oklahoma,3,973,1057,194,2030,10.46,676.7
1,2,Washington State,4,423,1998,275,2421,8.80,605.3
2,3,Arizona,3,923,835,229,1758,7.68,586.0
3,4,Louisiana-Lafayette,4,1295,965,296,2260,7.64,565.0
4,5,LSU,4,527,1727,282,2254,7.99,563.5
5,6,Utah State,3,587,1101,240,1688,7.03,562.7
6,7,UCF,4,933,1303,311,2236,7.19,559.0
7,8,Colorado State,4,829,1380,308,2209,7.17,552.3
8,9,Alabama,4,715,1485,267,2200,8.24,550.0
9,10,Maryland,3,832,781,246,1613,6.56,537.7
10,11,Oklahoma State,4,1082,1053,309,2135,6.91,533.8
11,11,Wake Forest,4,815,1320,323,2135,6.61,533.8
12,13,Iowa State,3,546,1049,207,1595,7.71,531.7
13,14,Clemson,4,988,1111,282,2099,7.44,524.8
14,15,Ohio State,4,1040,1058,290,2098,7.23,524.5
15,16,Western Michigan,4,808,1253,271,2061,7.61,515.3
16,17,SMU,4,867,1189,321,2056,6.40,514.0
17,18,Troy,3,539,1001,220,1540,7.00,513.3
18,19,Georgia,4,1012,1023,253,2035,8.04,508.8
19,20,Texas Tech,3,502,1024,253,1526,6.03,508.7
20,21,Wisconsin,3,792,729,224,1521,6.79,507.0
21,22,Navy,2,743,256,148,999,6.75,499.5
22,23,Texas,4,662,1329,299,1991,6.66,497.8
23,24,Baylor,3,760,731,199,1491,7.49,497.0
24,25,Nebraska,4,878,1082,301,1960,6.51,490.0
25,26,Memphis,3,681,788,219,1469,6.71,489.7
26,27,New Mexico,3,600,846,226,1446,6.40,482.0
27,28,Toledo,3,807,625,191,1432,7.50,477.3
28,29,Oregon State,3,688,741,222,1429,6.44,476.3
29,30,Boise State,4,614,1290,314,1904,6.06,476.0
30,31,Penn State,3,576,843,190,1419,7.47,473.0
31,32,Hawai'i,4,480,1411,292,1891,6.48,472.8
32,33,Temple,3,369,1042,232,1411,6.08,470.3
33,33,Ball State,4,503,1378,319,1881,5.90,470.3
34,35,Washington,4,763,1082,281,1845,6.57,461.3
35,36,Missouri,4,799,1042,320,1841,5.75,460.3
36,37,Oregon,4,619,1216,279,1835,6.58,458.8
37,38,Boston College,4,1008,825,316,1833,5.80,458.3
38,39,Coastal Carolina,4,981,845,298,1826,6.13,456.5
39,40,Louisiana Tech,4,647,1174,298,1821,6.11,455.3
40,41,Tulane,4,1093,726,276,1819,6.59,454.8
41,42,Kansas State,3,840,523,210,1363,6.49,454.3
42,43,North Texas,4,812,989,293,1801,6.15,450.3
43,44,Louisiana-Monroe,3,721,624,226,1345,5.95,448.3
44,45,Texas A&M,4,578,1213,286,1791,6.26,447.8
45,46,North Carolina State,4,830,955,317,1785,5.63,446.3
46,47,Charlotte,4,1043,740,259,1783,6.88,445.8
47,48,Notre Dame,3,433,902,191,1335,6.99,445.0
48,49,Florida State,4,553,1225,293,1778,6.07,444.5
49,50,Utah,4,925,850,261,1775,6.80,443.8
50,50,South Carolina,4,772,1003,281,1775,6.32,443.8
51,52,USC,4,474,1298,272,1772,6.51,443.0
52,52,TCU,3,782,547,241,1329,5.51,443.0
53,54,Arkansas,4,611,1152,296,1763,5.96,440.8
54,55,Louisville,4,901,849,275,1750,6.36,437.5
55,56,Colorado,4,575,1164,283,1739,6.14,434.8
56,57,Marshall,3,701,602,199,1303,6.55,434.3
57,58,Florida,4,547,1179,257,1726,6.72,431.5
58,59,Appalachian State,3,714,573,189,1287,6.81,429.0
59,59,Indiana,4,482,1234,284,1716,6.04,429.0
60,61,Fresno State,3,422,856,222,1278,5.76,426.0
61,62,Auburn,4,1038,656,299,1694,5.67,423.5
62,63,Houston,4,1020,668,280,1688,6.03,422.0
63,64,Purdue,3,150,1113,205,1263,6.16,421.0
64,65,Miami (Florida),4,574,1106,271,1680,6.20,420.0
65,66,Air Force,3,949,309,194,1258,6.48,419.3
66,66,Georgia State,4,831,846,312,1677,5.38,419.3
67,68,Kentucky,4,709,967,286,1676,5.86,419.0
68,69,North Carolina,4,625,1049,286,1674,5.85,418.5
69,70,Middle Tennessee,3,442,802,186,1244,6.69,414.7
70,71,Mississippi State,4,913,743,265,1656,6.25,414.0
71,72,Duke,3,543,698,216,1241,5.75,413.7
72,73,San Jose State,3,374,859,205,1233,6.01,411.0
73,74,Mississippi,4,714,926,295,1640,5.56,410.0
74,75,Michigan State,4,581,1045,290,1626,5.61,406.5
75,76,Iowa,3,519,697,216,1216,5.63,405.3
76,77,Kansas,4,747,861,247,1608,6.51,402.0
77,77,UAB,3,460,746,197,1206,6.12,402.0
78,77,Kent State,4,732,876,275,1608,5.85,402.0
79,80,Arkansas State,4,464,1142,282,1606,5.70,401.5
80,81,Virginia Tech,3,456,739,220,1195,5.43,398.3
81,82,Southern Mississippi,4,370,1215,247,1585,6.42,396.3
82,83,Pittsburgh,4,458,1121,309,1579,5.11,394.8
83,84,Liberty,4,470,1101,255,1571,6.16,392.8
84,85,UNLV,3,729,435,203,1164,5.73,388.0
85,86,Florida Atlantic,4,411,1136,316,1547,4.90,386.8
86,87,East Carolina,4,760,785,290,1545,5.33,386.3
87,88,Eastern Michigan,4,410,1120,276,1530,5.54,382.5
88,89,Illinois,4,725,796,279,1521,5.45,380.3
89,90,Arizona State,4,446,1073,255,1519,5.96,379.8
90,91,Syracuse,4,535,965,302,1500,4.97,375.0
91,92,Ohio,4,639,857,240,1496,6.23,374.0
92,93,Western Kentucky,3,325,790,212,1115,5.26,371.7
93,94,California,4,634,851,274,1485,5.42,371.3
94,95,Virginia,4,534,946,263,1480,5.63,370.0
95,95,Cincinnati,3,516,594,210,1110,5.29,370.0
96,97,Michigan,3,381,711,215,1092,5.08,364.0
97,98,Vanderbilt,3,332,758,210,1090,5.19,363.3
98,99,Nevada,4,545,907,291,1452,4.99,363.0
99,99,Tulsa,4,424,1028,315,1452,4.61,363.0
100,101,Florida International,4,652,795,262,1447,5.52,361.8
101,101,UCLA,4,384,1063,267,1447,5.42,361.8
102,103,Buffalo,4,892,543,297,1435,4.83,358.8
103,104,Minnesota,3,371,699,214,1070,5.00,356.7
104,105,BYU,4,409,1016,258,1425,5.52,356.3
105,106,Tennessee,4,618,803,260,1421,5.47,355.3
106,107,Rutgers,3,360,699,184,1059,5.76,353.0
107,108,Bowling Green,4,660,750,304,1410,4.64,352.5
108,109,New Mexico State,4,381,1016,282,1397,4.95,349.3
109,110,Northern Illinois,3,231,810,205,1041,5.08,347.0
110,111,San Diego State,4,582,798,307,1380,4.50,345.0
111,112,Army,4,1174,194,263,1368,5.20,342.0
112,112,Central Michigan,4,479,889,273,1368,5.01,342.0
113,114,Wyoming,4,867,459,250,1326,5.30,331.5
114,115,UTSA,4,666,645,292,1311,4.49,327.8
115,116,West Virginia,4,429,875,278,1304,4.69,326.0
116,117,South Alabama,4,704,586,270,1290,4.78,322.5
117,118,Stanford,4,460,823,274,1283,4.68,320.8
118,119,Texas State,4,296,959,281,1255,4.47,313.8
119,120,UTEP,3,479,438,187,917,4.90,305.7
120,121,Northwestern,3,508,408,216,916,4.24,305.3
121,122,Massachusetts,4,550,666,281,1216,4.33,304.0
122,123,Old Dominion,3,400,486,206,886,4.30,295.3
123,124,South Florida,3,336,541,184,877,4.77,292.3
