,Rank,Name,G,Rush,Pass,Penalty,Total,Total/G
0,1,Ohio State,4,57,46,12,115,28.8
1,2,Louisiana-Lafayette,4,58,48,6,112,28.0
2,2,Wisconsin,3,43,39,2,84,28.0
3,2,Oklahoma,3,39,43,2,84,28.0
4,2,Texas Tech,3,27,54,3,84,28.0
5,6,Navy,2,45,8,2,55,27.5
6,7,Coastal Carolina,4,59,44,6,109,27.3
7,7,UCF,4,48,46,15,109,27.3
8,9,Texas,4,40,61,7,108,27.0
9,9,Hawai'i,4,33,68,7,108,27.0
10,9,Utah State,3,24,52,5,81,27.0
11,12,LSU,4,37,65,5,107,26.8
12,13,Clemson,4,53,41,12,106,26.5
13,13,Colorado State,4,39,59,8,106,26.5
14,13,Washington State,4,22,81,3,106,26.5
15,16,Troy,3,31,41,7,79,26.3
16,17,Ball State,4,29,66,9,104,26.0
17,17,Oregon State,3,41,31,6,78,26.0
18,19,Arizona,3,37,38,2,77,25.7
19,19,Iowa State,3,28,47,2,77,25.7
20,21,Oklahoma State,4,53,35,14,102,25.5
21,21,Wake Forest,4,43,54,5,102,25.5
22,21,Alabama,4,40,58,4,102,25.5
23,24,North Carolina State,4,50,42,9,101,25.3
24,25,Kansas State,3,40,30,5,75,25.0
25,25,Baylor,3,35,35,5,75,25.0
26,27,Missouri,4,49,43,7,99,24.8
27,27,Washington,4,44,50,5,99,24.8
28,27,Boise State,4,39,57,3,99,24.8
29,30,Texas A&M,4,32,60,6,98,24.5
30,31,Fresno State,3,27,36,10,73,24.3
31,32,Florida State,4,40,47,9,96,24.0
32,32,Louisiana Tech,4,37,54,5,96,24.0
33,32,Maryland,3,33,36,3,72,24.0
34,32,Louisiana-Monroe,3,30,34,8,72,24.0
35,36,Boston College,4,55,35,5,95,23.8
36,36,Houston,4,51,32,12,95,23.8
37,36,Georgia,4,45,47,3,95,23.8
38,39,TCU,3,38,26,7,71,23.7
39,40,Georgia State,4,46,42,5,93,23.3
40,40,Mississippi State,4,46,41,6,93,23.3
41,40,SMU,4,43,44,6,93,23.3
42,40,Kentucky,4,41,43,9,93,23.3
43,40,Arkansas,4,32,52,9,93,23.3
44,45,Oregon,4,30,56,6,92,23.0
45,45,Florida Atlantic,4,26,58,8,92,23.0
46,45,New Mexico,3,30,29,10,69,23.0
47,45,Temple,3,19,43,7,69,23.0
48,49,Michigan State,4,35,47,9,91,22.8
49,49,Western Michigan,4,32,50,9,91,22.8
50,49,Indiana,4,29,57,5,91,22.8
51,52,Marshall,3,37,27,4,68,22.7
52,52,Virginia Tech,3,30,36,2,68,22.7
53,52,Duke,3,29,35,4,68,22.7
54,55,Auburn,4,57,29,4,90,22.5
55,55,North Texas,4,40,45,5,90,22.5
56,57,Tulane,4,57,27,5,89,22.3
57,57,Utah,4,48,31,10,89,22.3
58,57,North Carolina,4,36,47,6,89,22.3
