,Rank,Name,G,Total Time,Time/G
0,1,Wisconsin,3,115:34,38:31.33
1,2,Navy,2,74:17,37:08.50
2,3,Kansas State,3,110:56,36:58.67
3,4,Iowa,3,108:33,36:11.00
4,5,San Diego State,4,142:17,35:34.25
5,6,Coastal Carolina,4,141:12,35:18.00
6,7,Utah,4,140:54,35:13.50
7,8,Buffalo,4,138:46,34:41.50
8,9,Stanford,4,138:33,34:38.25
9,10,Minnesota,3,103:48,34:36.00
10,11,Charlotte,4,138:14,34:33.50
11,12,TCU,3,102:28,34:09.33
12,13,UTEP,3,102:04,34:01.33
13,14,Virginia,4,135:25,33:51.25
14,15,Memphis,3,101:32,33:50.67
15,16,Air Force,3,100:54,33:38.00
16,17,Miami (Florida),4,134:26,33:36.50
17,18,Texas A&M,4,134:19,33:34.75
18,19,Northern Illinois,3,100:09,33:23.00
19,20,Hawai'i,4,133:24,33:21.00
20,21,Cincinnati,3,99:58,33:19.33
21,22,Old Dominion,3,99:50,33:16.67
22,23,Boise State,4,132:38,33:09.50
23,24,UAB,3,99:23,33:07.67
24,25,Army,4,131:39,32:54.75
25,26,UTSA,4,131:12,32:48.00
26,27,Colorado State,4,130:56,32:44.00
27,28,Mississippi State,4,130:34,32:38.50
28,29,Louisiana-Lafayette,4,130:07,32:31.75
29,30,North Carolina State,4,130:06,32:31.50
30,31,Louisiana Tech,4,129:57,32:29.25
31,32,Indiana,4,129:38,32:24.50
32,33,Western Kentucky,3,97:09,32:23.00
33,34,Georgia,4,129:28,32:22.00
34,35,Missouri,4,129:02,32:15.50
35,36,Fresno State,3,96:04,32:01.33
36,37,Pittsburgh,4,127:18,31:49.50
37,38,Maryland,3,94:40,31:33.33
38,39,Michigan State,4,126:12,31:33.00
39,40,Texas,4,126:05,31:31.25
40,41,Washington,4,126:01,31:30.25
41,42,New Mexico,3,94:24,31:28.00
42,43,Kentucky,4,125:35,31:23.75
43,44,Louisiana-Monroe,3,93:51,31:17.00
44,45,Tulsa,4,124:56,31:14.00
45,46,Houston,4,124:50,31:12.50
46,47,Nevada,4,124:42,31:10.50
47,48,Oklahoma,3,93:31,31:10.33
48,49,Alabama,4,124:16,31:04.00
49,50,North Texas,4,124:04,31:01.00
50,51,California,4,123:51,30:57.75
51,52,Auburn,4,123:50,30:57.50
52,53,Louisville,4,123:26,30:51.50
53,54,West Virginia,4,123:23,30:50.75
54,55,Duke,3,92:00,30:40.00
55,56,Western Michigan,4,122:35,30:38.75
56,57,Southern Mississippi,4,122:34,30:38.50
57,58,Troy,3,91:55,30:38.33
58,59,Wake Forest,4,121:48,30:27.00
59,60,Washington State,4,121:19,30:19.75
60,60,SMU,4,121:19,30:19.75
61,62,Connecticut,3,90:46,30:15.33
62,63,Tulane,4,120:50,30:12.50
63,64,Arizona,3,90:35,30:11.67
64,65,Virginia Tech,3,90:26,30:08.67
65,66,Syracuse,4,120:25,30:06.25
66,67,Georgia State,4,120:04,30:01.00
67,68,Vanderbilt,3,89:55,29:58.33
68,69,Rice,4,119:51,29:57.75
69,70,East Carolina,4,118:58,29:44.50
70,71,Central Michigan,4,118:47,29:41.75
71,72,Marshall,3,88:58,29:39.33
72,73,Ohio State,4,118:16,29:34.00
73,74,North Carolina,4,118:11,29:32.75
74,75,Arizona State,4,117:51,29:27.75
75,76,Ball State,4,117:35,29:23.75
76,77,Wyoming,4,117:33,29:23.25
77,78,Rutgers,3,88:04,29:21.33
78,79,Florida Atlantic,4,117:12,29:18.00
79,80,Arkansas,4,116:20,29:05.00
80,80,South Alabama,4,116:20,29:05.00
81,82,Tennessee,4,115:58,28:59.50
82,83,UNLV,3,86:46,28:55.33
83,84,Colorado,4,115:33,28:53.25
84,85,Eastern Michigan,4,115:12,28:48.00
85,86,Northwestern,3,86:12,28:44.00
86,87,Mississippi,4,114:51,28:42.75
87,88,Baylor,3,86:07,28:42.33
88,89,Oregon,4,114:39,28:39.75
89,90,Florida,4,114:31,28:37.75
90,91,Clemson,4,114:25,28:36.25
91,92,Nebraska,4,114:17,28:34.25
92,93,Akron,4,113:53,28:28.25
93,94,Ohio,4,113:43,28:25.75
94,95,Oklahoma State,4,113:36,28:24.00
95,96,Oregon State,3,84:47,28:15.67
96,97,Iowa State,3,84:21,28:07.00
97,98,Bowling Green,4,112:13,28:03.25
98,99,LSU,4,111:24,27:51.00
99,100,Toledo,3,83:22,27:47.33
100,101,Liberty,4,110:37,27:39.25
101,102,Georgia Southern,3,82:54,27:38.00
102,103,Temple,3,82:45,27:35.00
103,104,Texas Tech,3,82:40,27:33.33
104,105,Florida International,4,109:16,27:19.00
105,105,Appalachian State,3,81:57,27:19.00
106,107,New Mexico State,4,109:12,27:18.00
107,108,USC,4,108:52,27:13.00
108,109,Illinois,4,108:47,27:11.75
109,110,Miami (Ohio),4,108:26,27:06.50
110,111,Kansas,4,108:21,27:05.25
111,112,Arkansas State,4,107:46,26:56.50
112,113,San Jose State,3,80:46,26:55.33
113,114,Michigan,3,80:34,26:51.33
114,115,Boston College,4,107:00,26:45.00
115,116,Purdue,3,79:27,26:29.00
116,117,UCF,4,105:21,26:20.25
117,118,Notre Dame,3,78:23,26:07.67
118,119,Texas State,4,104:07,26:01.75
119,120,Kent State,4,104:03,26:00.75
120,121,Georgia Tech,3,77:57,25:59.00
121,122,South Florida,3,77:42,25:54.00
122,123,BYU,4,103:01,25:45.25
123,124,Middle Tennessee,3,76:49,25:36.33
124,125,South Carolina,4,101:55,25:28.75
125,126,Penn State,3,76:05,25:21.67
126,127,Utah State,3,75:53,25:17.67
127,128,UCLA,4,101:06,25:16.50
128,129,Massachusetts,4,100:23,25:05.75
129,130,Florida State,4,95:50,23:57.50
