,Rank,Name,G,Kickoffs,Yards,Avg.,Touchback,Touchback %,Out-Of-Bounds,Onside
0,1,Purdue,3,16,1053,65.81,14,87.50,0,1
1,2,Arizona,3,22,1430,65.00,16,72.73,0,0
2,3,UCLA,4,20,1298,64.90,17,85.00,0,0
3,4,Kentucky,4,22,1426,64.82,19,86.36,0,0
4,4,UAB,3,17,1102,64.82,14,82.35,0,0
5,6,UTEP,3,14,907,64.79,11,78.57,0,0
6,7,Texas Tech,3,18,1166,64.78,13,72.22,1,0
7,8,Florida State,4,23,1489,64.74,16,69.57,0,0
8,9,Pittsburgh,4,17,1100,64.71,11,64.71,0,0
9,10,Wyoming,4,21,1358,64.67,17,80.95,1,0
10,11,Utah,4,25,1616,64.64,17,68.00,0,0
11,12,Penn State,3,25,1613,64.52,24,96.00,0,0
12,12,Illinois,4,25,1613,64.52,18,72.00,0,0
13,14,California,4,22,1419,64.50,13,59.09,0,0
14,14,Tennessee,4,20,1290,64.50,19,95.00,1,1
15,16,LSU,4,41,2640,64.39,38,92.68,0,0
16,17,Eastern Michigan,4,22,1416,64.36,17,77.27,1,0
17,18,Colorado,4,27,1737,64.33,19,70.37,0,0
18,18,Syracuse,4,21,1351,64.33,14,66.67,0,0
19,20,Texas A&M,4,26,1672,64.31,19,73.08,0,1
20,21,Clemson,4,31,1993,64.29,22,70.97,0,0
21,22,Missouri,4,30,1928,64.27,29,96.67,0,0
22,22,Miami (Florida),4,26,1671,64.27,16,61.54,0,0
23,24,Baylor,3,23,1477,64.22,18,78.26,0,0
24,25,East Carolina,4,22,1411,64.14,14,63.64,2,0
25,26,Oklahoma,3,28,1795,64.11,19,67.86,0,0
26,26,Iowa,3,18,1154,64.11,10,55.56,0,0
27,28,North Carolina State,4,28,1793,64.04,15,53.57,2,0
28,28,Hawai'i,4,24,1537,64.04,11,45.83,1,0
29,30,Florida,4,25,1600,64.00,19,76.00,0,0
30,31,Michigan,3,13,830,63.85,5,38.46,0,1
31,32,Toledo,3,20,1274,63.70,11,55.00,0,1
32,33,Air Force,3,16,1019,63.69,8,50.00,0,1
33,34,Wisconsin,3,24,1528,63.67,18,75.00,0,0
34,35,Louisiana-Lafayette,4,29,1845,63.62,16,55.17,0,1
35,36,Indiana,4,28,1779,63.54,17,60.71,2,0
36,37,Liberty,4,20,1270,63.50,12,60.00,0,0
37,38,USC,4,25,1587,63.48,15,60.00,0,0
38,39,Marshall,3,17,1077,63.35,7,41.18,1,0
39,40,Washington,4,31,1961,63.26,18,58.06,1,0
40,41,Memphis,3,21,1328,63.24,12,57.14,0,0
41,42,Auburn,4,25,1580,63.20,19,76.00,1,0
42,43,Oregon,4,26,1642,63.15,9,34.62,1,0
43,44,TCU,3,23,1451,63.09,8,34.78,1,0
44,45,Alabama,4,35,2204,62.97,24,68.57,1,0
45,46,San Diego State,4,19,1196,62.95,13,68.42,0,0
46,47,Louisiana-Monroe,3,17,1070,62.94,5,29.41,1,0
47,48,Temple,3,17,1068,62.82,6,35.29,1,2
48,49,Georgia,4,33,2072,62.79,26,78.79,0,0
49,50,Arkansas,4,23,1444,62.78,13,56.52,0,1
50,51,Minnesota,3,16,1004,62.75,8,50.00,1,0
51,52,BYU,4,20,1252,62.60,9,45.00,0,0
52,53,Iowa State,3,21,1314,62.57,6,28.57,1,0
53,54,Virginia Tech,3,15,938,62.53,8,53.33,1,1
54,55,Ohio,4,23,1437,62.48,11,47.83,1,0
55,56,Virginia,4,27,1685,62.41,20,74.07,1,0
56,57,Boston College,4,24,1496,62.33,9,37.50,1,0
57,58,Miami (Ohio),4,17,1059,62.29,10,58.82,2,0
58,58,Vanderbilt,3,14,872,62.29,6,42.86,0,1
59,60,Georgia State,4,22,1370,62.27,13,59.09,0,0
60,61,Oregon State,3,20,1245,62.25,7,35.00,1,0
61,62,New Mexico,3,22,1364,62.00,14,63.64,1,0
62,63,Florida Atlantic,4,22,1360,61.82,8,36.36,0,1
63,64,Southern Mississippi,4,20,1236,61.80,9,45.00,1,0
64,65,Oklahoma State,4,32,1976,61.75,13,40.63,1,1
65,66,Notre Dame,3,19,1173,61.74,7,36.84,1,0
66,67,Louisville,4,23,1419,61.70,3,13.04,1,0
67,68,Rutgers,3,15,925,61.67,8,53.33,0,0
68,69,New Mexico State,4,17,1045,61.47,10,58.82,1,0
69,70,Wake Forest,4,28,1721,61.46,9,32.14,1,0
70,71,Georgia Southern,3,16,983,61.44,13,81.25,0,0
71,72,Mississippi,4,23,1411,61.35,6,26.09,2,0
72,73,Texas State,4,15,920,61.33,5,33.33,1,0
73,73,Cincinnati,3,12,736,61.33,2,16.67,0,0
74,75,Boise State,4,25,1533,61.32,17,68.00,1,0
75,76,Texas,4,30,1836,61.20,18,60.00,1,0
76,77,Army,4,21,1285,61.19,5,23.81,2,0
77,78,Arizona State,4,22,1345,61.14,5,22.73,1,0
78,79,Utah State,3,23,1406,61.13,11,47.83,0,0
79,80,Tulane,4,26,1588,61.08,17,65.38,0,1
80,80,Rice,4,13,794,61.08,2,15.38,0,0
81,82,Colorado State,4,26,1585,60.96,17,65.38,0,1
82,83,Nebraska,4,28,1706,60.93,10,35.71,1,0
83,84,Central Michigan,4,20,1218,60.90,5,25.00,1,1
84,85,Florida International,4,18,1096,60.89,11,61.11,0,0
85,86,North Carolina,4,22,1339,60.86,12,54.55,1,0
86,87,Washington State,4,36,2189,60.81,18,50.00,2,0
87,88,Mississippi State,4,24,1459,60.79,11,45.83,0,0
88,88,UTSA,4,14,851,60.79,4,28.57,0,0
89,90,West Virginia,4,21,1276,60.76,11,52.38,1,0
90,91,Houston,4,23,1395,60.65,7,30.43,2,2
91,92,Stanford,4,17,1027,60.41,7,41.18,3,0
92,93,South Alabama,4,15,906,60.40,4,26.67,1,0
93,93,Navy,2,15,906,60.40,2,13.33,0,0
94,95,Western Michigan,4,29,1750,60.34,2,6.90,3,0
95,96,Troy,3,20,1206,60.30,7,35.00,0,1
96,97,Middle Tennessee,3,15,903,60.20,0,0.00,1,1
97,98,UNLV,3,17,1023,60.18,8,47.06,0,0
98,99,Kansas State,3,22,1323,60.14,7,31.82,2,1
99,100,South Florida,3,14,837,59.79,7,50.00,0,0
100,101,South Carolina,4,26,1553,59.73,20,76.92,2,0
101,102,Connecticut,3,13,776,59.69,2,15.38,0,0
102,103,Tulsa,4,19,1134,59.68,6,31.58,0,0
103,104,North Texas,4,26,1548,59.54,8,30.77,0,1
104,104,Old Dominion,3,13,774,59.54,3,23.08,0,0
105,106,Ohio State,4,36,2141,59.47,8,22.22,1,0
106,107,Appalachian State,3,23,1360,59.13,7,30.43,1,0
107,108,Ball State,4,24,1417,59.04,1,4.17,1,2
108,109,UCF,4,33,1948,59.03,18,54.55,6,0
109,110,Michigan State,4,24,1414,58.92,9,37.50,2,0
110,111,Duke,3,17,1001,58.88,3,17.65,0,1
111,112,Maryland,3,25,1467,58.68,3,12.00,0,0
112,113,Massachusetts,4,17,994,58.47,3,17.65,2,0
113,114,Buffalo,4,22,1286,58.45,15,68.18,0,0
114,115,Fresno State,3,18,1049,58.28,4,22.22,1,0
115,116,Kansas,4,20,1163,58.15,6,30.00,1,1
116,117,Louisiana Tech,4,23,1337,58.13,0,0.00,0,0
117,118,Northwestern,3,12,688,57.33,1,8.33,0,0
118,119,Georgia Tech,3,10,570,57.00,1,10.00,0,0
119,120,Nevada,4,21,1192,56.76,13,61.90,0,0
120,121,Northern Illinois,3,12,679,56.58,2,16.67,3,0
121,122,Coastal Carolina,4,27,1522,56.37,6,22.22,1,1
122,123,Bowling Green,4,15,841,56.07,3,20.00,1,0
123,124,Kent State,4,23,1276,55.48,10,43.48,0,0
124,125,San Jose State,3,16,866,54.13,5,31.25,0,1
125,126,Akron,4,12,647,53.92,6,50.00,0,1
126,127,Arkansas State,4,23,1207,52.48,5,21.74,3,0
127,128,SMU,4,33,1718,52.06,3,9.09,2,0
128,129,Charlotte,4,26,1345,51.73,11,42.31,1,0
129,130,Western Kentucky,3,12,548,45.67,7,58.33,0,2
