,Rank,Name,G,TFL,TFL Yards,TFL/G
0,1,Illinois,4,46.0,159,11.50
1,2,Ohio State,4,44.0,175,11.00
2,3,Virginia,4,39.0,167,9.75
3,3,UCF,4,39.0,130,9.75
4,5,Wyoming,4,36.0,176,9.00
5,5,Nebraska,4,36.0,162,9.00
6,7,Pittsburgh,4,34.0,164,8.50
7,7,Michigan State,4,34.0,144,8.50
8,9,Clemson,4,33.0,163,8.25
9,9,Miami (Florida),4,33.0,138,8.25
10,9,Mississippi,4,33.0,130,8.25
11,9,Oregon,4,33.0,129,8.25
12,9,Florida,4,33.0,126,8.25
13,9,South Florida,3,33.0,107,11.00
14,15,Central Michigan,4,32.0,114,8.00
15,16,Penn State,3,31.0,127,10.33
16,16,Boise State,4,31.0,108,7.75
17,16,San Diego State,4,31.0,106,7.75
18,16,Boston College,4,31.0,79,7.75
19,20,Texas A&M,4,29.0,108,7.25
20,20,Auburn,4,29.0,91,7.25
21,20,Florida Atlantic,4,29.0,75,7.25
22,23,SMU,4,28.0,149,7.00
23,23,Louisville,4,28.0,108,7.00
24,23,Missouri,4,28.0,108,7.00
25,23,Miami (Ohio),4,28.0,106,7.00
26,23,Texas,4,28.0,104,7.00
27,23,UAB,3,28.0,94,9.33
28,23,North Texas,4,28.0,87,7.00
29,30,Syracuse,4,27.0,111,6.75
30,30,Southern Mississippi,4,27.0,108,6.75
31,30,USC,4,27.0,106,6.75
32,30,Indiana,4,27.0,95,6.75
33,30,South Carolina,4,27.0,94,6.75
34,30,Wake Forest,4,27.0,94,6.75
35,30,North Carolina,4,27.0,90,6.75
36,37,Maryland,3,26.0,125,8.67
37,37,Coastal Carolina,4,26.0,101,6.50
38,37,Florida State,4,26.0,100,6.50
39,37,South Alabama,4,26.0,84,6.50
40,41,West Virginia,4,25.0,111,6.25
41,41,Western Michigan,4,25.0,105,6.25
42,41,LSU,4,25.0,100,6.25
43,41,Notre Dame,3,25.0,88,8.33
44,45,Georgia,4,24.0,130,6.00
45,45,Bowling Green,4,24.0,120,6.00
46,45,Utah,4,24.0,106,6.00
47,45,Cincinnati,3,24.0,104,8.00
