,Rank,Name,G,10+Yards,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
108,109,Massachusetts,4,39,16,5,0,0,0,0,0,0
109,109,Michigan,3,39,14,5,2,1,1,0,0,0
110,109,UAB,3,39,14,8,4,2,2,1,0,0
111,112,Air Force,3,38,7,5,3,1,1,1,1,0
112,112,Duke,3,38,13,4,1,1,1,0,0,0
113,112,Northern Illinois,3,38,10,4,3,2,2,1,0,0
114,112,UNLV,3,38,11,7,5,4,3,1,0,0
115,116,Iowa,3,37,12,5,3,1,0,0,0,0
116,116,Rice,4,37,9,5,4,1,0,0,0,0
117,116,Wyoming,4,37,16,7,5,4,3,2,1,0
118,119,Western Kentucky,3,36,12,4,4,2,2,1,0,0
119,120,Georgia Tech,3,34,12,5,1,1,0,0,0,0
120,120,Northwestern,3,34,6,2,1,1,0,0,0,0
121,120,Old Dominion,3,34,11,3,1,0,0,0,0,0
122,120,Rutgers,3,34,16,5,3,3,1,1,0,0
123,120,Vanderbilt,3,34,13,7,5,2,1,1,0,0
124,125,Miami (Ohio),4,33,14,3,1,0,0,0,0,0
125,125,South Florida,3,33,13,8,5,3,0,0,0,0
126,127,Navy,2,31,11,5,3,1,1,1,1,0
127,127,UTEP,3,31,12,6,2,1,1,1,1,0
128,129,Connecticut,3,23,9,2,1,0,0,0,0,0
129,129,Georgia Southern,3,23,11,6,5,3,2,2,0,0
