,Rank,Name,G,Att,Comp,Pct.,Yards,Yards/Att,TD,Int,Rating,Att/G,Yards/G
0,1,Memphis,3,64,26,40.6,330,5.2,2,2,88.00,21.3,110.0
1,2,Kansas State,3,69,32,46.4,356,5.2,1,3,85.80,23.0,118.7
2,3,Texas Tech,3,66,33,50.0,401,6.1,2,2,104.98,22.0,133.7
3,4,Michigan,3,62,41,66.1,405,6.5,2,2,125.20,20.7,135.0
4,5,Missouri,4,116,52,44.8,542,4.7,2,5,81.14,29.0,135.5
5,6,Georgia Tech,3,59,35,59.3,420,7.1,4,3,131.32,19.7,140.0
6,7,Temple,3,96,45,46.9,431,4.5,1,2,83.87,32.0,143.7
7,8,Wisconsin,3,99,42,42.4,433,4.4,2,5,75.73,33.0,144.3
8,9,Baylor,3,91,51,56.0,438,4.8,0,1,94.27,30.3,146.0
9,10,UTSA,4,84,50,59.5,588,7.0,7,1,143.44,21.0,147.0
10,11,Coastal Carolina,4,97,66,68.0,590,6.1,6,5,129.23,24.3,147.5
11,12,Charlotte,4,89,55,61.8,600,6.7,7,2,139.89,22.3,150.0
12,13,Clemson,4,108,54,50.0,608,5.6,2,5,94.14,27.0,152.0
13,14,Navy,2,52,27,51.9,305,5.9,0,1,97.34,26.0,152.5
14,15,Virginia Tech,3,73,40,54.8,465,6.4,2,2,111.87,24.3,155.0
15,16,Notre Dame,3,83,42,50.6,472,5.7,1,3,95.12,27.7,157.3
16,16,Boise State,4,89,52,58.4,629,7.1,5,2,131.84,22.3,157.3
17,18,Oregon,4,133,69,51.9,640,4.8,2,6,88.24,33.3,160.0
18,19,Ohio State,4,119,67,56.3,647,5.4,2,4,100.80,29.8,161.8
19,20,Texas A&M,4,128,76,59.4,660,5.2,4,5,105.19,32.0,165.0
20,21,Indiana,4,125,69,55.2,670,5.4,5,2,110.22,31.3,167.5
21,22,Rutgers,3,97,54,55.7,524,5.4,4,2,110.54,32.3,174.7
22,23,Michigan State,4,131,77,58.8,704,5.4,3,6,102.32,32.8,176.0
23,24,Cincinnati,3,71,40,56.3,537,7.6,4,2,132.83,23.7,179.0
24,25,Army,4,107,66,61.7,733,6.9,2,4,117.91,26.8,183.3
25,26,Minnesota,3,70,42,60.0,556,7.9,4,3,137.01,23.3,185.3
26,27,UAB,3,92,52,56.5,557,6.1,4,1,119.55,30.7,185.7
27,28,UCF,4,176,84,47.7,745,4.2,4,2,88.52,44.0,186.3
28,29,South Florida,3,89,51,57.3,560,6.3,3,4,112.28,29.7,186.7
29,29,Iowa,3,89,52,58.4,560,6.3,4,3,119.37,29.7,186.7
30,31,Connecticut,3,86,60,69.8,561,6.5,7,2,146.77,28.7,187.0
31,32,East Carolina,4,98,56,57.1,752,7.7,3,3,125.57,24.5,188.0
32,33,Air Force,3,89,57,64.0,566,6.4,5,2,131.52,29.7,188.7
33,34,Virginia,4,117,64,54.7,755,6.5,5,4,116.17,29.3,188.8
34,35,Alabama,4,141,86,61.0,756,5.4,4,5,108.30,35.3,189.0
35,36,Kansas,4,126,76,60.3,759,6.0,4,2,118.23,31.5,189.8
36,37,Tennessee,4,114,63,55.3,760,6.7,5,6,115.20,28.5,190.0
37,38,Tulane,4,132,68,51.5,772,5.8,5,5,105.56,33.0,193.0
38,38,Florida,4,116,71,61.2,772,6.7,3,7,113.57,29.0,193.0
39,40,Northwestern,3,91,57,62.6,581,6.4,4,1,128.58,30.3,193.7
40,41,TCU,3,91,49,53.8,583,6.4,3,5,107.56,30.3,194.3
41,42,Colorado State,4,107,61,57.0,799,7.5,7,0,141.32,26.8,199.8
42,43,Texas State,4,113,70,61.9,803,7.1,8,5,136.15,28.3,200.8
43,44,West Virginia,4,123,73,59.3,806,6.6,8,2,132.61,30.8,201.5
44,45,Tulsa,4,129,65,50.4,811,6.3,4,1,111.88,32.3,202.8
45,46,Liberty,4,119,68,57.1,821,6.9,7,4,127.78,29.8,205.3
46,47,Georgia,4,152,92,60.5,822,5.4,3,4,107.21,38.0,205.5
47,47,North Texas,4,128,71,55.5,822,6.4,5,2,119.17,32.0,205.5
48,49,South Alabama,4,98,64,65.3,832,8.5,7,5,150.00,24.5,208.0
49,50,Iowa State,3,114,68,59.6,626,5.5,3,2,110.95,38.0,208.7
50,51,Miami (Florida),4,126,68,54.0,839,6.7,4,3,115.63,31.5,209.8
51,52,Kent State,4,95,59,62.1,841,8.9,4,3,144.06,23.8,210.3
52,53,Oklahoma,3,91,58,63.7,637,7.0,6,4,135.51,30.3,212.3
53,54,Washington,4,142,84,59.2,853,6.0,3,4,110.96,35.5,213.3
54,54,BYU,4,106,78,73.6,853,8.0,7,5,153.54,26.5,213.3
55,56,Mississippi State,4,126,67,53.2,856,6.8,4,4,114.38,31.5,214.0
56,57,Old Dominion,3,81,50,61.7,646,8.0,5,2,144.15,27.0,215.3
57,58,Louisville,4,120,74,61.7,862,7.2,6,0,138.51,30.0,215.5
58,59,North Carolina,4,124,80,64.5,889,7.2,4,4,128.94,31.0,222.3
59,60,Utah,4,119,75,63.0,891,7.5,4,5,128.61,29.8,222.8
60,61,LSU,4,139,78,56.1,894,6.4,7,2,123.89,34.8,223.5
61,62,Louisiana-Lafayette,4,148,80,54.1,896,6.1,4,4,108.41,37.0,224.0
62,63,Maryland,3,97,56,57.7,674,6.9,6,2,132.38,32.3,224.7
63,64,California,4,156,88,56.4,901,5.8,2,2,106.60,39.0,225.3
64,65,Duke,3,88,57,64.8,679,7.7,6,0,152.08,29.3,226.3
65,65,Western Kentucky,3,64,37,57.8,679,10.6,7,0,183.03,21.3,226.3
66,67,Auburn,4,156,87,55.8,909,5.8,5,1,114.02,39.0,227.3
67,68,San Diego State,4,155,101,65.2,910,5.9,2,3,114.87,38.8,227.5
68,69,Bowling Green,4,96,72,75.0,911,9.5,9,1,183.58,24.0,227.8
69,70,Northern Illinois,3,83,47,56.6,688,8.3,4,1,139.75,27.7,229.3
70,71,Pittsburgh,4,133,74,55.6,918,6.9,4,2,120.54,33.3,229.5
71,72,SMU,4,164,95,57.9,922,5.6,11,3,123.62,41.0,230.5
72,73,Marshall,3,100,59,59.0,698,7.0,5,2,130.13,33.3,232.7
73,74,North Carolina State,4,169,103,60.9,931,5.5,3,3,109.54,42.3,232.8
74,75,Western Michigan,4,135,88,65.2,938,6.9,9,3,141.11,33.8,234.5
75,76,Wake Forest,4,132,83,62.9,947,7.2,7,3,136.09,33.0,236.8
76,77,Florida International,4,131,80,61.1,950,7.3,5,4,128.48,32.8,237.5
77,78,Buffalo,4,112,71,63.4,954,8.5,11,3,161.99,28.0,238.5
78,79,Middle Tennessee,3,93,64,68.8,716,7.7,9,2,161.12,31.0,238.7
79,80,Oklahoma State,4,137,77,56.2,957,7.0,10,3,134.58,34.3,239.3
80,81,Nebraska,4,148,84,56.8,960,6.5,5,6,114.28,37.0,240.0
81,82,Arizona State,4,143,91,63.6,971,6.8,5,1,130.82,35.8,242.8
82,83,Hawai'i,4,151,85,56.3,979,6.5,8,3,124.26,37.8,244.8
83,84,Oregon State,3,86,54,62.8,736,8.6,8,2,160.73,28.7,245.3
84,85,Kentucky,4,130,83,63.8,983,7.6,3,5,127.30,32.5,245.8
85,86,Fresno State,3,106,69,65.1,739,7.0,6,2,138.56,35.3,246.3
86,87,UNLV,3,104,59,56.7,744,7.2,5,1,130.77,34.7,248.0
