,Rank,Name,G,Punts,Yards,Avg.,Punts/G,Yards/G
0,1,Kentucky,4,14,717,51.21,3.5,179.3
1,2,Arizona State,4,19,958,50.42,4.8,239.5
2,3,Virginia Tech,3,13,651,50.08,4.3,217.0
3,4,South Carolina,4,15,734,48.93,3.8,183.5
4,5,Colorado State,4,14,676,48.29,3.5,169.0
5,6,New Mexico,3,17,819,48.18,5.7,273.0
6,7,Texas A&M,4,16,770,48.13,4.0,192.5
7,8,Michigan,3,11,524,47.64,3.7,174.7
8,9,Syracuse,4,25,1181,47.24,6.3,295.3
9,10,Oregon State,3,10,471,47.10,3.3,157.0
10,11,Toledo,3,17,800,47.06,5.7,266.7
11,12,Texas Tech,3,16,751,46.94,5.3,250.3
12,13,Louisiana-Lafayette,4,10,466,46.60,2.5,116.5
13,14,Mississippi,4,18,836,46.44,4.5,209.0
14,15,Iowa,3,12,557,46.42,4.0,185.7
15,16,Memphis,3,11,510,46.36,3.7,170.0
16,17,Michigan State,4,16,741,46.31,4.0,185.3
17,18,Nebraska,4,18,826,45.89,4.5,206.5
18,19,Appalachian State,3,13,596,45.85,4.3,198.7
19,20,Houston,4,16,733,45.81,4.0,183.3
20,21,Oregon,4,18,823,45.72,4.5,205.8
21,22,Rutgers,3,16,731,45.69,5.3,243.7
22,23,Kansas State,3,8,365,45.63,2.7,121.7
23,24,Wake Forest,4,20,910,45.50,5.0,227.5
24,24,BYU,4,16,728,45.50,4.0,182.0
25,26,Illinois,4,23,1044,45.39,5.8,261.0
26,27,Colorado,4,17,771,45.35,4.3,192.8
27,28,LSU,4,11,498,45.27,2.8,124.5
28,29,Florida International,4,20,905,45.25,5.0,226.3
29,29,Ohio State,4,12,543,45.25,3.0,135.8
30,31,Georgia State,4,16,723,45.19,4.0,180.8
31,32,Florida,4,6,271,45.17,1.5,67.8
32,33,Fresno State,3,11,496,45.09,3.7,165.3
33,34,Tennessee,4,11,495,45.00,2.8,123.8
34,35,Western Kentucky,3,13,583,44.85,4.3,194.3
35,36,Louisiana-Monroe,3,10,448,44.80,3.3,149.3
36,37,Georgia,4,11,491,44.64,2.8,122.8
37,38,Mississippi State,4,15,668,44.53,3.8,167.0
38,39,South Florida,3,22,979,44.50,7.3,326.3
39,40,Kansas,4,14,618,44.14,3.5,154.5
40,41,UNLV,3,18,793,44.06,6.0,264.3
41,42,Troy,3,10,440,44.00,3.3,146.7
42,43,North Carolina State,4,15,658,43.87,3.8,164.5
43,44,Kent State,4,21,921,43.86,5.3,230.3
44,45,Navy,2,4,175,43.75,2.0,87.5
45,46,Washington,4,9,392,43.56,2.3,98.0
46,47,Army,4,12,522,43.50,3.0,130.5
47,48,New Mexico State,4,21,913,43.48,5.3,228.3
48,49,Missouri,4,19,826,43.47,4.8,206.5
49,50,Auburn,4,22,955,43.41,5.5,238.8
50,51,Wyoming,4,26,1126,43.31,6.5,281.5
51,52,San Diego State,4,23,992,43.13,5.8,248.0
52,52,Connecticut,3,15,647,43.13,5.0,215.7
53,54,Florida State,4,22,944,42.91,5.5,236.0
54,55,Miami (Florida),4,14,600,42.86,3.5,150.0
55,56,UCLA,4,20,857,42.85,5.0,214.3
56,57,Nevada,4,24,1028,42.83,6.0,257.0
57,58,Miami (Ohio),4,27,1151,42.63,6.8,287.8
58,59,Vanderbilt,3,21,894,42.57,7.0,298.0
59,60,Central Michigan,4,20,849,42.45,5.0,212.3
60,61,Louisville,4,17,718,42.24,4.3,179.5
61,62,Tulsa,4,25,1054,42.16,6.3,263.5
62,63,Notre Dame,3,14,589,42.07,4.7,196.3
63,64,UCF,4,18,757,42.06,4.5,189.3
64,65,Northern Illinois,3,21,883,42.05,7.0,294.3
65,66,Pittsburgh,4,23,966,42.00,5.8,241.5
66,66,Cincinnati,3,17,714,42.00,5.7,238.0
67,68,Wisconsin,3,10,419,41.90,3.3,139.7
68,69,Georgia Tech,3,18,754,41.89,6.0,251.3
69,70,North Texas,4,14,586,41.86,3.5,146.5
70,71,Clemson,4,15,626,41.73,3.8,156.5
71,72,South Alabama,4,22,917,41.68,5.5,229.3
72,73,Ohio,4,21,875,41.67,5.3,218.8
73,74,Arkansas State,4,24,996,41.50,6.0,249.0
74,74,Rice,4,24,996,41.50,6.0,249.0
75,76,North Carolina,4,23,949,41.26,5.8,237.3
76,76,UTSA,4,19,784,41.26,4.8,196.0
77,78,Liberty,4,21,864,41.14,5.3,216.0
78,79,Marshall,3,15,617,41.13,5.0,205.7
79,80,Georgia Southern,3,17,699,41.12,5.7,233.0
80,81,East Carolina,4,21,858,40.86,5.3,214.5
81,82,Western Michigan,4,12,490,40.83,3.0,122.5
82,83,Old Dominion,3,14,571,40.79,4.7,190.3
83,84,San Jose State,3,13,530,40.77,4.3,176.7
84,85,Charlotte,4,19,774,40.74,4.8,193.5
85,86,Virginia,4,14,570,40.71,3.5,142.5
86,87,Maryland,3,16,649,40.56,5.3,216.3
87,88,Florida Atlantic,4,29,1174,40.48,7.3,293.5
88,89,Tulane,4,19,769,40.47,4.8,192.3
89,90,Indiana,4,15,606,40.40,3.8,151.5
90,91,SMU,4,15,605,40.33,3.8,151.3
91,92,Bowling Green,4,26,1047,40.27,6.5,261.8
92,92,West Virginia,4,22,886,40.27,5.5,221.5
93,94,Boston College,4,19,762,40.11,4.8,190.5
94,95,UAB,3,15,601,40.07,5.0,200.3
95,96,Minnesota,3,10,400,40.00,3.3,133.3
96,96,Texas,4,12,480,40.00,3.0,120.0
97,98,Duke,3,11,439,39.91,3.7,146.3
98,99,Eastern Michigan,4,19,758,39.89,4.8,189.5
99,99,Ball State,4,19,758,39.89,4.8,189.5
100,101,UTEP,3,15,598,39.87,5.0,199.3
101,102,Utah State,3,13,518,39.85,4.3,172.7
102,102,USC,4,13,518,39.85,3.3,129.5
103,104,Stanford,4,19,755,39.74,4.8,188.8
104,105,Oklahoma State,4,16,634,39.63,4.0,158.5
105,106,Middle Tennessee,3,13,515,39.62,4.3,171.7
106,107,Purdue,3,17,668,39.29,5.7,222.7
107,108,Oklahoma,3,5,196,39.20,1.7,65.3
108,109,Penn State,3,14,548,39.14,4.7,182.7
109,110,TCU,3,15,585,39.00,5.0,195.0
110,111,Utah,4,11,428,38.91,2.8,107.0
111,112,Air Force,3,8,311,38.88,2.7,103.7
112,113,Iowa State,3,7,272,38.86,2.3,90.7
113,114,Southern Mississippi,4,18,698,38.78,4.5,174.5
114,115,Washington State,4,9,348,38.67,2.3,87.0
115,116,Baylor,3,10,384,38.40,3.3,128.0
116,117,Arkansas,4,18,691,38.39,4.5,172.8
117,118,Northwestern,3,14,533,38.07,4.7,177.7
118,119,Hawai'i,4,9,340,37.78,2.3,85.0
119,120,Massachusetts,4,21,793,37.76,5.3,198.3
120,121,California,4,20,742,37.10,5.0,185.5
