,Rank,Name,G,TFL,TFL Yards,TFL/G
0,1,Duke,3,7.0,26,2.33
1,2,Rutgers,3,8.0,23,2.67
2,2,Iowa State,3,8.0,29,2.67
3,4,Air Force,3,9.0,19,3.00
4,4,Oregon State,3,9.0,26,3.00
5,6,Georgia Southern,3,10.0,31,3.33
6,6,Temple,3,10.0,37,3.33
7,6,Iowa,3,10.0,58,3.33
8,6,Hawai'i,4,10.0,61,2.50
9,10,Kansas State,3,11.0,33,3.67
10,10,UAB,3,11.0,35,3.67
11,12,Texas Tech,3,12.0,32,4.00
12,12,Washington State,4,12.0,44,3.00
13,12,Louisiana-Monroe,3,12.0,44,4.00
14,15,Baylor,3,13.0,27,4.33
15,15,Florida,4,13.0,34,3.25
16,15,Georgia,4,13.0,37,3.25
17,15,Navy,2,13.0,40,6.50
18,15,San Jose State,3,13.0,44,4.33
19,15,Marshall,3,13.0,44,4.33
20,15,Louisiana-Lafayette,4,13.0,58,3.25
21,22,Western Kentucky,3,14.0,34,4.67
22,22,Wyoming,4,14.0,46,3.50
23,22,Toledo,3,14.0,49,4.67
24,22,Army,4,14.0,62,3.50
25,22,Michigan,3,14.0,85,4.67
26,27,Utah State,3,15.0,33,5.00
27,27,Oklahoma,3,15.0,54,5.00
28,29,Boston College,4,16.0,37,4.00
29,29,New Mexico,3,16.0,44,5.33
30,29,Utah,4,16.0,55,4.00
31,29,Notre Dame,3,16.0,55,5.33
32,29,Appalachian State,3,16.0,59,5.33
33,29,Clemson,4,16.0,61,4.00
34,29,Texas A&M,4,16.0,62,4.00
35,29,Ohio,4,16.0,86,4.00
36,29,Fresno State,3,16.0,90,5.33
37,38,Washington,4,17.0,44,4.25
38,38,Troy,3,17.0,47,5.67
39,38,North Carolina State,4,17.0,52,4.25
40,38,Kentucky,4,17.0,52,4.25
41,38,Tennessee,4,17.0,62,4.25
42,38,Wisconsin,3,17.0,64,5.67
43,38,USC,4,17.0,78,4.25
44,38,Northwestern,3,17.0,78,5.67
45,38,TCU,3,17.0,83,5.67
46,38,Vanderbilt,3,17.0,86,5.67
47,38,UTEP,3,17.0,88,5.67
48,49,Penn State,3,18.0,59,6.00
49,49,Michigan State,4,18.0,60,4.50
50,49,Western Michigan,4,18.0,66,4.50
51,49,Mississippi State,4,18.0,70,4.50
52,49,Colorado State,4,18.0,88,4.50
53,54,Purdue,3,19.0,51,6.33
54,54,SMU,4,19.0,54,4.75
55,54,Tulane,4,19.0,63,4.75
56,54,Oregon,4,19.0,69,4.75
57,54,Colorado,4,19.0,78,4.75
58,54,South Carolina,4,19.0,86,4.75
59,60,Coastal Carolina,4,20.0,65,5.00
60,60,Louisiana Tech,4,20.0,75,5.00
61,62,Alabama,4,21.0,62,5.25
62,62,Indiana,4,21.0,69,5.25
63,62,Texas,4,21.0,69,5.25
64,62,Virginia Tech,3,21.0,77,7.00
65,62,Cincinnati,3,21.0,81,7.00
66,62,Virginia,4,21.0,85,5.25
67,62,Northern Illinois,3,21.0,96,7.00
68,69,Ohio State,4,22.0,68,5.50
69,69,Bowling Green,4,22.0,73,5.50
70,69,Middle Tennessee,3,22.0,84,7.33
71,69,Arkansas,4,22.0,86,5.50
72,69,Central Michigan,4,22.0,92,5.50
73,74,Maryland,3,23.0,72,7.67
74,74,Florida International,4,23.0,78,5.75
75,74,BYU,4,23.0,97,5.75
76,74,Arkansas State,4,23.0,99,5.75
77,74,New Mexico State,4,23.0,121,5.75
78,79,Arizona,3,24.0,65,8.00
79,79,Connecticut,3,24.0,82,8.00
80,79,Missouri,4,24.0,85,6.00
81,79,UNLV,3,24.0,86,8.00
82,79,LSU,4,24.0,88,6.00
83,79,Rice,4,24.0,89,6.00
84,79,Charlotte,4,24.0,93,6.00
