,Rank,Name,G,Punts,Yards,Avg.,Punts/G,Yards/G
0,1,Maryland,3,26,895,34.42,8.7,298.3
1,2,Washington,4,18,624,34.67,4.5,156.0
2,3,Buffalo,4,17,595,35.00,4.3,148.8
3,4,Miami (Florida),4,24,860,35.83,6.0,215.0
4,5,Massachusetts,4,10,362,36.20,2.5,90.5
5,6,Louisiana-Lafayette,4,22,804,36.55,5.5,201.0
6,7,Penn State,3,24,880,36.67,8.0,293.3
7,8,Illinois,4,24,884,36.83,6.0,221.0
8,9,Navy,2,12,447,37.25,6.0,223.5
9,10,Duke,3,12,448,37.33,4.0,149.3
10,11,Georgia State,4,13,492,37.85,3.3,123.0
11,12,Texas,4,16,609,38.06,4.0,152.3
12,12,Central Michigan,4,17,647,38.06,4.3,161.8
13,14,Houston,4,18,686,38.11,4.5,171.5
14,15,Bowling Green,4,21,804,38.29,5.3,201.0
15,16,Memphis,3,19,730,38.42,6.3,243.3
16,17,West Virginia,4,19,731,38.47,4.8,182.8
17,18,Vanderbilt,3,12,464,38.67,4.0,154.7
18,19,Baylor,3,20,775,38.75,6.7,258.3
19,20,Indiana,4,25,970,38.80,6.3,242.5
20,21,Eastern Michigan,4,16,622,38.88,4.0,155.5
21,22,South Florida,3,16,625,39.06,5.3,208.3
22,23,Louisiana-Monroe,3,9,352,39.11,3.0,117.3
23,24,Florida Atlantic,4,20,784,39.20,5.0,196.0
24,25,Tennessee,4,13,510,39.23,3.3,127.5
25,26,Coastal Carolina,4,17,671,39.47,4.3,167.8
26,27,Louisville,4,24,949,39.54,6.0,237.3
27,28,Hawai'i,4,19,753,39.63,4.8,188.3
28,29,Marshall,3,17,675,39.71,5.7,225.0
29,30,Miami (Ohio),4,12,479,39.92,3.0,119.8
30,31,South Carolina,4,17,682,40.12,4.3,170.5
31,32,Mississippi,4,22,883,40.14,5.5,220.8
32,33,Syracuse,4,20,803,40.15,5.0,200.8
33,34,Florida,4,19,763,40.16,4.8,190.8
34,35,Virginia,4,24,965,40.21,6.0,241.3
35,36,Texas State,4,15,605,40.33,3.8,151.3
36,37,Texas A&M,4,29,1170,40.34,7.3,292.5
37,38,Washington State,4,17,687,40.41,4.3,171.8
38,38,Western Kentucky,3,17,687,40.41,5.7,229.0
39,40,Oregon State,3,9,364,40.44,3.0,121.3
40,41,Virginia Tech,3,17,688,40.47,5.7,229.3
41,42,UTSA,4,15,608,40.53,3.8,152.0
42,43,Kansas,4,16,649,40.56,4.0,162.3
43,44,UNLV,3,17,692,40.71,5.7,230.7
44,45,Charlotte,4,22,897,40.77,5.5,224.3
45,46,Fresno State,3,14,571,40.79,4.7,190.3
46,47,Michigan State,4,26,1062,40.85,6.5,265.5
47,48,BYU,4,10,409,40.90,2.5,102.3
48,49,Ohio State,4,35,1439,41.11,8.8,359.8
49,50,SMU,4,24,987,41.13,6.0,246.8
50,51,Middle Tennessee,3,12,494,41.17,4.0,164.7
51,52,UCLA,4,13,536,41.23,3.3,134.0
52,53,Army,4,16,661,41.31,4.0,165.3
53,54,East Carolina,4,23,951,41.35,5.8,237.8
54,55,California,4,20,828,41.40,5.0,207.0
55,56,Utah State,3,20,830,41.50,6.7,276.7
56,57,Michigan,3,17,707,41.59,5.7,235.7
57,58,Wyoming,4,23,957,41.61,5.8,239.3
58,59,Boston College,4,20,833,41.65,5.0,208.3
59,60,Notre Dame,3,15,627,41.80,5.0,209.0
60,61,Alabama,4,22,920,41.82,5.5,230.0
61,62,Tulane,4,24,1004,41.83,6.0,251.0
62,63,Nevada,4,18,755,41.94,4.5,188.8
63,64,Minnesota,3,11,462,42.00,3.7,154.0
64,64,Air Force,3,12,504,42.00,4.0,168.0
65,64,Boise State,4,26,1092,42.00,6.5,273.0
66,67,Oregon,4,28,1177,42.04,7.0,294.3
67,67,TCU,3,24,1009,42.04,8.0,336.3
68,69,North Texas,4,18,757,42.06,4.5,189.3
69,70,Northwestern,3,16,676,42.25,5.3,225.3
70,70,North Carolina State,4,28,1183,42.25,7.0,295.8
71,72,Rice,4,13,550,42.31,3.3,137.5
72,72,Connecticut,3,13,550,42.31,4.3,183.3
73,74,Rutgers,3,17,721,42.41,5.7,240.3
74,75,Southern Mississippi,4,18,764,42.44,4.5,191.0
75,76,LSU,4,27,1147,42.48,6.8,286.8
76,77,Arizona State,4,23,978,42.52,5.8,244.5
77,78,Utah,4,22,936,42.55,5.5,234.0
78,79,Nebraska,4,28,1195,42.68,7.0,298.8
79,80,Old Dominion,3,14,598,42.71,4.7,199.3
80,81,Purdue,3,23,983,42.74,7.7,327.7
81,82,UCF,4,37,1583,42.78,9.3,395.8
82,83,Troy,3,17,729,42.88,5.7,243.0
83,84,Kansas State,3,19,815,42.89,6.3,271.7
84,85,Ohio,4,20,858,42.90,5.0,214.5
85,86,Louisiana Tech,4,18,774,43.00,4.5,193.5
86,86,Florida International,4,18,774,43.00,4.5,193.5
87,88,San Diego State,4,23,990,43.04,5.8,247.5
88,89,Akron,4,16,689,43.06,4.0,172.3
89,90,Appalachian State,3,15,646,43.07,5.0,215.3
90,91,Iowa State,3,15,647,43.13,5.0,215.7
91,92,Wake Forest,4,33,1424,43.15,8.3,356.0
92,93,San Jose State,3,9,389,43.22,3.0,129.7
93,94,Florida State,4,20,865,43.25,5.0,216.3
94,95,UAB,3,24,1041,43.38,8.0,347.0
95,96,Texas Tech,3,24,1042,43.42,8.0,347.3
96,97,Oklahoma State,4,24,1044,43.50,6.0,261.0
97,98,New Mexico State,4,12,523,43.58,3.0,130.8
98,99,Liberty,4,18,786,43.67,4.5,196.5
99,100,Pittsburgh,4,27,1181,43.74,6.8,295.3
100,101,Georgia,4,28,1225,43.75,7.0,306.3
101,102,Kentucky,4,16,704,44.00,4.0,176.0
102,103,South Alabama,4,16,706,44.13,4.0,176.5
103,104,Mississippi State,4,16,710,44.38,4.0,177.5
104,105,UTEP,3,10,444,44.40,3.3,148.0
105,106,Missouri,4,33,1466,44.42,8.3,366.5
106,107,Iowa,3,21,933,44.43,7.0,311.0
107,108,Oklahoma,3,16,711,44.44,5.3,237.0
108,108,Northern Illinois,3,16,711,44.44,5.3,237.0
109,110,Stanford,4,15,667,44.47,3.8,166.8
110,110,Cincinnati,3,15,667,44.47,5.0,222.3
111,112,Arkansas,4,20,890,44.50,5.0,222.5
