,Rank,Name,G,Attempts,Scores,Score %,TD,TD %,FG,FG %
0,1,LSU,4,27,27,100.00,22,81.48,5,18.52
1,1,North Carolina State,4,19,19,100.00,13,68.42,6,31.58
2,1,North Carolina,4,15,15,100.00,8,53.33,7,46.67
3,1,Florida Atlantic,4,13,13,100.00,10,76.92,3,23.08
4,1,Tulane,4,12,12,100.00,10,83.33,2,16.67
5,1,Penn State,3,12,12,100.00,9,75.00,3,25.00
6,1,Central Michigan,4,11,11,100.00,9,81.82,2,18.18
7,1,Notre Dame,3,11,11,100.00,9,81.82,2,18.18
8,1,California,4,11,11,100.00,7,63.64,4,36.36
9,1,Iowa,3,11,11,100.00,7,63.64,4,36.36
10,1,UTEP,3,10,10,100.00,6,60.00,4,40.00
11,1,Connecticut,3,8,8,100.00,4,50.00,4,50.00
12,13,Washington State,4,22,21,95.45,18,81.82,3,13.64
13,14,Georgia,4,20,19,95.00,15,75.00,4,20.00
14,15,North Texas,4,19,18,94.74,11,57.89,7,36.84
15,16,TCU,3,18,17,94.44,9,50.00,8,44.44
16,17,Oklahoma,3,17,16,94.12,14,82.35,2,11.76
17,17,Oklahoma State,4,17,16,94.12,11,64.71,5,29.41
18,19,Alabama,4,16,15,93.75,13,81.25,2,12.50
19,19,Buffalo,4,16,15,93.75,11,68.75,4,25.00
20,21,Houston,4,15,14,93.33,10,66.67,4,26.67
21,21,Iowa State,3,15,14,93.33,8,53.33,6,40.00
22,23,Appalachian State,3,14,13,92.86,12,85.71,1,7.14
23,23,Arizona State,4,14,13,92.86,5,35.71,8,57.14
24,25,Baylor,3,13,12,92.31,12,92.31,0,0.00
25,25,Minnesota,3,13,12,92.31,11,84.62,1,7.69
26,25,Oregon State,3,13,12,92.31,10,76.92,2,15.38
27,25,Hawai'i,4,13,12,92.31,10,76.92,2,15.38
28,25,Ohio,4,13,12,92.31,9,69.23,3,23.08
29,25,Miami (Ohio),4,13,12,92.31,8,61.54,4,30.77
30,25,Kansas,4,13,12,92.31,8,61.54,4,30.77
31,32,Virginia Tech,3,12,11,91.67,9,75.00,2,16.67
32,33,Arizona,3,11,10,90.91,9,81.82,1,9.09
33,33,Texas Tech,3,11,10,90.91,9,81.82,1,9.09
34,33,West Virginia,4,11,10,90.91,7,63.64,3,27.27
35,36,Navy,2,10,9,90.00,9,90.00,0,0.00
36,36,Toledo,3,10,9,90.00,7,70.00,2,20.00
37,36,Wyoming,4,10,9,90.00,5,50.00,4,40.00
38,36,Southern Mississippi,4,10,9,90.00,5,50.00,4,40.00
39,40,Florida,4,19,17,89.47,12,63.16,5,26.32
40,40,Michigan State,4,19,17,89.47,11,57.89,6,31.58
41,42,Washington,4,18,16,88.89,10,55.56,6,33.33
42,43,Kansas State,3,17,15,88.24,13,76.47,2,11.76
43,43,BYU,4,17,15,88.24,8,47.06,7,41.18
44,45,Army,4,16,14,87.50,13,81.25,1,6.25
45,45,Florida State,4,16,14,87.50,12,75.00,2,12.50
46,45,Mississippi State,4,16,14,87.50,12,75.00,2,12.50
47,45,Clemson,4,16,14,87.50,11,68.75,3,18.75
48,45,Colorado,4,16,14,87.50,10,62.50,4,25.00
49,45,Purdue,3,8,7,87.50,5,62.50,2,25.00
50,45,Rutgers,3,8,7,87.50,3,37.50,4,50.00
51,52,Illinois,4,15,13,86.67,13,86.67,0,0.00
52,52,Colorado State,4,15,13,86.67,9,60.00,4,26.67
53,52,Mississippi,4,15,13,86.67,7,46.67,6,40.00
54,52,Nevada,4,15,13,86.67,6,40.00,7,46.67
55,56,Texas A&M,4,22,19,86.36,12,54.55,7,31.82
56,57,Texas,4,14,12,85.71,12,85.71,0,0.00
57,57,Charlotte,4,14,12,85.71,11,78.57,1,7.14
58,57,Wisconsin,3,14,12,85.71,11,78.57,1,7.14
59,57,Tennessee,4,14,12,85.71,7,50.00,5,35.71
60,61,Ohio State,4,20,17,85.00,17,85.00,0,0.00
61,62,Louisville,4,13,11,84.62,10,76.92,1,7.69
62,62,Air Force,3,13,11,84.62,9,69.23,2,15.38
63,62,Louisiana Tech,4,13,11,84.62,7,53.85,4,30.77
64,65,Auburn,4,19,16,84.21,12,63.16,4,21.05
65,66,East Carolina,4,18,15,83.33,8,44.44,7,38.89
66,66,San Jose State,3,12,10,83.33,9,75.00,1,8.33
67,66,Troy,3,12,10,83.33,8,66.67,2,16.67
68,66,Pittsburgh,4,12,10,83.33,8,66.67,2,16.67
69,66,Tulsa,4,12,10,83.33,7,58.33,3,25.00
70,66,Kent State,4,12,10,83.33,6,50.00,4,33.33
71,66,Georgia Tech,3,6,5,83.33,4,66.67,1,16.67
72,66,Middle Tennessee,3,6,5,83.33,4,66.67,1,16.67
73,74,Indiana,4,17,14,82.35,11,64.71,3,17.65
74,74,Ball State,4,17,14,82.35,11,64.71,3,17.65
75,74,Boise State,4,17,14,82.35,8,47.06,6,35.29
76,77,Georgia State,4,22,18,81.82,13,59.09,5,22.73
77,77,New Mexico,3,11,9,81.82,7,63.64,2,18.18
78,77,Old Dominion,3,11,9,81.82,6,54.55,3,27.27
79,77,Stanford,4,11,9,81.82,3,27.27,6,54.55
80,81,USC,4,16,13,81.25,10,62.50,3,18.75
81,82,Louisiana-Lafayette,4,26,21,80.77,20,76.92,1,3.85
82,83,Virginia,4,20,16,80.00,13,65.00,3,15.00
83,83,Wake Forest,4,20,16,80.00,12,60.00,4,20.00
84,83,Memphis,3,15,12,80.00,9,60.00,3,20.00
