,Rank,Name,G,Att.,Made,Pct.,Att/G,Made/G
0,1,Wisconsin,3,1,0,0.0,0.3,0.0
1,1,Maryland,3,1,0,0.0,0.3,0.0
2,1,Michigan,3,2,0,0.0,0.7,0.0
3,1,Louisville,4,3,0,0.0,0.8,0.0
4,5,Army,4,5,1,20.0,1.3,0.3
5,6,Liberty,4,7,2,28.6,1.8,0.5
6,6,Oregon State,3,7,2,28.6,2.3,0.7
7,8,Coastal Carolina,4,3,1,33.3,0.8,0.3
8,8,South Florida,3,3,1,33.3,1.0,0.3
9,8,Old Dominion,3,3,1,33.3,1.0,0.3
10,8,Louisiana Tech,4,6,2,33.3,1.5,0.5
11,12,South Alabama,4,5,2,40.0,1.3,0.5
12,12,Arizona State,4,5,2,40.0,1.3,0.5
13,12,Southern Mississippi,4,5,2,40.0,1.3,0.5
14,12,Indiana,4,5,2,40.0,1.3,0.5
15,12,Northwestern,3,5,2,40.0,1.7,0.7
16,12,Texas Tech,3,5,2,40.0,1.7,0.7
17,18,Kansas,4,11,5,45.5,2.8,1.3
18,19,Western Kentucky,3,2,1,50.0,0.7,0.3
19,19,Oklahoma,3,2,1,50.0,0.7,0.3
20,19,UAB,3,2,1,50.0,0.7,0.3
21,19,Appalachian State,3,2,1,50.0,0.7,0.3
22,19,Navy,2,2,1,50.0,1.0,0.5
23,19,Florida Atlantic,4,4,2,50.0,1.0,0.5
24,19,Texas A&M,4,4,2,50.0,1.0,0.5
25,19,Syracuse,4,4,2,50.0,1.0,0.5
26,19,Mississippi,4,4,2,50.0,1.0,0.5
27,19,Stanford,4,4,2,50.0,1.0,0.5
28,19,Tulane,4,4,2,50.0,1.0,0.5
29,19,Northern Illinois,3,4,2,50.0,1.3,0.7
30,19,Marshall,3,4,2,50.0,1.3,0.7
31,19,Mississippi State,4,6,3,50.0,1.5,0.8
32,19,Toledo,3,6,3,50.0,2.0,1.0
33,19,UCF,4,8,4,50.0,2.0,1.0
34,35,Auburn,4,9,5,55.6,2.3,1.3
35,36,Akron,4,7,4,57.1,1.8,1.0
36,36,Washington,4,7,4,57.1,1.8,1.0
37,38,Michigan State,4,5,3,60.0,1.3,0.8
38,38,Central Michigan,4,5,3,60.0,1.3,0.8
39,38,Florida,4,5,3,60.0,1.3,0.8
40,38,Washington State,4,5,3,60.0,1.3,0.8
41,38,Virginia,4,5,3,60.0,1.3,0.8
42,38,Houston,4,5,3,60.0,1.3,0.8
43,38,Missouri,4,5,3,60.0,1.3,0.8
44,38,Georgia Southern,3,5,3,60.0,1.7,1.0
45,38,Penn State,3,5,3,60.0,1.7,1.0
46,38,Duke,3,5,3,60.0,1.7,1.0
47,38,Temple,3,5,3,60.0,1.7,1.0
48,38,Baylor,3,5,3,60.0,1.7,1.0
49,50,Wyoming,4,8,5,62.5,2.0,1.3
50,51,Charlotte,4,3,2,66.7,0.8,0.5
51,51,UTSA,4,3,2,66.7,0.8,0.5
52,51,Memphis,3,3,2,66.7,1.0,0.7
53,51,Virginia Tech,3,3,2,66.7,1.0,0.7
54,51,Air Force,3,3,2,66.7,1.0,0.7
55,51,Troy,3,3,2,66.7,1.0,0.7
56,51,Georgia,4,6,4,66.7,1.5,1.0
57,51,Miami (Florida),4,6,4,66.7,1.5,1.0
58,51,San Diego State,4,6,4,66.7,1.5,1.0
59,51,Colorado,4,6,4,66.7,1.5,1.0
60,51,West Virginia,4,9,6,66.7,2.3,1.5
61,62,North Carolina,4,10,7,70.0,2.5,1.8
62,62,Texas State,4,10,7,70.0,2.5,1.8
63,64,North Texas,4,7,5,71.4,1.8,1.3
64,64,Eastern Michigan,4,7,5,71.4,1.8,1.3
65,66,South Carolina,4,11,8,72.7,2.8,2.0
66,67,USC,4,15,11,73.3,3.8,2.8
67,68,LSU,4,4,3,75.0,1.0,0.8
68,68,Kentucky,4,4,3,75.0,1.0,0.8
69,68,Hawai'i,4,4,3,75.0,1.0,0.8
70,68,New Mexico,3,4,3,75.0,1.3,1.0
71,68,Arkansas State,4,8,6,75.0,2.0,1.5
72,68,Arkansas,4,8,6,75.0,2.0,1.5
73,68,UCLA,4,8,6,75.0,2.0,1.5
74,68,Illinois,4,8,6,75.0,2.0,1.5
75,68,Texas,4,8,6,75.0,2.0,1.5
76,68,Ball State,4,8,6,75.0,2.0,1.5
77,78,Oregon,4,9,7,77.8,2.3,1.8
78,78,Ohio,4,9,7,77.8,2.3,1.8
79,80,Ohio State,4,5,4,80.0,1.3,1.0
80,80,Rice,4,5,4,80.0,1.3,1.0
81,80,Bowling Green,4,5,4,80.0,1.3,1.0
82,80,Boise State,4,5,4,80.0,1.3,1.0
83,80,Georgia Tech,3,5,4,80.0,1.7,1.3
84,80,Vanderbilt,3,5,4,80.0,1.7,1.3
85,80,UTEP,3,5,4,80.0,1.7,1.3
86,80,Minnesota,3,5,4,80.0,1.7,1.3
87,88,California,4,11,9,81.8,2.8,2.3
88,89,Louisiana-Lafayette,4,6,5,83.3,1.5,1.3
89,89,Louisiana-Monroe,3,6,5,83.3,2.0,1.7
90,91,North Carolina State,4,7,6,85.7,1.8,1.5
91,91,UNLV,3,7,6,85.7,2.3,2.0
92,93,Georgia State,4,8,7,87.5,2.0,1.8
93,93,Tulsa,4,8,7,87.5,2.0,1.8
94,93,Pittsburgh,4,8,7,87.5,2.0,1.8
95,96,Florida International,4,9,8,88.9,2.3,2.0
96,96,Kent State,4,9,8,88.9,2.3,2.0
97,96,BYU,4,9,8,88.9,2.3,2.0
98,96,Iowa State,3,9,8,88.9,3.0,2.7
99,100,Oklahoma State,4,1,1,100.0,0.3,0.3
100,100,Wake Forest,4,1,1,100.0,0.3,0.3
101,100,Kansas State,3,1,1,100.0,0.3,0.3
102,100,Iowa,3,1,1,100.0,0.3,0.3
103,100,Miami (Ohio),4,2,2,100.0,0.5,0.5
104,100,East Carolina,4,2,2,100.0,0.5,0.5
105,100,Cincinnati,3,2,2,100.0,0.7,0.7
106,100,Fresno State,3,2,2,100.0,0.7,0.7
107,100,Utah State,3,2,2,100.0,0.7,0.7
108,100,Connecticut,3,2,2,100.0,0.7,0.7
109,100,Nevada,4,3,3,100.0,0.8,0.8
110,100,Buffalo,4,3,3,100.0,0.8,0.8
111,100,Utah,4,3,3,100.0,0.8,0.8
112,100,Arizona,3,3,3,100.0,1.0,1.0
113,100,Massachusetts,4,4,4,100.0,1.0,1.0
114,100,Clemson,4,4,4,100.0,1.0,1.0
115,100,SMU,4,4,4,100.0,1.0,1.0
116,100,Middle Tennessee,3,4,4,100.0,1.3,1.3
117,100,Notre Dame,3,4,4,100.0,1.3,1.3
118,100,Rutgers,3,4,4,100.0,1.3,1.3
119,100,TCU,3,4,4,100.0,1.3,1.3
120,100,Western Michigan,4,5,5,100.0,1.3,1.3
121,100,Alabama,4,5,5,100.0,1.3,1.3
122,100,Nebraska,4,5,5,100.0,1.3,1.3
123,100,Tennessee,4,6,6,100.0,1.5,1.5
124,100,Purdue,3,5,5,100.0,1.7,1.7
125,100,Boston College,4,7,7,100.0,1.8,1.8
126,100,Colorado State,4,7,7,100.0,1.8,1.8
127,100,San Jose State,3,6,6,100.0,2.0,2.0
128,100,Florida State,4,8,8,100.0,2.0,2.0
129,100,New Mexico State,4,8,8,100.0,2.0,2.0
