,Rank,Name,G,Rush,Pass,Penalty,Total,Total/G
0,1,Wisconsin,3,4,17,6,27,9.0
1,2,TCU,3,13,19,1,33,11.0
2,3,Navy,2,8,13,3,24,12.0
3,3,Iowa,3,11,24,1,36,12.0
4,3,Missouri,4,18,25,5,48,12.0
5,6,Kansas State,3,16,17,4,37,12.3
6,7,Clemson,4,25,22,5,52,13.0
7,8,Utah,4,14,34,5,53,13.3
8,9,UAB,3,17,17,7,41,13.7
9,9,Memphis,3,21,13,7,41,13.7
10,11,Ohio State,4,21,28,6,55,13.8
11,12,Texas Tech,3,21,17,4,42,14.0
12,12,Georgia,4,19,30,7,56,14.0
13,14,Maryland,3,13,24,6,43,14.3
14,14,Michigan State,4,18,31,8,57,14.3
15,16,Army,4,20,31,7,58,14.5
16,17,Baylor,3,20,22,2,44,14.7
17,18,Oregon,4,26,30,3,59,14.8
18,18,Boise State,4,30,27,2,59,14.8
19,20,Virginia,4,22,28,10,60,15.0
20,21,San Diego State,4,17,42,2,61,15.3
21,22,Coastal Carolina,4,28,28,6,62,15.5
22,23,Penn State,3,14,29,4,47,15.7
23,23,Air Force,3,21,25,1,47,15.7
24,25,Buffalo,4,20,36,7,63,15.8
25,26,Miami (Florida),4,15,37,12,64,16.0
26,27,Virginia Tech,3,30,15,4,49,16.3
27,28,Florida,4,23,35,8,66,16.5
28,28,Texas A&M,4,27,32,7,66,16.5
29,30,Troy,3,16,29,5,50,16.7
30,30,Old Dominion,3,17,27,6,50,16.7
31,32,Wake Forest,4,22,41,5,68,17.0
32,32,Louisville,4,26,37,5,68,17.0
33,34,Western Kentucky,3,24,22,6,52,17.3
34,34,Temple,3,24,22,6,52,17.3
35,34,Pittsburgh,4,27,31,11,69,17.3
36,34,Charlotte,4,39,23,7,69,17.3
37,38,LSU,4,17,42,11,70,17.5
38,38,Arizona State,4,22,43,5,70,17.5
39,38,Indiana,4,27,33,10,70,17.5
40,41,Auburn,4,21,42,8,71,17.8
41,41,Alabama,4,21,42,8,71,17.8
42,43,Northern Illinois,3,21,28,6,55,18.3
43,43,Tulsa,4,30,30,13,73,18.3
44,45,North Carolina State,4,17,47,10,74,18.5
45,46,Minnesota,3,24,26,6,56,18.7
46,46,Michigan,3,31,21,4,56,18.7
47,48,Nebraska,4,27,43,5,75,18.8
48,48,Tulane,4,32,37,6,75,18.8
49,50,Marshall,3,20,32,5,57,19.0
50,50,Iowa State,3,23,32,2,57,19.0
51,50,Cincinnati,3,24,23,10,57,19.0
52,50,Northwestern,3,27,24,6,57,19.0
53,54,Connecticut,3,20,31,7,58,19.3
54,54,South Alabama,4,36,35,6,77,19.3
55,56,Colorado State,4,38,32,8,78,19.5
56,57,Duke,3,25,29,5,59,19.7
57,58,Stanford,4,26,49,4,79,19.8
58,58,Nevada,4,31,44,4,79,19.8
59,58,North Carolina,4,35,39,5,79,19.8
60,58,East Carolina,4,43,28,8,79,19.8
61,62,North Texas,4,34,34,12,80,20.0
62,63,Georgia Southern,3,19,37,5,61,20.3
63,63,Notre Dame,3,32,24,5,61,20.3
64,63,UCF,4,28,43,10,81,20.3
65,66,Central Michigan,4,26,48,8,82,20.5
66,66,Kentucky,4,28,44,10,82,20.5
67,66,Southern Mississippi,4,28,50,4,82,20.5
68,66,Washington,4,32,41,9,82,20.5
69,66,Mississippi State,4,34,43,5,82,20.5
70,66,Tennessee,4,36,40,6,82,20.5
71,72,Bowling Green,4,32,42,9,83,20.8
72,72,California,4,33,44,6,83,20.8
73,74,Fresno State,3,22,35,6,63,21.0
74,74,Mississippi,4,24,55,5,84,21.0
75,74,SMU,4,28,46,10,84,21.0
76,74,Arkansas,4,31,42,11,84,21.0
77,74,Rice,4,41,43,0,84,21.0
78,79,South Florida,3,32,24,8,64,21.3
79,79,Florida Atlantic,4,33,43,9,85,21.3
80,81,Boston College,4,38,44,4,86,21.5
81,81,UTSA,4,50,28,8,86,21.5
82,83,Purdue,3,27,34,4,65,21.7
83,83,Georgia Tech,3,45,16,4,65,21.7
84,85,Louisiana-Lafayette,4,35,44,8,87,21.8
85,85,Illinois,4,38,42,7,87,21.8
86,85,Liberty,4,42,35,10,87,21.8
87,85,Oklahoma State,4,42,39,6,87,21.8
88,89,Oklahoma,3,26,30,10,66,22.0
89,89,West Virginia,4,48,33,7,88,22.0
90,89,Texas State,4,50,32,6,88,22.0
91,92,UNLV,3,29,34,4,67,22.3
92,92,South Carolina,4,32,51,6,89,22.3
93,92,Washington State,4,35,40,14,89,22.3
94,92,Eastern Michigan,4,35,48,6,89,22.3
95,92,Colorado,4,39,47,3,89,22.3
96,97,Ball State,4,34,48,8,90,22.5
97,97,Akron,4,39,47,4,90,22.5
98,97,BYU,4,46,36,8,90,22.5
99,100,Hawai'i,4,38,47,6,91,22.8
100,100,Kansas,4,48,37,6,91,22.8
101,102,UTEP,3,23,40,6,69,23.0
102,102,Rutgers,3,34,26,9,69,23.0
103,102,Texas,4,29,55,8,92,23.0
104,102,Western Michigan,4,39,45,8,92,23.0
105,102,Ohio,4,45,41,6,92,23.0
106,102,Georgia State,4,46,41,5,92,23.0
