,Rank,Name,G,Opponent Fumbles,Fumbles Recovered,Fumble Recovery %
0,1,Washington State,4,12,7,58.33
1,1,Mississippi State,4,10,7,70.00
2,1,South Florida,3,8,7,87.50
3,1,Illinois,4,8,7,87.50
4,5,Army,4,10,6,60.00
5,5,Colorado,4,9,6,66.67
6,5,Fresno State,3,8,6,75.00
7,8,Arizona State,4,13,5,38.46
8,8,Notre Dame,3,10,5,50.00
9,8,SMU,4,9,5,55.56
10,8,Northwestern,3,8,5,62.50
11,8,Alabama,4,7,5,71.43
12,8,Miami (Florida),4,6,5,83.33
13,8,UCLA,4,6,5,83.33
14,8,Florida Atlantic,4,6,5,83.33
15,8,Syracuse,4,6,5,83.33
16,17,Florida State,4,9,4,44.44
17,17,San Diego State,4,9,4,44.44
18,17,South Alabama,4,7,4,57.14
19,17,Nevada,4,7,4,57.14
20,17,North Texas,4,6,4,66.67
21,17,Arkansas,4,6,4,66.67
22,17,Central Michigan,4,6,4,66.67
23,17,Nebraska,4,6,4,66.67
24,17,Stanford,4,6,4,66.67
25,17,Maryland,3,6,4,66.67
26,17,Wyoming,4,5,4,80.00
27,17,Western Michigan,4,4,4,100.00
28,17,Louisiana-Lafayette,4,4,4,100.00
29,17,Texas State,4,4,4,100.00
30,31,Ohio State,4,9,3,33.33
31,31,Georgia Tech,3,8,3,37.50
32,31,Michigan State,4,8,3,37.50
33,31,Wisconsin,3,8,3,37.50
34,31,California,4,7,3,42.86
35,31,Bowling Green,4,7,3,42.86
36,31,Tulane,4,7,3,42.86
37,31,UAB,3,6,3,50.00
38,31,Appalachian State,3,6,3,50.00
39,31,Florida,4,6,3,50.00
40,31,Boise State,4,6,3,50.00
41,31,Minnesota,3,6,3,50.00
42,31,Miami (Ohio),4,5,3,60.00
43,31,Michigan,3,5,3,60.00
44,31,Cincinnati,3,5,3,60.00
45,31,Louisville,4,5,3,60.00
46,31,Louisiana Tech,4,5,3,60.00
47,31,West Virginia,4,5,3,60.00
48,31,Buffalo,4,5,3,60.00
49,31,Tennessee,4,5,3,60.00
50,31,Eastern Michigan,4,5,3,60.00
51,31,Clemson,4,5,3,60.00
52,31,USC,4,4,3,75.00
53,31,Old Dominion,3,4,3,75.00
54,31,Kentucky,4,4,3,75.00
55,31,Rice,4,4,3,75.00
56,31,Kansas State,3,4,3,75.00
57,31,Boston College,4,4,3,75.00
58,31,Connecticut,3,4,3,75.00
59,31,Duke,3,3,3,100.00
60,31,Houston,4,3,3,100.00
61,31,Iowa,3,3,3,100.00
62,31,Tulsa,4,3,3,100.00
63,64,Auburn,4,6,2,33.33
64,64,Mississippi,4,6,2,33.33
65,64,Georgia State,4,5,2,40.00
66,64,Middle Tennessee,3,5,2,40.00
67,64,Oklahoma State,4,5,2,40.00
68,64,Oregon,4,5,2,40.00
69,64,North Carolina State,4,5,2,40.00
70,64,Liberty,4,5,2,40.00
71,64,Kent State,4,5,2,40.00
72,64,Baylor,3,5,2,40.00
73,64,UTSA,4,5,2,40.00
74,64,Ball State,4,5,2,40.00
75,64,Georgia,4,4,2,50.00
76,64,Georgia Southern,3,4,2,50.00
77,64,Washington,4,4,2,50.00
78,64,Wake Forest,4,4,2,50.00
79,64,Utah,4,4,2,50.00
80,64,Marshall,3,4,2,50.00
81,64,UTEP,3,4,2,50.00
82,64,Toledo,3,4,2,50.00
83,64,LSU,4,3,2,66.67
84,64,South Carolina,4,3,2,66.67
85,64,Northern Illinois,3,3,2,66.67
86,64,Charlotte,4,3,2,66.67
87,64,Vanderbilt,3,3,2,66.67
88,64,Colorado State,4,3,2,66.67
89,64,Louisiana-Monroe,3,2,2,100.00
90,64,Memphis,3,2,2,100.00
91,64,Oregon State,3,2,2,100.00
92,64,Arizona,3,2,2,100.00
93,64,Navy,2,2,2,100.00
94,64,Missouri,4,2,2,100.00
95,96,Air Force,3,6,1,16.67
96,96,East Carolina,4,5,1,20.00
97,96,Utah State,3,5,1,20.00
98,96,BYU,4,5,1,20.00
99,96,Western Kentucky,3,4,1,25.00
100,96,Arkansas State,4,4,1,25.00
101,96,UCF,4,4,1,25.00
102,96,Florida International,4,4,1,25.00
103,96,New Mexico,3,4,1,25.00
104,96,Ohio,4,4,1,25.00
105,96,Virginia Tech,3,4,1,25.00
106,96,Troy,3,4,1,25.00
107,96,Penn State,3,3,1,33.33
108,96,Oklahoma,3,3,1,33.33
109,96,UNLV,3,3,1,33.33
110,96,Southern Mississippi,4,3,1,33.33
111,96,Coastal Carolina,4,3,1,33.33
112,96,Texas,4,3,1,33.33
113,96,Akron,4,2,1,50.00
114,96,Massachusetts,4,2,1,50.00
115,96,Texas A&M,4,2,1,50.00
116,96,Temple,3,2,1,50.00
117,96,Iowa State,3,2,1,50.00
118,96,Indiana,4,2,1,50.00
119,96,Texas Tech,3,1,1,100.00
120,121,Pittsburgh,4,5,0,0.00
121,121,North Carolina,4,3,0,0.00
122,121,Kansas,4,3,0,0.00
123,121,TCU,3,2,0,0.00
124,121,San Jose State,3,1,0,0.00
125,121,New Mexico State,4,1,0,0.00
126,121,Hawai'i,4,1,0,0.00
127,121,Purdue,3,1,0,0.00
