,Rank,Name,G,Kickoffs,Yards,Avg.,Touchback,Touchback %,Out-Of-Bounds,Onside
0,1,Appalachian State,3,15,717,47.80,7,46.67,1,0
1,2,Florida International,4,24,1177,49.04,5,20.83,1,1
2,3,Alabama,4,13,640,49.23,5,38.46,1,0
3,4,Penn State,3,9,445,49.44,0,0.00,0,0
4,5,TCU,3,13,649,49.92,4,30.77,0,1
5,6,Arkansas,4,23,1171,50.91,1,4.35,1,0
6,7,Florida Atlantic,4,23,1229,53.43,8,34.78,1,1
7,8,UAB,3,10,537,53.70,1,10.00,0,0
8,9,Memphis,3,11,591,53.73,0,0.00,2,0
9,10,Georgia,4,11,599,54.45,2,18.18,1,0
10,11,Massachusetts,4,35,1912,54.63,10,28.57,0,0
11,12,Clemson,4,12,663,55.25,4,33.33,1,0
12,13,Auburn,4,15,835,55.67,8,53.33,0,1
13,14,North Texas,4,22,1229,55.86,6,27.27,0,0
14,15,UNLV,3,20,1133,56.65,5,25.00,1,0
15,16,Kansas,4,18,1026,57.00,6,33.33,0,0
16,17,Boston College,4,22,1258,57.18,4,18.18,0,1
17,18,Army,4,12,687,57.25,4,33.33,0,0
18,19,Kent State,4,26,1503,57.81,8,30.77,1,0
19,20,Connecticut,3,16,928,58.00,9,56.25,1,0
20,21,Louisiana Tech,4,18,1045,58.06,4,22.22,0,1
21,22,Arkansas State,4,28,1627,58.11,11,39.29,1,0
22,23,South Florida,3,15,876,58.40,5,33.33,1,0
23,24,SMU,4,22,1290,58.64,4,18.18,1,0
24,25,Michigan State,4,13,763,58.69,3,23.08,0,0
25,26,Louisiana-Lafayette,4,19,1116,58.74,7,36.84,1,0
26,27,Southern Mississippi,4,24,1415,58.96,9,37.50,0,1
27,28,Troy,3,14,827,59.07,2,14.29,2,0
28,28,Oregon,4,14,827,59.07,6,42.86,1,0
29,30,Charlotte,4,27,1601,59.30,7,25.93,4,0
30,31,Indiana,4,16,949,59.31,2,12.50,0,0
31,32,Miami (Ohio),4,30,1786,59.53,8,26.67,0,0
32,33,Tulsa,4,22,1311,59.59,12,54.55,1,1
33,34,Tulane,4,16,956,59.75,8,50.00,0,0
34,35,Liberty,4,20,1196,59.80,9,45.00,0,0
35,36,North Carolina,4,23,1377,59.87,13,56.52,1,0
36,37,UTSA,4,25,1498,59.92,11,44.00,2,0
37,38,Boise State,4,14,839,59.93,6,42.86,1,1
38,38,Bowling Green,4,28,1678,59.93,9,32.14,2,1
39,40,Virginia,4,16,960,60.00,5,31.25,0,0
40,41,Purdue,3,17,1023,60.18,6,35.29,0,0
41,42,Western Kentucky,3,16,963,60.19,4,25.00,0,0
42,42,Texas,4,21,1264,60.19,11,52.38,1,1
43,44,Maryland,3,11,663,60.27,6,54.55,1,0
44,45,LSU,4,18,1087,60.39,8,44.44,1,1
45,46,Notre Dame,3,13,787,60.54,7,53.85,0,0
46,47,Georgia Southern,3,20,1211,60.55,12,60.00,3,0
47,48,Syracuse,4,25,1514,60.56,11,44.00,1,0
48,49,Cincinnati,3,14,849,60.64,6,42.86,1,0
49,50,West Virginia,4,21,1274,60.67,10,47.62,2,1
50,51,Rutgers,3,15,911,60.73,7,46.67,1,0
51,52,North Carolina State,4,17,1034,60.82,7,41.18,2,1
52,53,Illinois,4,21,1278,60.86,7,33.33,2,0
53,54,Texas State,4,26,1584,60.92,10,38.46,2,0
54,55,USC,4,24,1463,60.96,2,8.33,1,0
55,56,Temple,3,14,854,61.00,6,42.86,0,0
56,56,East Carolina,4,18,1098,61.00,5,27.78,0,0
57,58,Old Dominion,3,15,916,61.07,5,33.33,2,0
58,59,Nebraska,4,20,1224,61.20,13,65.00,2,0
59,59,South Carolina,4,25,1530,61.20,15,60.00,0,0
60,61,Marshall,3,13,796,61.23,4,30.77,0,0
61,62,South Alabama,4,24,1471,61.29,11,45.83,0,0
62,63,Arizona State,4,13,797,61.31,9,69.23,0,0
63,64,Houston,4,25,1533,61.32,14,56.00,3,0
64,65,Northwestern,3,12,736,61.33,6,50.00,1,0
65,65,Northern Illinois,3,18,1104,61.33,10,55.56,0,0
66,67,Ohio,4,24,1474,61.42,12,50.00,1,0
67,67,Colorado State,4,31,1904,61.42,18,58.06,1,0
68,69,Hawai'i,4,25,1536,61.44,10,40.00,0,0
69,70,Stanford,4,22,1353,61.50,9,40.91,3,0
70,71,Kansas State,3,9,554,61.56,2,22.22,0,0
71,71,Wake Forest,4,16,985,61.56,6,37.50,0,0
72,73,Utah,4,14,862,61.57,8,57.14,0,0
73,74,San Jose State,3,17,1047,61.59,8,47.06,0,0
74,75,Wisconsin,3,5,308,61.60,2,40.00,0,1
75,76,California,4,18,1109,61.61,7,38.89,1,1
76,77,Ball State,4,28,1726,61.64,15,53.57,2,0
77,78,Pittsburgh,4,21,1296,61.71,13,61.90,2,0
78,79,Missouri,4,13,803,61.77,12,92.31,0,0
79,80,San Diego State,4,13,804,61.85,7,53.85,0,0
80,81,Florida State,4,26,1609,61.88,11,42.31,1,0
81,82,Baylor,3,11,681,61.91,4,36.36,0,0
82,83,Oklahoma,3,11,682,62.00,6,54.55,1,1
83,83,Louisville,4,16,992,62.00,8,50.00,0,1
84,83,Buffalo,4,20,1240,62.00,14,70.00,0,2
85,86,UCLA,4,30,1861,62.03,17,56.67,0,0
86,87,Louisiana-Monroe,3,22,1366,62.09,7,31.82,0,0
87,88,Minnesota,3,17,1058,62.24,12,70.59,0,0
88,89,Oklahoma State,4,20,1245,62.25,12,60.00,0,0
89,90,Akron,4,27,1681,62.26,12,44.44,1,1
90,91,UCF,4,17,1059,62.29,10,58.82,2,0
91,92,Duke,3,15,935,62.33,7,46.67,0,0
92,92,Fresno State,3,15,935,62.33,8,53.33,0,0
93,92,Western Michigan,4,24,1496,62.33,13,54.17,0,0
94,95,Oregon State,3,17,1060,62.35,4,23.53,1,0
95,95,Middle Tennessee,3,20,1247,62.35,6,30.00,0,1
96,97,Utah State,3,13,811,62.38,6,46.15,0,0
97,98,Michigan,3,12,749,62.42,6,50.00,0,1
98,99,Tennessee,4,19,1190,62.63,11,57.89,0,0
99,100,Mississippi,4,17,1065,62.65,8,47.06,0,1
100,101,Kentucky,4,19,1191,62.68,12,63.16,0,1
101,102,Mississippi State,4,17,1067,62.76,10,58.82,0,1
102,103,Washington State,4,21,1319,62.81,14,66.67,0,1
103,104,New Mexico State,4,38,2387,62.82,29,76.32,3,0
104,105,Rice,4,24,1508,62.83,10,41.67,0,0
105,106,Georgia Tech,3,17,1069,62.88,7,41.18,0,0
106,107,Florida,4,12,755,62.92,9,75.00,0,0
107,107,Air Force,3,13,818,62.92,10,76.92,1,0
108,109,Coastal Carolina,4,15,944,62.93,8,53.33,1,0
109,110,Washington,4,18,1133,62.94,11,61.11,0,0
110,111,New Mexico,3,24,1513,63.04,11,45.83,2,1
111,112,Eastern Michigan,4,23,1451,63.09,17,73.91,1,1
112,113,Iowa State,3,13,821,63.15,4,30.77,2,0
113,114,Arizona,3,19,1201,63.21,11,57.89,0,0
114,115,Georgia State,4,27,1707,63.22,14,51.85,0,2
115,116,Virginia Tech,3,13,824,63.38,6,46.15,0,1
116,117,Navy,2,5,318,63.60,4,80.00,0,0
117,118,Ohio State,4,11,703,63.91,4,36.36,0,1
118,119,Iowa,3,8,513,64.13,5,62.50,0,0
119,120,Miami (Florida),4,15,963,64.20,11,73.33,0,0
120,121,Wyoming,4,19,1220,64.21,16,84.21,0,0
121,122,Nevada,4,26,1670,64.23,16,61.54,0,0
