,Rank,Name,G,Ret.,Yards,Avg.,TD,Ret./G,Yards/G
0,1,UCLA,4,3,112,37.33,1,0.8,28.0
1,2,San Jose State,3,1,25,25.00,0,0.3,8.3
2,3,Utah State,3,3,72,24.00,1,1.0,24.0
3,4,Marshall,3,5,109,21.80,1,1.7,36.3
4,5,Oregon,4,7,147,21.00,0,1.8,36.8
5,6,Arizona,3,2,41,20.50,0,0.7,13.7
6,7,Washington State,4,3,61,20.33,0,0.8,15.3
7,8,Southern Mississippi,4,5,101,20.20,1,1.3,25.3
8,9,Rice,4,3,57,19.00,0,0.8,14.3
9,10,California,4,4,74,18.50,0,1.0,18.5
10,11,Missouri,4,10,180,18.00,1,2.5,45.0
11,11,North Carolina State,4,9,162,18.00,1,2.3,40.5
12,11,South Carolina,4,5,90,18.00,0,1.3,22.5
13,14,Tennessee,4,4,71,17.75,1,1.0,17.8
14,15,Maryland,3,6,106,17.67,1,2.0,35.3
15,16,Appalachian State,3,5,88,17.60,1,1.7,29.3
16,17,Alabama,4,5,87,17.40,0,1.3,21.8
17,18,Baylor,3,6,101,16.83,1,2.0,33.7
18,19,Auburn,4,10,166,16.60,0,2.5,41.5
19,20,Eastern Michigan,4,5,82,16.40,1,1.3,20.5
20,21,Washington,4,7,114,16.29,1,1.8,28.5
21,22,Florida International,4,5,76,15.20,1,1.3,19.0
22,23,Georgia,4,10,151,15.10,0,2.5,37.8
23,24,LSU,4,13,196,15.08,2,3.3,49.0
24,25,UCF,4,12,178,14.83,1,3.0,44.5
25,26,Kentucky,4,4,59,14.75,0,1.0,14.8
26,27,Coastal Carolina,4,6,84,14.00,0,1.5,21.0
27,27,Massachusetts,4,5,70,14.00,1,1.3,17.5
28,29,Tulane,4,6,83,13.83,0,1.5,20.8
29,30,Cincinnati,3,6,82,13.67,0,2.0,27.3
30,31,Syracuse,4,5,68,13.60,0,1.3,17.0
31,32,Northwestern,3,5,67,13.40,0,1.7,22.3
32,33,Texas A&M,4,9,120,13.33,0,2.3,30.0
33,34,Ohio State,4,13,164,12.62,0,3.3,41.0
34,35,Georgia Southern,3,2,25,12.50,0,0.7,8.3
35,36,Wyoming,4,8,94,11.75,0,2.0,23.5
36,37,Florida State,4,6,68,11.33,0,1.5,17.0
37,38,Arkansas State,4,6,67,11.17,0,1.5,16.8
38,39,TCU,3,9,100,11.11,0,3.0,33.3
39,40,Wisconsin,3,15,166,11.07,0,5.0,55.3
40,41,Vanderbilt,3,1,11,11.00,0,0.3,3.7
41,42,Connecticut,3,4,43,10.75,0,1.3,14.3
42,43,South Florida,3,6,64,10.67,0,2.0,21.3
43,44,Ball State,4,7,71,10.14,0,1.8,17.8
44,45,Louisville,4,7,69,9.86,0,1.8,17.3
45,46,Mississippi State,4,5,49,9.80,0,1.3,12.3
46,47,Nebraska,4,10,96,9.60,1,2.5,24.0
47,48,Miami (Ohio),4,5,47,9.40,0,1.3,11.8
48,49,Wake Forest,4,11,102,9.27,0,2.8,25.5
49,50,Louisiana Tech,4,4,36,9.00,0,1.0,9.0
50,50,Fresno State,3,3,27,9.00,0,1.0,9.0
51,50,Minnesota,3,3,27,9.00,0,1.0,9.0
52,53,Memphis,3,9,80,8.89,1,3.0,26.7
53,54,West Virginia,4,5,44,8.80,0,1.3,11.0
54,55,North Texas,4,7,61,8.71,0,1.8,15.3
55,56,Penn State,3,8,68,8.50,0,2.7,22.7
56,57,Duke,3,5,42,8.40,0,1.7,14.0
57,57,Iowa,3,5,42,8.40,0,1.7,14.0
58,59,Houston,4,4,33,8.25,0,1.0,8.3
59,60,Oregon State,3,5,39,7.80,0,1.7,13.0
60,61,Michigan State,4,12,92,7.67,0,3.0,23.0
61,61,Utah,4,9,69,7.67,0,2.3,17.3
62,63,Kansas State,3,8,61,7.63,0,2.7,20.3
63,64,Arkansas,4,7,53,7.57,0,1.8,13.3
64,65,Virginia,4,11,82,7.45,0,2.8,20.5
65,66,Oklahoma State,4,7,52,7.43,0,1.8,13.0
66,67,Stanford,4,6,44,7.33,0,1.5,11.0
67,68,North Carolina,4,4,29,7.25,0,1.0,7.3
68,69,USC,4,3,21,7.00,0,0.8,5.3
69,69,Middle Tennessee,3,1,7,7.00,0,0.3,2.3
70,71,San Diego State,4,9,62,6.89,0,2.3,15.5
71,72,Oklahoma,3,7,48,6.86,0,2.3,16.0
72,72,SMU,4,7,48,6.86,0,1.8,12.0
73,74,Arizona State,4,5,34,6.80,0,1.3,8.5
74,75,New Mexico,3,8,54,6.75,0,2.7,18.0
75,76,Clemson,4,8,52,6.50,0,2.0,13.0
76,77,Tulsa,4,8,51,6.38,0,2.0,12.8
77,78,Colorado,4,3,19,6.33,0,0.8,4.8
78,79,Illinois,4,7,42,6.00,0,1.8,10.5
79,79,Charlotte,4,6,36,6.00,1,1.5,9.0
80,79,Buffalo,4,4,24,6.00,0,1.0,6.0
81,79,Bowling Green,4,4,24,6.00,0,1.0,6.0
82,79,Kansas,4,3,18,6.00,0,0.8,4.5
83,84,Ohio,4,10,59,5.90,0,2.5,14.8
84,85,Boston College,4,5,29,5.80,0,1.3,7.3
85,86,Toledo,3,9,52,5.78,0,3.0,17.3
86,87,Temple,3,8,46,5.75,0,2.7,15.3
87,88,Purdue,3,6,34,5.67,0,2.0,11.3
88,88,New Mexico State,4,3,17,5.67,0,0.8,4.3
89,88,Texas State,4,3,17,5.67,0,0.8,4.3
90,91,Army,4,5,28,5.60,0,1.3,7.0
91,92,Michigan,3,10,55,5.50,0,3.3,18.3
92,93,Colorado State,4,8,43,5.38,0,2.0,10.8
93,94,Pittsburgh,4,13,69,5.31,1,3.3,17.3
94,95,Texas Tech,3,4,21,5.25,0,1.3,7.0
95,96,Kent State,4,7,36,5.14,0,1.8,9.0
96,97,Rutgers,3,5,25,5.00,0,1.7,8.3
97,97,Boise State,4,6,30,5.00,0,1.5,7.5
98,97,Notre Dame,3,3,15,5.00,0,1.0,5.0
99,97,Louisiana-Monroe,3,1,5,5.00,0,0.3,1.7
100,101,Indiana,4,8,38,4.75,0,2.0,9.5
101,102,Florida,4,7,32,4.57,0,1.8,8.0
102,103,Central Michigan,4,7,31,4.43,0,1.8,7.8
103,104,Iowa State,3,3,13,4.33,0,1.0,4.3
104,105,Northern Illinois,3,4,17,4.25,0,1.3,5.7
105,106,Western Michigan,4,5,21,4.20,0,1.3,5.3
106,107,Louisiana-Lafayette,4,12,50,4.17,0,3.0,12.5
107,108,UTSA,4,7,27,3.86,0,1.8,6.8
108,109,Miami (Florida),4,5,19,3.80,0,1.3,4.8
109,110,Hawai'i,4,8,30,3.75,0,2.0,7.5
110,111,UNLV,3,7,26,3.71,0,2.3,8.7
111,112,South Alabama,4,4,14,3.50,0,1.0,3.5
112,112,Nevada,4,4,14,3.50,0,1.0,3.5
113,114,UAB,3,7,22,3.14,0,2.3,7.3
114,115,Georgia Tech,3,8,23,2.88,0,2.7,7.7
115,116,Virginia Tech,3,4,11,2.75,0,1.3,3.7
116,117,Troy,3,4,9,2.25,0,1.3,3.0
117,118,UTEP,3,5,11,2.20,0,1.7,3.7
118,119,Akron,4,6,13,2.17,0,1.5,3.3
119,120,Navy,2,4,8,2.00,0,2.0,4.0
120,121,Georgia State,4,3,5,1.67,0,0.8,1.3
121,122,Air Force,3,3,4,1.33,0,1.0,1.3
122,123,Florida Atlantic,4,7,9,1.29,0,1.8,2.3
123,124,East Carolina,4,7,5,0.71,0,1.8,1.3
124,125,Liberty,4,8,1,0.13,0,2.0,0.3
125,126,BYU,4,1,0,0.00,0,0.3,0.0
126,127,Mississippi,4,5,-2,-0.40,0,1.3,-0.5
127,128,Texas,4,8,-5,-0.63,0,2.0,-1.3
128,129,Old Dominion,3,2,-2,-1.00,0,0.7,-0.7
129,130,Western Kentucky,3,3,-6,-2.00,0,1.0,-2.0
