,Rank,Name,G,Kicks/Punts Blocked,Kicks/Punts Blocked/G
0,1,Penn State,3,3,1.00
1,1,Northern Illinois,3,3,1.00
2,1,Ohio State,4,3,0.75
3,4,Memphis,3,2,0.67
4,4,Appalachian State,3,2,0.67
5,4,Air Force,3,2,0.67
6,4,Baylor,3,2,0.67
7,4,USC,4,2,0.50
8,4,UCF,4,2,0.50
9,4,West Virginia,4,2,0.50
10,4,North Carolina,4,2,0.50
11,4,Houston,4,2,0.50
12,13,Georgia Southern,3,1,0.33
13,13,Middle Tennessee,3,1,0.33
14,13,Old Dominion,3,1,0.33
15,13,New Mexico,3,1,0.33
16,13,Fresno State,3,1,0.33
17,13,UNLV,3,1,0.33
18,13,Northwestern,3,1,0.33
19,13,Duke,3,1,0.33
20,13,Temple,3,1,0.33
21,13,UTEP,3,1,0.33
22,13,Toledo,3,1,0.33
23,13,Maryland,3,1,0.33
24,13,Georgia State,4,1,0.25
25,13,North Texas,4,1,0.25
26,13,Michigan State,4,1,0.25
27,13,LSU,4,1,0.25
28,13,Central Michigan,4,1,0.25
29,13,South Alabama,4,1,0.25
30,13,South Carolina,4,1,0.25
31,13,North Carolina State,4,1,0.25
32,13,Nebraska,4,1,0.25
33,13,Buffalo,4,1,0.25
34,13,Florida Atlantic,4,1,0.25
35,13,Virginia,4,1,0.25
36,13,Texas A&M,4,1,0.25
37,13,Charlotte,4,1,0.25
38,13,Tennessee,4,1,0.25
39,13,Bowling Green,4,1,0.25
40,13,Eastern Michigan,4,1,0.25
41,13,Boise State,4,1,0.25
42,13,Hawai'i,4,1,0.25
43,13,Tulsa,4,1,0.25
44,13,Tulane,4,1,0.25
45,13,Illinois,4,1,0.25
46,13,Pittsburgh,4,1,0.25
47,13,Indiana,4,1,0.25
48,13,Texas State,4,1,0.25
