,Rank,Name,G,Attempts,Scores,Score %,TD,TD %,FG,FG %
0,1,Wisconsin,3,5,2,40.00,2,40.00,0,0.00
1,2,Florida,4,10,5,50.00,3,30.00,2,20.00
2,3,Ohio State,4,11,6,54.55,2,18.18,4,36.36
3,4,Louisiana Tech,4,18,10,55.56,9,50.00,1,5.56
4,5,Missouri,4,7,4,57.14,2,28.57,2,28.57
5,6,Maryland,3,5,3,60.00,3,60.00,0,0.00
6,7,Wyoming,4,18,11,61.11,6,33.33,5,27.78
7,8,Temple,3,13,8,61.54,6,46.15,2,15.38
8,9,Alabama,4,8,5,62.50,3,37.50,2,25.00
9,9,Army,4,8,5,62.50,5,62.50,0,0.00
10,9,Kansas,4,16,10,62.50,7,43.75,3,18.75
11,12,Clemson,4,11,7,63.64,3,27.27,4,36.36
12,12,Michigan State,4,11,7,63.64,4,36.36,3,27.27
13,12,Georgia Tech,3,11,7,63.64,5,45.45,2,18.18
14,12,LSU,4,11,7,63.64,6,54.55,1,9.09
15,16,South Florida,3,9,6,66.67,5,55.56,1,11.11
16,16,Northwestern,3,9,6,66.67,5,55.56,1,11.11
17,16,Marshall,3,9,6,66.67,5,55.56,1,11.11
18,16,Western Kentucky,3,9,6,66.67,6,66.67,0,0.00
19,16,Cincinnati,3,12,8,66.67,7,58.33,1,8.33
20,16,Liberty,4,12,8,66.67,7,58.33,1,8.33
21,16,Mississippi State,4,15,10,66.67,8,53.33,2,13.33
22,23,Oregon State,3,13,9,69.23,7,53.85,2,15.38
23,23,Florida Atlantic,4,13,9,69.23,8,61.54,1,7.69
24,25,Buffalo,4,10,7,70.00,4,40.00,3,30.00
25,25,Arkansas State,4,20,14,70.00,9,45.00,5,25.00
26,27,Georgia,4,7,5,71.43,2,28.57,3,42.86
27,27,Arizona State,4,7,5,71.43,4,57.14,1,14.29
28,27,Troy,3,7,5,71.43,4,57.14,1,14.29
29,30,Utah State,3,11,8,72.73,6,54.55,2,18.18
30,30,Tulane,4,11,8,72.73,6,54.55,2,18.18
31,30,Louisiana-Lafayette,4,11,8,72.73,7,63.64,1,9.09
32,33,South Carolina,4,15,11,73.33,5,33.33,6,40.00
33,33,Washington State,4,15,11,73.33,10,66.67,1,6.67
34,35,Syracuse,4,19,14,73.68,13,68.42,1,5.26
35,36,Navy,2,4,3,75.00,2,50.00,1,25.00
36,36,San Diego State,4,8,6,75.00,3,37.50,3,37.50
37,36,Baylor,3,8,6,75.00,3,37.50,3,37.50
38,36,UAB,3,8,6,75.00,5,62.50,1,12.50
39,36,Air Force,3,8,6,75.00,5,62.50,1,12.50
40,36,Auburn,4,12,9,75.00,5,41.67,4,33.33
41,36,Virginia Tech,3,12,9,75.00,7,58.33,2,16.67
42,36,Northern Illinois,3,12,9,75.00,7,58.33,2,16.67
43,36,Wake Forest,4,12,9,75.00,8,66.67,1,8.33
44,36,BYU,4,16,12,75.00,9,56.25,3,18.75
45,36,USC,4,20,15,75.00,7,35.00,8,40.00
46,47,Texas State,4,25,19,76.00,13,52.00,6,24.00
47,48,San Jose State,3,13,10,76.92,6,46.15,4,30.77
48,48,Middle Tennessee,3,13,10,76.92,7,53.85,3,23.08
49,50,Oregon,4,9,7,77.78,2,22.22,5,55.56
50,50,Coastal Carolina,4,9,7,77.78,6,66.67,1,11.11
51,50,Tennessee,4,18,14,77.78,10,55.56,4,22.22
52,53,Kentucky,4,14,11,78.57,9,64.29,2,14.29
53,53,Stanford,4,14,11,78.57,9,64.29,2,14.29
54,53,Oklahoma State,4,14,11,78.57,10,71.43,1,7.14
55,56,UCLA,4,19,15,78.95,11,57.89,4,21.05
56,57,Tulsa,4,10,8,80.00,3,30.00,5,50.00
57,57,Miami (Florida),4,10,8,80.00,5,50.00,3,30.00
58,57,UCF,4,10,8,80.00,5,50.00,3,30.00
59,57,Michigan,3,10,8,80.00,8,80.00,0,0.00
60,57,South Alabama,4,15,12,80.00,10,66.67,2,13.33
61,57,UTEP,3,15,12,80.00,10,66.67,2,13.33
62,63,Ohio,4,16,13,81.25,8,50.00,5,31.25
63,63,North Carolina,4,16,13,81.25,8,50.00,5,31.25
64,65,Purdue,3,11,9,81.82,6,54.55,3,27.27
65,65,Virginia,4,11,9,81.82,7,63.64,2,18.18
66,65,Louisville,4,11,9,81.82,9,81.82,0,0.00
67,65,Akron,4,22,18,81.82,15,68.18,3,13.64
68,69,Utah,4,6,5,83.33,3,50.00,2,33.33
69,69,Notre Dame,3,6,5,83.33,4,66.67,1,16.67
70,69,Duke,3,6,5,83.33,4,66.67,1,16.67
71,69,Indiana,4,6,5,83.33,4,66.67,1,16.67
72,69,North Texas,4,12,10,83.33,7,58.33,3,25.00
73,69,North Carolina State,4,12,10,83.33,7,58.33,3,25.00
74,69,Nebraska,4,12,10,83.33,7,58.33,3,25.00
75,69,Colorado,4,12,10,83.33,7,58.33,3,25.00
76,77,California,4,13,11,84.62,4,30.77,7,53.85
77,77,Washington,4,13,11,84.62,8,61.54,3,23.08
78,77,Hawai'i,4,13,11,84.62,8,61.54,3,23.08
79,77,Charlotte,4,13,11,84.62,9,69.23,2,15.38
80,77,Eastern Michigan,4,13,11,84.62,9,69.23,2,15.38
81,77,Mississippi,4,13,11,84.62,9,69.23,2,15.38
82,83,Miami (Ohio),4,20,17,85.00,15,75.00,2,10.00
83,84,Penn State,3,7,6,85.71,3,42.86,3,42.86
84,84,Oklahoma,3,7,6,85.71,5,71.43,1,14.29
85,84,Illinois,4,14,12,85.71,7,50.00,5,35.71
86,84,West Virginia,4,14,12,85.71,8,57.14,4,28.57
87,84,Pittsburgh,4,14,12,85.71,8,57.14,4,28.57
88,84,Fresno State,3,14,12,85.71,10,71.43,2,14.29
89,84,Houston,4,14,12,85.71,10,71.43,2,14.29
90,84,Georgia Southern,3,14,12,85.71,11,78.57,1,7.14
91,92,Kent State,4,22,19,86.36,12,54.55,7,31.82
92,93,Boise State,4,8,7,87.50,3,37.50,4,50.00
93,93,Iowa State,3,8,7,87.50,4,50.00,3,37.50
94,93,Texas A&M,4,8,7,87.50,5,62.50,2,25.00
95,93,UTSA,4,16,14,87.50,13,81.25,1,6.25
96,97,Louisiana-Monroe,3,17,15,88.24,11,64.71,4,23.53
97,97,SMU,4,17,15,88.24,11,64.71,4,23.53
98,97,Bowling Green,4,17,15,88.24,12,70.59,3,17.65
99,97,Vanderbilt,3,17,15,88.24,12,70.59,3,17.65
100,101,TCU,3,9,8,88.89,6,66.67,2,22.22
101,101,Toledo,3,9,8,88.89,6,66.67,2,22.22
102,101,Appalachian State,3,9,8,88.89,7,77.78,1,11.11
103,101,Western Michigan,4,18,16,88.89,11,61.11,5,27.78
104,101,Georgia State,4,18,16,88.89,11,61.11,5,27.78
105,106,Arkansas,4,10,9,90.00,7,70.00,2,20.00
