,Rank,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
0,1,Wisconsin,3,81,433,162,514,3.17,171.3
1,2,Ohio State,4,241,647,260,888,3.42,222.0
2,3,Memphis,3,349,330,175,679,3.88,226.3
3,4,Navy,2,148,305,108,453,4.19,226.5
4,5,Michigan State,4,209,704,253,913,3.61,228.3
5,6,Missouri,4,383,542,246,925,3.76,231.3
6,7,Clemson,4,378,608,261,986,3.78,246.5
7,8,Coastal Carolina,4,427,590,227,1017,4.48,254.3
8,9,Kansas State,3,412,356,156,768,4.92,256.0
9,10,Baylor,3,347,438,194,785,4.05,261.7
10,11,Georgia,4,228,822,251,1050,4.18,262.5
11,12,Iowa,3,228,560,155,788,5.08,262.7
12,13,Oregon,4,411,640,270,1051,3.89,262.8
13,14,Virginia,4,300,755,255,1055,4.14,263.8
14,15,Miami (Florida),4,239,839,242,1078,4.45,269.5
15,16,Utah,4,208,891,213,1099,5.16,274.8
16,17,TCU,3,242,583,198,825,4.17,275.0
17,18,Texas A&M,4,444,660,247,1104,4.47,276.0
18,19,Temple,3,399,431,226,830,3.67,276.7
19,20,San Diego State,4,209,910,257,1119,4.35,279.8
20,21,Air Force,3,275,566,182,841,4.62,280.3
21,22,UAB,3,286,557,184,843,4.58,281.0
22,23,Florida,4,369,772,247,1141,4.62,285.3
23,24,Alabama,4,395,756,267,1151,4.31,287.8
24,24,Army,4,418,733,240,1151,4.80,287.8
25,26,Indiana,4,509,670,260,1179,4.53,294.8
26,27,Maryland,3,221,674,203,895,4.41,298.3
27,28,Boise State,4,568,629,232,1197,5.16,299.3
28,29,UCF,4,453,745,308,1198,3.89,299.5
29,30,Minnesota,3,354,556,164,910,5.55,303.3
30,31,Old Dominion,3,269,646,179,915,5.11,305.0
31,32,Texas Tech,3,518,401,201,919,4.57,306.3
32,33,North Carolina State,4,306,931,275,1237,4.50,309.3
33,34,Cincinnati,3,396,537,193,933,4.83,311.0
34,35,Auburn,4,358,909,272,1267,4.66,316.8
35,36,LSU,4,386,894,272,1280,4.71,320.0
36,37,Buffalo,4,333,954,231,1287,5.57,321.8
37,38,Penn State,3,212,758,220,970,4.41,323.3
38,39,Connecticut,3,411,561,182,972,5.34,324.0
39,40,Virginia Tech,3,522,465,206,987,4.79,329.0
40,41,Washington,4,475,853,271,1328,4.90,332.0
41,42,Iowa State,3,374,626,225,1000,4.44,333.3
42,43,Pittsburgh,4,416,918,261,1334,5.11,333.5
43,44,Troy,3,201,810,185,1011,5.46,337.0
44,45,Tennessee,4,599,760,278,1359,4.89,339.8
45,46,Tulane,4,589,772,272,1361,5.00,340.3
46,47,Michigan,3,626,405,208,1031,4.96,343.7
47,48,Northwestern,3,451,581,206,1032,5.01,344.0
48,49,Arizona State,4,413,971,281,1384,4.93,346.0
49,50,Louisville,4,543,862,269,1405,5.22,351.3
50,50,Charlotte,4,805,600,238,1405,5.90,351.3
51,52,Western Kentucky,3,377,679,189,1056,5.59,352.0
52,53,Oklahoma,3,421,637,195,1058,5.43,352.7
53,54,East Carolina,4,667,752,262,1419,5.42,354.8
54,55,South Florida,3,510,560,226,1070,4.73,356.7
55,56,Nebraska,4,467,960,299,1427,4.77,356.8
56,57,Fresno State,3,333,739,211,1072,5.08,357.3
57,57,Mississippi State,4,573,856,254,1429,5.63,357.3
58,59,Wake Forest,4,486,947,272,1433,5.27,358.3
59,60,Notre Dame,3,613,472,209,1085,5.19,361.7
60,61,California,4,565,901,301,1466,4.87,366.5
61,62,Duke,3,421,679,191,1100,5.76,366.7
62,63,Central Michigan,4,342,1131,267,1473,5.52,368.3
63,64,Louisiana-Lafayette,4,578,896,271,1474,5.44,368.5
64,65,SMU,4,554,922,301,1476,4.90,369.0
65,66,West Virginia,4,690,806,288,1496,5.19,374.0
66,67,Kansas,4,738,759,307,1497,4.88,374.3
67,68,Marshall,3,434,698,205,1132,5.52,377.3
68,69,Tulsa,4,703,811,280,1514,5.41,378.5
69,70,North Texas,4,710,822,293,1532,5.23,383.0
70,71,Mississippi,4,379,1154,287,1533,5.34,383.3
71,72,Nevada,4,541,1004,268,1545,5.76,386.3
72,73,Northern Illinois,3,482,688,181,1170,6.46,390.0
73,74,Stanford,4,467,1100,249,1567,6.29,391.8
74,75,Rutgers,3,654,524,231,1178,5.10,392.7
75,76,North Carolina,4,690,889,275,1579,5.74,394.8
76,77,South Alabama,4,753,832,262,1585,6.05,396.3
77,78,Kentucky,4,609,983,258,1592,6.17,398.0
78,79,UTSA,4,1026,588,242,1614,6.67,403.5
79,80,Georgia Southern,3,267,946,220,1213,5.51,404.3
80,81,Utah State,3,377,837,261,1214,4.65,404.7
81,82,Arkansas,4,633,1008,282,1641,5.82,410.3
82,83,Illinois,4,601,1046,300,1647,5.49,411.8
83,84,Eastern Michigan,4,595,1054,282,1649,5.85,412.3
84,85,UTEP,3,456,784,208,1240,5.96,413.3
85,86,Georgia Tech,3,823,420,209,1243,5.95,414.3
86,86,Southern Mississippi,4,490,1167,248,1657,6.68,414.3
87,88,Oklahoma State,4,703,957,317,1660,5.24,415.0
88,89,Ball State,4,571,1098,308,1669,5.42,417.3
89,90,USC,4,682,1002,298,1684,5.65,421.0
90,91,Washington State,4,701,995,275,1696,6.17,424.0
91,92,UNLV,3,536,744,235,1280,5.45,426.7
92,93,BYU,4,862,853,287,1715,5.98,428.8
93,94,Appalachian State,3,507,780,217,1287,5.93,429.0
94,95,Wyoming,4,340,1381,333,1721,5.17,430.3
95,96,Louisiana Tech,4,620,1105,316,1725,5.46,431.3
96,96,Florida Atlantic,4,710,1015,279,1725,6.18,431.3
97,98,Rice,4,727,1006,259,1733,6.69,433.3
98,99,Liberty,4,918,821,290,1739,6.00,434.8
99,100,South Carolina,4,580,1162,297,1742,5.87,435.5
100,101,Texas,4,488,1258,291,1746,6.00,436.5
101,102,San Jose State,3,497,816,249,1313,5.27,437.7
102,103,Boston College,4,718,1035,291,1753,6.02,438.3
103,104,Purdue,3,526,790,234,1316,5.62,438.7
104,105,Hawai'i,4,777,979,280,1756,6.27,439.0
105,106,Colorado State,4,958,799,256,1757,6.86,439.3
106,107,Miami (Ohio),4,748,1020,291,1768,6.08,442.0
107,108,Western Michigan,4,847,938,296,1785,6.03,446.3
108,109,Bowling Green,4,883,911,269,1794,6.67,448.5
109,110,Oregon State,3,622,736,221,1358,6.14,452.7
110,111,Florida International,4,869,950,286,1819,6.36,454.8
111,112,Akron,4,749,1072,290,1821,6.28,455.3
112,113,Texas State,4,1030,803,307,1833,5.97,458.3
113,114,Middle Tennessee,3,666,716,225,1382,6.14,460.7
114,115,Ohio,4,834,1022,289,1856,6.42,464.0
115,116,Florida State,4,636,1229,334,1865,5.58,466.3
116,117,Colorado,4,702,1164,281,1866,6.64,466.5
117,118,Kent State,4,1044,841,310,1885,6.08,471.3
118,119,Toledo,3,598,849,234,1447,6.18,482.3
119,120,Arizona,3,332,1116,233,1448,6.21,482.7
120,121,Georgia State,4,979,995,278,1974,7.10,493.5
121,122,Arkansas State,4,833,1157,309,1990,6.44,497.5
122,123,Houston,4,798,1206,270,2004,7.42,501.0
123,124,Syracuse,4,772,1281,310,2053,6.62,513.3
124,125,UCLA,4,714,1407,299,2121,7.09,530.3
125,126,Vanderbilt,3,535,1083,207,1618,7.82,539.3
126,127,Louisiana-Monroe,3,732,890,228,1622,7.11,540.7
127,128,New Mexico,3,426,1212,241,1638,6.80,546.0
128,129,New Mexico State,4,953,1263,286,2216,7.75,554.0
129,130,Massachusetts,4,1135,1110,274,2245,8.19,561.3
