,Rank,Name,G,Pen.,Yards,Pen./G,Yards/G
0,1,Rice,4,7,42,1.8,10.5
1,2,Air Force,3,8,65,2.7,21.7
2,3,Iowa,3,13,84,4.3,28.0
3,4,UNLV,3,9,90,3.0,30.0
4,5,Wake Forest,4,13,123,3.3,30.8
5,6,Penn State,3,9,95,3.0,31.7
6,7,New Mexico State,4,18,139,4.5,34.8
7,8,Oregon,4,17,142,4.3,35.5
8,9,Boise State,4,18,146,4.5,36.5
9,10,Georgia Tech,3,12,110,4.0,36.7
10,11,Boston College,4,24,147,6.0,36.8
11,12,Kansas State,3,13,114,4.3,38.0
12,13,Iowa State,3,13,116,4.3,38.7
13,14,Coastal Carolina,4,18,156,4.5,39.0
14,15,Navy,2,8,79,4.0,39.5
15,15,Eastern Michigan,4,16,158,4.0,39.5
16,17,Wisconsin,3,14,119,4.7,39.7
17,18,San Diego State,4,21,162,5.3,40.5
18,19,Ohio,4,20,163,5.0,40.8
19,20,Mississippi,4,17,165,4.3,41.3
20,21,TCU,3,13,125,4.3,41.7
21,21,Virginia Tech,3,16,125,5.3,41.7
22,23,Colorado,4,22,173,5.5,43.3
23,24,Middle Tennessee,3,15,131,5.0,43.7
24,25,Mississippi State,4,19,178,4.8,44.5
25,25,North Carolina,4,23,178,5.8,44.5
26,27,Western Kentucky,3,18,134,6.0,44.7
27,28,Akron,4,25,183,6.3,45.8
28,29,Ohio State,4,20,184,5.0,46.0
29,29,Purdue,3,16,138,5.3,46.0
30,29,Army,4,24,184,6.0,46.0
31,32,Texas Tech,3,15,139,5.0,46.3
32,32,Clemson,4,22,185,5.5,46.3
33,34,UAB,3,16,140,5.3,46.7
34,34,Baylor,3,17,140,5.7,46.7
35,36,Texas State,4,20,188,5.0,47.0
36,37,Arkansas State,4,25,190,6.3,47.5
37,38,Marshall,3,16,143,5.3,47.7
38,39,California,4,22,192,5.5,48.0
39,40,Hawai'i,4,21,194,5.3,48.5
40,41,Connecticut,3,18,147,6.0,49.0
41,42,Minnesota,3,14,150,4.7,50.0
42,43,Louisiana Tech,4,24,201,6.0,50.3
43,43,Georgia Southern,3,22,151,7.3,50.3
44,45,SMU,4,21,202,5.3,50.5
45,46,Louisville,4,26,203,6.5,50.8
46,47,South Carolina,4,23,205,5.8,51.3
47,48,Ball State,4,26,207,6.5,51.8
48,49,Florida International,4,20,209,5.0,52.3
49,49,Indiana,4,21,209,5.3,52.3
50,49,Washington,4,24,209,6.0,52.3
51,49,Kansas,4,24,209,6.0,52.3
52,49,Fresno State,3,19,157,6.3,52.3
53,54,Houston,4,22,210,5.5,52.5
54,54,South Alabama,4,25,210,6.3,52.5
55,56,Michigan,3,20,158,6.7,52.7
56,56,Notre Dame,3,23,158,7.7,52.7
57,58,Arizona State,4,20,211,5.0,52.8
58,59,Texas,4,24,212,6.0,53.0
59,60,Troy,3,17,160,5.7,53.3
60,61,Tennessee,4,21,214,5.3,53.5
61,62,Maryland,3,19,163,6.3,54.3
62,63,Texas A&M,4,27,218,6.8,54.5
63,64,Old Dominion,3,17,166,5.7,55.3
64,64,West Virginia,4,27,221,6.8,55.3
65,66,Georgia State,4,25,224,6.3,56.0
66,67,Duke,3,20,169,6.7,56.3
67,68,Northwestern,3,19,170,6.3,56.7
68,69,Louisiana-Monroe,3,22,172,7.3,57.3
69,70,Alabama,4,24,230,6.0,57.5
70,71,East Carolina,4,27,231,6.8,57.8
71,71,Stanford,4,27,231,6.8,57.8
72,73,Wyoming,4,25,232,6.3,58.0
73,74,Virginia,4,22,233,5.5,58.3
74,74,Oklahoma State,4,29,233,7.3,58.3
75,76,North Carolina State,4,27,234,6.8,58.5
76,77,Northern Illinois,3,18,176,6.0,58.7
77,78,Arkansas,4,25,236,6.3,59.0
78,79,Southern Mississippi,4,27,238,6.8,59.5
79,80,Pittsburgh,4,25,239,6.3,59.8
80,80,Georgia,4,26,239,6.5,59.8
81,82,Bowling Green,4,25,241,6.3,60.3
82,83,LSU,4,23,244,5.8,61.0
83,83,Auburn,4,30,244,7.5,61.0
84,85,Kent State,4,24,245,6.0,61.3
85,85,BYU,4,28,245,7.0,61.3
86,87,Temple,3,20,185,6.7,61.7
87,88,Liberty,4,27,247,6.8,61.8
88,88,Buffalo,4,27,247,6.8,61.8
89,88,Missouri,4,28,247,7.0,61.8
90,88,Nevada,4,32,247,8.0,61.8
91,92,Florida,4,24,252,6.0,63.0
92,93,Vanderbilt,3,26,190,8.7,63.3
93,94,South Florida,3,24,191,8.0,63.7
94,95,Florida Atlantic,4,31,255,7.8,63.8
95,95,UCLA,4,32,255,8.0,63.8
96,97,Charlotte,4,30,256,7.5,64.0
97,97,Central Michigan,4,33,256,8.3,64.0
98,99,Utah State,3,20,194,6.7,64.7
99,100,San Jose State,3,21,195,7.0,65.0
100,101,Nebraska,4,27,263,6.8,65.8
101,102,Kentucky,4,28,264,7.0,66.0
102,103,UCF,4,27,266,6.8,66.5
103,104,Florida State,4,31,271,7.8,67.8
104,105,UTSA,4,28,272,7.0,68.0
105,106,Oregon State,3,20,207,6.7,69.0
106,107,Miami (Ohio),4,32,277,8.0,69.3
107,108,North Texas,4,26,278,6.5,69.5
108,109,New Mexico,3,23,209,7.7,69.7
109,110,Michigan State,4,31,280,7.8,70.0
110,111,Western Michigan,4,34,285,8.5,71.3
111,112,USC,4,28,289,7.0,72.3
112,113,Louisiana-Lafayette,4,32,291,8.0,72.8
113,114,Massachusetts,4,31,292,7.8,73.0
