,Rank,Name,G,Att,Yards,Avg.,TD,Att/G,Yards/G
0,1,Wisconsin,3,63,81,1.29,0,21.00,27.00
1,2,Utah,4,94,208,2.21,3,23.50,52.00
2,3,Michigan State,4,122,209,1.71,2,30.50,52.25
3,3,San Diego State,4,102,209,2.05,2,25.50,52.25
4,5,Georgia,4,99,228,2.30,0,24.75,57.00
5,6,Miami (Florida),4,116,239,2.06,3,29.00,59.75
6,7,Ohio State,4,141,241,1.71,1,35.25,60.25
7,8,Troy,3,97,201,2.07,2,32.33,67.00
8,9,Penn State,3,111,212,1.91,1,37.00,70.67
9,10,Maryland,3,106,221,2.08,0,35.33,73.67
10,11,Navy,2,56,148,2.64,2,28.00,74.00
11,12,Virginia,4,138,300,2.17,3,34.50,75.00
12,13,Iowa,3,66,228,3.45,0,22.00,76.00
13,14,North Carolina State,4,106,306,2.89,5,26.50,76.50
14,15,TCU,3,107,242,2.26,4,35.67,80.67
15,16,Buffalo,4,119,333,2.80,3,29.75,83.25
16,17,Wyoming,4,147,340,2.31,5,36.75,85.00
17,18,Central Michigan,4,128,342,2.67,6,32.00,85.50
18,19,Georgia Southern,3,102,267,2.62,4,34.00,89.00
19,20,Auburn,4,116,358,3.09,2,29.00,89.50
20,21,Old Dominion,3,98,269,2.74,5,32.67,89.67
21,22,Air Force,3,93,275,2.96,3,31.00,91.67
22,23,Florida,4,131,369,2.82,2,32.75,92.25
23,24,Clemson,4,153,378,2.47,2,38.25,94.50
24,25,Mississippi,4,134,379,2.83,4,33.50,94.75
25,26,UAB,3,92,286,3.11,2,30.67,95.33
26,27,Missouri,4,130,383,2.95,4,32.50,95.75
27,28,LSU,4,133,386,2.90,3,33.25,96.50
28,29,Alabama,4,126,395,3.13,0,31.50,98.75
29,30,Oregon,4,137,411,3.00,1,34.25,102.75
30,31,Arizona State,4,138,413,2.99,2,34.50,103.25
31,32,Pittsburgh,4,128,416,3.25,5,32.00,104.00
32,33,Army,4,133,418,3.14,7,33.25,104.50
33,34,Coastal Carolina,4,130,427,3.28,4,32.50,106.75
34,35,Arizona,3,82,332,4.05,5,27.33,110.67
35,36,Fresno State,3,105,333,3.17,5,35.00,111.00
36,36,Texas A&M,4,119,444,3.73,4,29.75,111.00
37,38,UCF,4,132,453,3.43,3,33.00,113.25
38,39,Baylor,3,103,347,3.37,5,34.33,115.67
39,40,Memphis,3,111,349,3.14,2,37.00,116.33
40,41,Nebraska,4,151,467,3.09,7,37.75,116.75
