,Rank,Name,G,Att,Comp,Pct.,Yards,Yards/Att,TD,Int,Rating,Att/G,Yards/G
0,1,Washington State,4,200,149,74.5,1998,10.0,23,4,192.37,50.0,499.5
1,2,LSU,4,149,116,77.9,1727,11.6,17,3,208.83,37.3,431.8
2,3,Alabama,4,133,102,76.7,1485,11.2,18,1,213.64,33.3,371.3
3,4,Purdue,3,133,81,60.9,1113,8.4,10,5,148.48,44.3,371.0
4,5,Utah State,3,140,98,70.0,1101,7.9,6,3,145.91,46.7,367.0
5,6,Hawai'i,4,179,115,64.2,1411,7.9,14,9,146.22,44.8,352.8
6,7,Oklahoma,3,77,60,77.9,1057,13.7,12,0,244.66,25.7,352.3
7,8,Iowa State,3,106,77,72.6,1049,9.9,8,1,178.79,35.3,349.7
8,9,Temple,3,134,81,60.4,1042,7.8,11,5,145.40,44.7,347.3
9,10,Colorado State,4,167,109,65.3,1380,8.3,10,3,150.85,41.8,345.0
10,11,Ball State,4,178,120,67.4,1378,7.7,11,4,148.35,44.5,344.5
11,12,Texas Tech,3,158,102,64.6,1024,6.5,6,3,127.73,52.7,341.3
12,13,Troy,3,111,76,68.5,1001,9.0,9,1,169.18,37.0,333.7
13,14,Texas,4,153,111,72.5,1329,8.7,15,1,176.55,38.3,332.3
14,15,Wake Forest,4,140,101,72.1,1320,9.4,13,2,179.12,35.0,330.0
15,16,UCF,4,130,78,60.0,1303,10.0,14,2,176.65,32.5,325.8
16,17,USC,4,141,106,75.2,1298,9.2,9,6,165.06,35.3,324.5
17,18,Boise State,4,150,93,62.0,1290,8.6,8,3,147.84,37.5,322.5
18,19,Western Michigan,4,133,86,64.7,1253,9.4,10,3,164.10,33.3,313.3
19,20,Indiana,4,146,99,67.8,1234,8.5,9,4,153.67,36.5,308.5
20,21,Florida State,4,145,101,69.7,1225,8.4,11,2,162.89,36.3,306.3
21,22,Oregon,4,139,105,75.5,1216,8.7,16,0,187.01,34.8,304.0
22,23,Southern Mississippi,4,117,82,70.1,1215,10.4,7,4,170.22,29.3,303.8
23,24,Texas A&M,4,168,104,61.9,1213,7.2,9,3,136.67,42.0,303.3
24,25,Notre Dame,3,97,60,61.9,902,9.3,9,2,166.47,32.3,300.7
25,26,SMU,4,133,89,66.9,1189,8.9,7,4,153.37,33.3,297.3
26,27,Florida,4,127,92,72.4,1179,9.3,8,5,163.34,31.8,294.8
27,28,Louisiana Tech,4,152,103,67.8,1174,7.7,5,4,138.23,38.0,293.5
28,29,Colorado,4,134,90,67.2,1164,8.7,9,2,159.30,33.5,291.0
29,30,Arkansas,4,161,91,56.5,1152,7.2,7,6,123.52,40.3,288.0
30,31,San Jose State,3,117,74,63.2,859,7.3,5,1,137.31,39.0,286.3
31,32,Arkansas State,4,160,95,59.4,1142,7.1,10,2,137.47,40.0,285.5
32,33,Fresno State,3,114,69,60.5,856,7.5,7,3,138.61,38.0,285.3
33,34,Florida Atlantic,4,159,104,65.4,1136,7.1,10,2,143.66,39.8,284.0
34,35,New Mexico,3,97,44,45.4,846,8.7,3,4,120.58,32.3,282.0
35,36,Penn State,3,89,55,61.8,843,9.5,7,0,167.31,29.7,281.0
36,37,Pittsburgh,4,180,110,61.1,1121,6.2,5,2,120.38,45.0,280.3
37,38,Eastern Michigan,4,150,103,68.7,1120,7.5,12,4,152.46,37.5,280.0
38,39,Arizona,3,90,59,65.6,835,9.3,9,4,167.61,30.0,278.3
39,40,Clemson,4,132,82,62.1,1111,8.4,9,6,146.23,33.0,277.8
40,41,Miami (Florida),4,127,92,72.4,1106,8.7,8,0,166.39,31.8,276.5
41,42,Liberty,4,128,76,59.4,1101,8.6,7,3,145.00,32.0,275.3
42,43,Washington,4,122,89,73.0,1082,8.9,10,2,171.22,30.5,270.5
43,43,Nebraska,4,114,70,61.4,1082,9.5,7,2,157.87,28.5,270.5
44,45,Northern Illinois,3,113,69,61.1,810,7.2,3,3,124.72,37.7,270.0
45,46,Arizona State,4,116,71,61.2,1073,9.3,5,1,151.41,29.0,268.3
46,47,Middle Tennessee,3,98,67,68.4,802,8.2,8,2,159.98,32.7,267.3
47,48,UCLA,4,125,72,57.6,1063,8.5,10,5,147.43,31.3,265.8
48,49,Ohio State,4,112,80,71.4,1058,9.4,16,0,197.92,28.0,264.5
49,50,Oklahoma State,4,111,73,65.8,1053,9.5,9,3,166.80,27.8,263.3
50,50,Western Kentucky,3,119,70,58.8,790,6.6,5,4,121.74,39.7,263.3
51,52,Memphis,3,81,60,74.1,788,9.7,5,2,171.22,27.0,262.7
52,53,North Carolina,4,121,77,63.6,1049,8.7,9,2,157.70,30.3,262.3
53,54,Michigan State,4,141,88,62.4,1045,7.4,7,1,139.62,35.3,261.3
54,55,Missouri,4,134,83,61.9,1042,7.8,8,3,142.48,33.5,260.5
55,56,Maryland,3,107,54,50.5,781,7.3,9,2,135.80,35.7,260.3
56,57,Tulsa,4,140,81,57.9,1028,7.3,5,1,129.89,35.0,257.0
57,58,Georgia,4,107,81,75.7,1023,9.6,8,1,178.81,26.8,255.8
58,59,BYU,4,139,87,62.6,1016,7.3,3,3,126.79,34.8,254.0
59,59,New Mexico State,4,166,105,63.3,1016,6.1,5,6,117.37,41.5,254.0
60,61,Vanderbilt,3,119,66,55.5,758,6.4,3,3,112.25,39.7,252.7
61,62,South Carolina,4,159,96,60.4,1003,6.3,6,5,119.53,39.8,250.8
62,63,UAB,3,72,45,62.5,746,10.4,8,3,177.87,24.0,248.7
63,64,North Texas,4,142,88,62.0,989,7.0,11,3,141.81,35.5,247.3
64,65,Oregon State,3,109,62,56.9,741,6.8,9,1,139.40,36.3,247.0
65,66,Virginia Tech,3,96,62,64.6,739,7.7,7,4,144.97,32.0,246.3
66,67,Baylor,3,88,62,70.5,731,8.3,8,0,170.24,29.3,243.7
67,68,Wisconsin,3,81,63,77.8,729,9.0,5,0,173.75,27.0,243.0
68,68,Akron,4,151,82,54.3,972,6.4,6,3,117.52,37.8,243.0
69,70,Kentucky,4,139,77,55.4,967,7.0,6,4,122.33,34.8,241.8
70,71,Louisiana-Lafayette,4,124,82,66.1,965,7.8,8,2,149.56,31.0,241.3
71,71,Syracuse,4,140,87,62.1,965,6.9,7,4,130.83,35.0,241.3
72,73,Texas State,4,165,103,62.4,959,5.8,4,7,110.76,41.3,239.8
