,Rank,Name,G,Att,Yards,Avg.,TD,Att/G,Yards/G
0,1,Army,13,785,4710,6.00,50,60.38,362.31
1,2,Navy,13,822,4568,5.56,42,63.23,351.38
2,3,Arizona,13,613,4021,6.56,48,47.15,309.31
3,4,Air Force,12,765,3689,4.82,38,63.75,307.42
4,5,Georgia Tech,11,632,3381,5.35,30,57.45,307.36
5,6,Florida Atlantic,14,665,3994,6.01,52,47.50,285.29
6,7,Notre Dame,13,560,3501,6.25,35,43.08,269.31
7,8,South Florida,12,634,3169,5.00,30,52.83,264.08
8,9,Georgia,15,670,3876,5.79,42,44.67,258.40
9,10,San Diego State,13,575,3282,5.71,33,44.23,252.46
10,11,Mississippi State,13,634,3272,5.16,30,48.77,251.69
11,12,Oregon,13,628,3263,5.20,40,48.31,251.00
12,13,Alabama,14,612,3509,5.73,36,43.71,250.64
13,14,Tulsa,12,592,2967,5.01,36,49.33,247.25
14,15,Louisville,13,495,3186,6.44,33,38.08,245.08
15,16,Ohio,13,554,3179,5.74,44,42.62,244.54
16,17,Ohio State,14,589,3405,5.78,34,42.07,243.21
17,18,UNLV,12,528,2882,5.46,29,44.00,240.17
18,19,New Mexico,12,542,2825,5.21,21,45.17,235.42
19,20,Tulane,12,575,2778,4.83,31,47.92,231.50
20,21,Western Michigan,12,562,2697,4.80,26,46.83,224.75
21,22,Appalachian State,13,530,2907,5.48,27,40.77,223.62
22,23,Wisconsin,14,629,3121,4.96,28,44.93,222.93
23,24,Georgia Southern,12,644,2668,4.14,19,53.67,222.33
24,25,Boston College,13,618,2865,4.64,24,47.54,220.38
25,26,Auburn,14,642,3056,4.76,34,45.86,218.29
26,27,Oklahoma,14,546,3049,5.58,33,39.00,217.79
27,28,LSU,13,563,2699,4.79,25,43.31,207.62
28,29,Toledo,14,558,2856,5.12,32,39.86,204.00
29,30,Stanford,14,480,2833,5.90,31,34.29,202.36
30,31,Colorado State,13,518,2603,5.03,26,39.85,200.23
31,32,Kansas State,13,519,2584,4.98,29,39.92,198.77
32,33,UCF,13,500,2583,5.17,39,38.46,198.69
33,34,Memphis,13,453,2562,5.66,33,34.85,197.08
34,35,Clemson,14,578,2717,4.70,40,41.29,194.07
35,36,Missouri,13,486,2516,5.18,16,37.38,193.54
36,37,Wake Forest,13,537,2456,4.57,22,41.31,188.92
37,38,Rice,12,486,2244,4.62,20,40.50,187.00
38,39,USC,14,543,2591,4.77,29,38.79,185.07
39,40,UTSA,11,445,2030,4.56,11,40.45,184.55
40,41,Southern Mississippi,13,498,2399,4.82,19,38.31,184.54
41,42,SMU,13,486,2397,4.93,26,37.38,184.38
42,43,Louisiana-Lafayette,12,452,2204,4.88,27,37.67,183.67
43,44,Washington,13,473,2382,5.04,37,36.38,183.23
44,44,UAB,13,529,2382,4.50,27,40.69,183.23
45,46,Minnesota,12,525,2189,4.17,20,43.75,182.42
46,47,Oklahoma State,13,505,2337,4.63,34,38.85,179.77
47,48,Northern Illinois,13,558,2312,4.14,18,42.92,177.85
48,49,Michigan,13,529,2310,4.37,26,40.69,177.69
49,50,North Carolina State,13,496,2293,4.62,35,38.15,176.38
50,51,Arizona State,13,565,2281,4.04,27,43.46,175.46
51,52,Northwestern,13,537,2264,4.22,30,41.31,174.15
52,53,TCU,14,533,2438,4.57,27,38.07,174.14
53,54,Virginia Tech,13,584,2254,3.86,19,44.92,173.38
54,55,Louisiana Tech,13,495,2242,4.53,22,38.08,172.46
55,56,Utah State,13,485,2228,4.59,24,37.31,171.38
56,56,Duke,13,547,2228,4.07,22,42.08,171.38
57,58,Louisiana-Monroe,12,459,2044,4.45,27,38.25,170.33
58,59,Penn State,13,451,2212,4.90,36,34.69,170.15
59,60,Hawai'i,12,420,2018,4.80,15,35.00,168.17
60,61,Arkansas,12,462,2016,4.36,24,38.50,168.00
61,62,Michigan State,13,547,2182,3.99,18,42.08,167.85
62,63,Houston,12,446,2002,4.49,25,37.17,166.83
63,64,Charlotte,12,428,1995,4.66,13,35.67,166.25
64,65,Utah,13,526,2132,4.05,22,40.46,164.00
65,66,Old Dominion,12,461,1967,4.27,17,38.42,163.92
66,67,North Texas,14,517,2285,4.42,28,36.93,163.21
67,68,Kentucky,13,488,2102,4.31,27,37.54,161.69
68,69,Maryland,12,436,1940,4.45,19,36.33,161.67
69,70,Syracuse,12,479,1938,4.05,16,39.92,161.50
70,71,Miami (Florida),13,414,2090,5.05,19,31.85,160.77
71,72,Florida International,13,494,2069,4.19,20,38.00,159.15
72,73,Ball State,12,497,1896,3.81,15,41.42,158.00
73,74,Colorado,12,499,1886,3.78,17,41.58,157.17
74,75,Florida,11,400,1720,4.30,15,36.36,156.36
75,76,Coastal Carolina,12,446,1875,4.20,15,37.17,156.25
76,77,Florida State,13,463,2024,4.37,18,35.62,155.69
77,78,Texas A&M,13,506,2023,4.00,26,38.92,155.62
78,79,Fresno State,14,515,2170,4.21,22,36.79,155.00
79,80,Arkansas State,12,463,1831,3.95,17,38.58,152.58
80,81,Kent State,12,520,1830,3.52,10,43.33,152.50
81,82,Bowling Green,12,430,1820,4.23,13,35.83,151.67
82,83,Purdue,13,447,1970,4.41,12,34.38,151.54
83,84,West Virginia,13,460,1954,4.25,18,35.38,150.31
84,85,Troy,13,412,1937,4.70,30,31.69,149.00
85,86,Pittsburgh,12,460,1782,3.87,21,38.33,148.50
86,87,Rutgers,12,436,1765,4.05,19,36.33,147.08
87,88,Miami (Ohio),12,444,1763,3.97,12,37.00,146.92
88,89,Connecticut,12,486,1752,3.60,17,40.50,146.00
89,90,North Carolina,12,427,1730,4.05,17,35.58,144.17
90,91,Boise State,14,532,2009,3.78,25,38.00,143.50
91,92,Middle Tennessee,13,427,1850,4.33,15,32.85,142.31
92,93,Buffalo,12,428,1693,3.96,18,35.67,141.08
93,94,Texas Tech,13,459,1832,3.99,19,35.31,140.92
94,95,Marshall,13,455,1823,4.01,14,35.00,140.23
95,96,Texas,13,507,1815,3.58,24,39.00,139.62
96,97,Iowa,13,481,1810,3.76,17,37.00,139.23
97,98,Oregon State,12,411,1650,4.01,18,34.25,137.50
98,99,Temple,13,461,1773,3.85,15,35.46,136.38
99,100,Cincinnati,12,371,1624,4.38,11,30.92,135.33
100,100,Massachusetts,12,418,1624,3.89,19,34.83,135.33
101,102,Central Michigan,13,454,1743,3.84,19,34.92,134.08
102,102,Texas State,12,480,1609,3.35,11,40.00,134.08
103,104,Mississippi,12,370,1607,4.34,19,30.83,133.92
104,105,BYU,13,404,1697,4.20,12,31.08,130.54
105,106,Indiana,12,449,1561,3.48,11,37.42,130.08
106,107,Eastern Michigan,12,422,1555,3.68,14,35.17,129.58
107,108,Nevada,12,362,1526,4.22,12,30.17,127.17
108,109,California,12,416,1507,3.62,17,34.67,125.58
109,110,Idaho,12,446,1495,3.35,10,37.17,124.58
110,111,South Carolina,13,405,1588,3.92,16,31.15,122.15
111,112,San Jose State,13,483,1561,3.23,6,37.15,120.08
112,113,Tennessee,12,413,1409,3.41,14,34.42,117.42
113,114,Georgia State,12,439,1408,3.21,12,36.58,117.33
114,115,Baylor,12,414,1407,3.40,10,34.50,117.25
115,116,UCLA,13,396,1474,3.72,19,30.46,113.38
116,117,Iowa State,13,427,1470,3.44,16,32.85,113.08
117,118,Wyoming,13,446,1414,3.17,13,34.31,108.77
118,119,East Carolina,12,396,1292,3.26,10,33.00,107.67
119,120,Nebraska,12,368,1290,3.51,13,30.67,107.50
120,121,Vanderbilt,12,348,1286,3.70,14,29.00,107.17
121,122,New Mexico State,13,357,1388,3.89,18,27.46,106.77
122,123,Illinois,12,386,1267,3.28,11,32.17,105.58
123,124,Akron,14,459,1475,3.21,14,32.79,105.36
124,125,Kansas,12,391,1231,3.15,11,32.58,102.58
125,126,South Alabama,12,375,1167,3.11,10,31.25,97.25
126,127,UTEP,12,346,1147,3.32,9,28.83,95.58
127,128,Virginia,13,389,1216,3.13,10,29.92,93.54
128,129,Washington State,13,303,884,2.92,8,23.31,68.00
129,130,Western Kentucky,13,391,791,2.02,15,30.08,60.85
