,Rank,Name,G,Att,Yards,Avg.,TD,Att/G,Yards/G
0,1,Alabama,14,487,1326,2.72,9,34.79,94.71
1,2,Michigan State,13,368,1239,3.37,12,28.31,95.31
2,3,Wisconsin,14,436,1378,3.16,7,31.14,98.43
3,4,Washington,13,459,1311,2.86,11,35.31,100.85
4,5,TCU,14,480,1455,3.03,8,34.29,103.93
5,6,Ohio State,14,501,1471,2.94,13,35.79,105.07
6,7,Troy,13,479,1374,2.87,7,36.85,105.69
7,8,Texas,13,462,1389,3.01,14,35.54,106.85
8,9,Northwestern,13,431,1400,3.25,13,33.15,107.69
9,10,Ohio,13,416,1436,3.45,11,32.00,110.46
10,11,Fresno State,14,463,1588,3.43,13,33.07,113.43
11,12,Clemson,14,512,1608,3.14,5,36.57,114.86
12,13,Kansas State,13,427,1530,3.58,17,32.85,117.69
13,14,Penn State,13,449,1534,3.42,14,34.54,118.00
14,15,Virginia Tech,13,462,1554,3.36,7,35.54,119.54
15,16,Northern Illinois,13,526,1560,2.97,14,40.46,120.00
16,17,Boise State,14,495,1683,3.40,20,35.36,120.21
17,18,Michigan,13,451,1572,3.49,16,34.69,120.92
18,19,Marshall,13,465,1575,3.39,13,35.77,121.15
19,20,Georgia,15,506,1890,3.74,8,33.73,126.00
20,21,South Florida,12,457,1523,3.33,17,38.08,126.92
21,22,UTSA,11,375,1405,3.75,10,34.09,127.73
22,23,Iowa State,13,460,1664,3.62,10,35.38,128.00
23,24,LSU,13,433,1669,3.85,16,33.31,128.38
24,25,Oregon,13,481,1671,3.47,19,37.00,128.54
25,26,North Carolina State,13,435,1703,3.91,15,33.46,131.00
26,27,Utah,13,427,1707,4.00,14,32.85,131.31
27,28,Mississippi State,13,448,1711,3.82,18,34.46,131.62
28,29,Purdue,13,489,1728,3.53,10,37.62,132.92
29,30,Middle Tennessee,13,504,1743,3.46,19,38.77,134.08
30,31,Florida State,13,466,1763,3.78,19,35.85,135.62
31,32,Arkansas State,12,460,1633,3.55,17,38.33,136.08
32,33,San Diego State,13,471,1770,3.76,17,36.23,136.15
33,34,Georgia State,12,396,1637,4.13,14,33.00,136.42
34,35,Auburn,14,529,1918,3.63,11,37.79,137.00
35,36,Appalachian State,13,459,1787,3.89,14,35.31,137.46
36,37,Southern Mississippi,13,478,1800,3.77,21,36.77,138.46
37,38,Oklahoma State,13,506,1829,3.61,23,38.92,140.69
