,Rank,Name,G,Ret.,Yards,Avg.,TD,Ret./G,Yards/G
0,1,Miami (Ohio),12,12,15,1.25,0,1.0,1.3
1,2,Arkansas State,12,4,8,2.00,0,0.3,0.7
2,3,Michigan State,13,12,31,2.58,0,0.9,2.4
3,4,Syracuse,12,9,24,2.67,0,0.8,2.0
4,5,UTSA,11,8,23,2.88,0,0.7,2.1
5,6,Washington State,13,18,52,2.89,0,1.4,4.0
6,7,Baylor,12,20,59,2.95,0,1.7,4.9
7,8,North Texas,14,9,27,3.00,0,0.6,1.9
8,9,Kent State,12,27,92,3.41,0,2.3,7.7
9,10,Toledo,14,4,14,3.50,0,0.3,1.0
10,11,BYU,13,18,64,3.56,0,1.4,4.9
11,12,Arkansas,12,11,40,3.64,0,0.9,3.3
12,13,Boise State,14,17,63,3.71,0,1.2,4.5
13,14,Connecticut,12,17,64,3.76,0,1.4,5.3
14,15,Utah,13,7,27,3.86,0,0.5,2.1
15,16,Marshall,13,16,62,3.88,0,1.2,4.8
16,17,Virginia Tech,13,12,47,3.92,0,0.9,3.6
17,17,Western Michigan,12,26,102,3.92,0,2.2,8.5
18,19,Bowling Green,12,15,64,4.27,0,1.3,5.3
19,20,Penn State,13,17,73,4.29,0,1.3,5.6
20,21,Kentucky,13,19,84,4.42,0,1.5,6.5
21,22,Cincinnati,12,15,67,4.47,0,1.3,5.6
22,23,Florida Atlantic,14,12,54,4.50,0,0.9,3.9
23,24,Memphis,13,5,23,4.60,0,0.4,1.8
24,25,Iowa,13,17,79,4.65,0,1.3,6.1
25,26,Boston College,13,29,135,4.66,0,2.2,10.4
26,27,Wyoming,13,25,118,4.72,0,1.9,9.1
27,28,Illinois,12,30,143,4.77,0,2.5,11.9
28,29,Mississippi State,13,9,43,4.78,0,0.7,3.3
29,30,Navy,13,14,69,4.93,0,1.1,5.3
30,31,Indiana,12,25,124,4.96,1,2.1,10.3
31,32,Colorado,12,15,75,5.00,0,1.3,6.3
32,33,Washington,13,11,58,5.27,0,0.8,4.5
33,34,Houston,12,9,48,5.33,0,0.8,4.0
34,35,Oregon State,12,8,44,5.50,0,0.7,3.7
35,36,Arizona State,13,28,156,5.57,0,2.2,12.0
36,37,Texas Tech,13,12,67,5.58,0,0.9,5.2
37,38,South Carolina,13,15,84,5.60,0,1.2,6.5
38,39,Iowa State,13,16,91,5.69,0,1.2,7.0
39,40,Kansas State,13,17,97,5.71,0,1.3,7.5
40,41,Miami (Florida),13,12,69,5.75,0,0.9,5.3
41,42,Northwestern,13,19,110,5.79,0,1.5,8.5
42,43,Southern Mississippi,13,15,87,5.80,0,1.2,6.7
43,44,Ohio,13,18,105,5.83,0,1.4,8.1
44,45,Georgia,15,17,101,5.94,0,1.1,6.7
45,46,Louisville,13,20,119,5.95,0,1.5,9.2
46,47,Middle Tennessee,13,9,54,6.00,0,0.7,4.2
47,47,Western Kentucky,13,12,72,6.00,0,0.9,5.5
48,47,Minnesota,12,19,114,6.00,0,1.6,9.5
49,50,Florida International,13,12,73,6.08,0,0.9,5.6
50,51,Charlotte,12,18,110,6.11,0,1.5,9.2
51,52,Eastern Michigan,12,16,99,6.19,0,1.3,8.3
52,53,New Mexico State,13,32,200,6.25,0,2.5,15.4
53,54,LSU,13,11,69,6.27,0,0.8,5.3
54,55,Tulane,12,6,38,6.33,0,0.5,3.2
55,56,Old Dominion,12,20,127,6.35,1,1.7,10.6
56,57,Coastal Carolina,12,22,140,6.36,0,1.8,11.7
57,58,Alabama,14,6,39,6.50,0,0.4,2.8
58,59,Oregon,13,20,131,6.55,2,1.5,10.1
