,Rank,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
0,1,Alabama,14,1326,2320,913,3646,3.99,260.4
1,2,Wisconsin,14,1378,2291,831,3669,4.42,262.1
2,3,Michigan,13,1572,1951,779,3523,4.52,271.0
3,4,Clemson,14,1608,2266,908,3874,4.27,276.7
4,5,UTSA,11,1405,1761,636,3166,4.98,287.8
5,6,Georgia,15,1890,2534,943,4424,4.69,294.9
6,7,Michigan State,13,1239,2630,794,3869,4.87,297.6
7,8,Washington,13,1311,2563,876,3874,4.42,298.0
8,9,Ohio State,14,1471,2742,948,4213,4.44,300.9
9,10,Mississippi State,13,1711,2271,761,3982,5.23,306.3
10,11,San Diego State,13,1770,2323,804,4093,5.09,314.8
11,12,LSU,13,1669,2439,811,4108,5.07,316.0
12,13,Virginia Tech,13,1554,2597,820,4151,5.06,319.3
13,14,Auburn,14,1918,2553,957,4471,4.67,319.4
14,15,Fresno State,14,1588,2900,924,4488,4.86,320.6
15,16,Washington State,13,1981,2222,820,4203,5.13,323.3
16,17,Penn State,13,1534,2749,898,4283,4.77,329.5
17,18,Florida State,13,1763,2541,906,4304,4.75,331.1
18,19,TCU,14,1455,3185,916,4640,5.07,331.4
19,20,Southern Mississippi,13,1800,2515,855,4315,5.05,331.9
20,21,Boise State,14,1683,2974,965,4657,4.83,332.6
21,21,Duke,13,1992,2332,828,4324,5.22,332.6
22,23,Wyoming,13,2084,2274,933,4358,4.67,335.2
23,24,Troy,13,1374,3007,916,4381,4.78,337.0
24,25,Utah,13,1707,2692,868,4399,5.07,338.4
25,26,Northern Illinois,13,1560,2841,953,4401,4.62,338.5
26,27,Indiana,12,1925,2156,829,4081,4.92,340.1
27,28,Marshall,13,1575,2867,897,4442,4.95,341.7
28,29,Appalachian State,13,1787,2666,839,4453,5.31,342.5
29,30,Minnesota,12,2066,2094,754,4160,5.52,346.7
30,31,Florida,11,1693,2149,670,3842,5.73,349.3
31,32,Army,13,2248,2298,727,4546,6.25,349.7
32,33,Georgia Tech,11,1690,2207,706,3897,5.52,354.3
33,34,Northwestern,13,1400,3244,926,4644,5.02,357.2
