,Rank,Name,G,Sacks,Sack Yards,Sacks/G
0,1,Army,13,1.0,5,0.08
1,2,Appalachian State,13,8.0,55,0.62
2,3,Fresno State,14,10.0,69,0.71
3,4,Marshall,13,11.0,69,0.85
4,5,UCF,13,13.0,64,1.00
5,5,Colorado State,13,13.0,75,1.00
6,5,Mississippi State,13,13.0,76,1.00
7,5,Navy,13,13.0,78,1.00
8,5,North Carolina State,13,13.0,87,1.00
9,5,Missouri,13,13.0,92,1.00
10,11,Southern Mississippi,13,14.0,99,1.08
11,12,Troy,13,15.0,85,1.15
12,12,Boston College,13,15.0,94,1.15
13,12,New Mexico,12,15.0,98,1.25
14,12,East Carolina,12,15.0,112,1.25
15,16,Florida Atlantic,14,16.0,72,1.14
16,16,Nevada,12,16.0,92,1.33
17,16,Ohio,13,16.0,93,1.23
18,19,Stanford,14,17.0,103,1.21
19,19,Houston,12,17.0,109,1.42
20,19,Buffalo,12,17.0,124,1.42
21,19,Cincinnati,12,17.0,136,1.42
22,23,Oregon State,12,18.0,97,1.50
23,23,South Florida,12,18.0,111,1.50
24,23,Rutgers,12,18.0,116,1.50
25,23,TCU,14,18.0,128,1.29
26,23,Eastern Michigan,12,18.0,129,1.50
27,28,Vanderbilt,12,19.0,120,1.58
28,28,West Virginia,13,19.0,125,1.46
29,28,Arizona,13,19.0,126,1.46
30,28,Iowa State,13,19.0,144,1.46
31,32,Old Dominion,12,20.0,113,1.67
32,32,Georgia Tech,11,20.0,113,1.82
33,32,Wake Forest,13,20.0,114,1.54
34,32,Temple,13,20.0,149,1.54
35,32,Washington,13,20.0,166,1.54
36,37,Wisconsin,14,21.0,117,1.50
37,37,Miami (Ohio),12,21.0,118,1.75
38,37,Louisiana-Monroe,12,21.0,129,1.75
39,37,Memphis,13,21.0,138,1.62
40,37,Michigan State,13,21.0,139,1.62
41,42,Western Michigan,12,22.0,112,1.83
42,42,Ohio State,14,22.0,131,1.57
43,42,Toledo,14,22.0,138,1.57
44,42,Georgia,15,22.0,150,1.47
45,42,Charlotte,12,22.0,152,1.83
46,42,Minnesota,12,22.0,170,1.83
47,48,SMU,13,23.0,144,1.77
48,48,Virginia Tech,13,23.0,150,1.77
49,48,Air Force,12,23.0,155,1.92
50,48,UAB,13,23.0,185,1.77
51,52,Oklahoma State,13,24.0,130,1.85
52,52,UNLV,12,24.0,145,2.00
53,52,Tulane,12,24.0,173,2.00
54,52,Nebraska,12,24.0,173,2.00
55,56,Louisiana Tech,13,25.0,139,1.92
56,56,Georgia State,12,25.0,149,2.08
57,56,UTEP,12,25.0,154,2.08
58,56,Oregon,13,25.0,164,1.92
59,56,Iowa,13,25.0,173,1.92
60,56,Central Michigan,13,25.0,175,1.92
61,56,Middle Tennessee,13,25.0,176,1.92
62,56,South Alabama,12,25.0,180,2.08
63,64,Kansas State,13,26.0,100,2.00
64,64,UTSA,11,26.0,148,2.36
65,64,Tulsa,12,26.0,153,2.17
66,64,BYU,13,26.0,176,2.00
67,64,Wyoming,13,26.0,177,2.00
68,64,Oklahoma,14,26.0,181,1.86
69,70,Alabama,14,27.0,154,1.93
70,70,Northern Illinois,13,27.0,185,2.08
71,72,Coastal Carolina,12,28.0,157,2.33
72,72,Boise State,14,28.0,160,2.00
73,72,Utah State,13,28.0,171,2.15
74,75,Miami (Florida),13,29.0,153,2.23
75,75,Rice,12,29.0,157,2.42
76,75,Penn State,13,29.0,163,2.23
77,75,South Carolina,13,29.0,182,2.23
78,75,Texas A&M,13,29.0,184,2.23
79,75,Kansas,12,29.0,188,2.42
80,75,Duke,13,29.0,203,2.23
81,75,Bowling Green,12,29.0,207,2.42
82,75,Florida International,13,29.0,211,2.23
83,75,Indiana,12,29.0,211,2.42
84,75,UCLA,13,29.0,221,2.23
85,75,Texas Tech,13,29.0,238,2.23
86,87,Notre Dame,13,30.0,143,2.31
87,87,LSU,13,30.0,170,2.31
88,87,Hawai'i,12,30.0,189,2.50
89,87,USC,14,30.0,217,2.14
90,87,North Carolina,12,30.0,235,2.50
91,92,Georgia Southern,12,31.0,176,2.58
92,92,Kentucky,13,31.0,191,2.39
93,92,Virginia,13,31.0,194,2.39
94,92,San Diego State,13,31.0,198,2.39
95,92,Clemson,14,31.0,203,2.21
96,92,Northwestern,13,31.0,213,2.39
97,92,Pittsburgh,12,31.0,221,2.58
98,99,Syracuse,12,32.0,194,2.67
99,99,Louisiana-Lafayette,12,32.0,204,2.67
100,99,New Mexico State,13,32.0,208,2.46
101,99,Florida State,13,32.0,218,2.46
102,99,Mississippi,12,32.0,242,2.67
103,104,Louisville,13,33.0,181,2.54
