,Rank,Name,G,Rush,Pass,Penalty,Total,Total/G
0,1,Oklahoma State,13,118,213,28,359,27.6
1,2,Louisville,13,157,168,27,352,27.1
2,3,Arkansas State,12,105,190,27,322,26.8
3,4,Oklahoma,14,140,202,19,361,25.8
4,4,South Florida,12,166,120,23,309,25.8
5,6,Colorado State,13,134,174,23,331,25.5
6,7,Ohio State,14,173,151,30,354,25.3
7,8,UCF,13,120,170,37,327,25.2
8,8,Memphis,13,106,188,33,327,25.2
9,10,Texas Tech,13,106,188,25,319,24.5
10,11,North Texas,14,131,184,26,341,24.4
11,11,Syracuse,12,108,157,28,293,24.4
12,13,Florida Atlantic,14,209,111,20,340,24.3
13,13,USC,14,134,192,14,340,24.3
14,15,Air Force,12,219,52,19,290,24.2
15,16,SMU,13,121,161,30,312,24.0
16,17,Arizona,13,169,98,40,307,23.6
17,18,Missouri,13,133,150,21,304,23.4
18,18,UCLA,13,98,183,23,304,23.4
19,20,Washington State,13,62,219,22,303,23.3
20,20,East Carolina,12,72,172,35,279,23.3
21,22,North Carolina State,13,118,162,22,302,23.2
22,22,West Virginia,13,112,159,30,301,23.2
23,24,Toledo,14,133,166,23,322,23.0
24,24,Mississippi State,13,182,99,18,299,23.0
25,24,Duke,13,141,136,22,299,23.0
26,24,Utah,13,133,136,30,299,23.0
27,28,Northwestern,13,125,150,22,297,22.8
28,28,Wake Forest,13,125,154,17,296,22.8
29,28,Penn State,13,99,172,25,296,22.8
30,31,Western Kentucky,13,77,193,24,294,22.6
31,31,Colorado,12,124,128,19,271,22.6
32,33,Auburn,14,161,126,25,312,22.3
33,33,New Mexico State,13,82,191,17,290,22.3
34,35,Alabama,14,174,119,18,311,22.2
35,35,Ohio,13,148,104,37,289,22.2
36,35,Virginia Tech,13,126,142,20,288,22.2
37,38,Clemson,14,136,154,19,309,22.1
38,38,California,12,96,139,30,265,22.1
39,40,Oregon,13,162,96,27,285,21.9
40,41,Purdue,13,114,144,24,282,21.7
41,41,Tulsa,12,153,77,30,260,21.7
42,41,Massachusetts,12,82,154,24,260,21.7
43,44,Arizona State,13,130,131,20,281,21.6
44,44,Louisiana Tech,13,121,135,25,281,21.6
45,44,Michigan State,13,117,139,25,281,21.6
46,44,Louisiana-Monroe,12,100,143,16,259,21.6
47,48,TCU,14,133,143,22,298,21.3
48,48,Connecticut,12,95,130,31,256,21.3
49,48,Mississippi,12,86,151,18,255,21.3
50,51,Southern Mississippi,13,120,132,24,276,21.2
51,51,Navy,13,232,29,14,275,21.2
52,51,UNLV,12,142,97,15,254,21.2
53,54,Wisconsin,14,148,128,20,296,21.1
54,54,Boise State,14,109,164,23,296,21.1
55,54,Middle Tennessee,13,100,146,28,274,21.1
56,54,Iowa State,13,77,160,37,274,21.1
57,54,UTSA,11,98,114,20,232,21.1
58,59,Notre Dame,13,145,103,25,273,21.0
59,59,Houston,12,97,139,16,252,21.0
60,59,Indiana,12,79,144,29,252,21.0
61,62,Appalachian State,13,137,114,21,272,20.9
62,62,Buffalo,12,79,145,27,251,20.9
63,64,Washington,13,116,134,21,271,20.8
64,64,Army,13,241,16,13,270,20.8
65,64,Western Michigan,12,141,94,15,250,20.8
66,67,Florida International,13,99,151,19,269,20.7
67,67,Tulane,12,152,78,18,248,20.7
68,67,Miami (Ohio),12,88,135,25,248,20.7
69,70,Texas,13,106,143,17,266,20.5
70,70,Louisiana-Lafayette,12,115,121,10,246,20.5
71,72,Georgia,15,173,112,21,306,20.4
72,72,Marshall,13,94,142,29,265,20.4
73,74,Troy,13,89,151,24,264,20.3
74,74,Eastern Michigan,12,84,140,19,243,20.3
75,76,Northern Illinois,13,126,113,24,263,20.2
76,76,Temple,13,89,152,22,263,20.2
77,78,LSU,13,136,108,16,260,20.0
78,78,Texas A&M,13,96,139,25,260,20.0
79,80,Georgia State,12,86,136,17,239,19.9
80,80,Baylor,12,80,137,22,239,19.9
81,82,Arkansas,12,110,108,20,238,19.8
82,82,Hawai'i,12,101,120,17,238,19.8
83,82,Nevada,12,84,126,28,238,19.8
84,85,Pittsburgh,12,107,116,13,236,19.7
85,85,Cincinnati,12,92,120,24,236,19.7
86,85,North Carolina,12,89,129,18,236,19.7
87,85,Nebraska,12,73,145,18,236,19.7
88,89,San Diego State,13,140,92,23,255,19.6
89,90,Georgia Tech,11,168,32,14,214,19.5
90,91,Fresno State,14,123,131,16,270,19.3
91,91,UAB,13,128,101,22,251,19.3
92,91,Miami (Florida),13,106,128,17,251,19.3
93,91,Bowling Green,12,94,117,21,232,19.3
94,91,Texas State,12,98,106,27,231,19.3
95,96,Utah State,13,101,132,15,248,19.1
96,97,Oregon State,12,95,106,27,228,19.0
97,98,Boston College,13,131,101,14,246,18.9
98,99,Ball State,12,104,107,14,225,18.8
99,100,Kentucky,13,105,112,25,242,18.6
100,101,Virginia,13,78,141,22,241,18.5
101,102,Coastal Carolina,12,108,95,18,221,18.4
102,102,Vanderbilt,12,67,138,16,221,18.4
103,104,Akron,14,90,136,30,256,18.3
104,104,Central Michigan,13,81,128,29,238,18.3
105,106,Florida State,13,110,110,14,234,18.0
106,107,South Carolina,13,92,125,14,231,17.8
107,107,South Alabama,12,69,131,13,213,17.8
108,109,Stanford,14,110,111,27,248,17.7
109,110,New Mexico,12,130,59,22,211,17.6
110,110,Idaho,12,82,112,17,211,17.6
111,112,Michigan,13,115,96,16,227,17.5
112,112,Georgia Southern,12,146,49,15,210,17.5
113,114,Iowa,13,103,106,17,226,17.4
114,115,Kansas State,13,121,89,14,224,17.2
115,115,San Jose State,13,94,110,20,224,17.2
116,115,Rice,12,120,76,10,206,17.2
117,118,Old Dominion,12,87,98,20,205,17.1
118,119,Maryland,12,91,82,28,201,16.8
119,119,Florida,11,83,92,10,185,16.8
120,121,BYU,13,87,116,12,215,16.5
121,122,Minnesota,12,120,61,16,197,16.4
122,122,Tennessee,12,77,95,25,197,16.4
123,124,Kansas,12,66,113,15,194,16.2
124,125,Wyoming,13,76,105,17,198,15.2
125,126,Illinois,12,72,83,19,174,14.5
126,127,Kent State,12,99,57,13,169,14.1
127,128,Charlotte,12,85,70,13,168,14.0
128,129,Rutgers,12,87,59,19,165,13.8
129,130,UTEP,12,69,62,15,146,12.2
