,Rank,Name,G,Attempts,Scores,Score %,TD,TD %,FG,FG %
0,1,Florida International,13,41,40,97.56,30,73.17,10,24.39
1,2,Wyoming,13,34,33,97.06,21,61.76,12,35.29
2,3,Florida,11,31,30,96.77,21,67.74,9,29.03
3,4,Georgia,15,55,53,96.36,39,70.91,14,25.45
4,5,Arizona State,13,53,51,96.23,40,75.47,11,20.75
5,6,Mississippi,12,43,41,95.35,24,55.81,17,39.53
6,7,Wake Forest,13,56,53,94.64,35,62.50,18,32.14
7,8,Florida Atlantic,14,65,61,93.85,50,76.92,11,16.92
8,9,Kansas,12,32,30,93.75,18,56.25,12,37.50
9,10,Louisiana-Lafayette,12,42,39,92.86,32,76.19,7,16.67
10,10,Kentucky,13,42,39,92.86,27,64.29,12,28.57
11,12,Ohio,13,62,57,91.94,50,80.65,7,11.29
12,13,Florida State,13,48,44,91.67,31,64.58,13,27.08
13,14,Notre Dame,13,46,42,91.30,35,76.09,7,15.22
14,15,Miami (Florida),13,43,39,90.70,25,58.14,14,32.56
15,16,Missouri,13,53,48,90.57,35,66.04,13,24.53
16,17,Bowling Green,12,42,38,90.48,22,52.38,16,38.10
17,18,Memphis,13,62,56,90.32,44,70.97,12,19.35
18,19,Oklahoma,14,72,65,90.28,51,70.83,14,19.44
19,20,Clemson,14,51,46,90.20,37,72.55,9,17.65
20,21,Penn State,13,59,53,89.83,46,77.97,7,11.86
21,21,Stanford,14,59,53,89.83,39,66.10,14,23.73
22,23,Ohio State,14,68,61,89.71,45,66.18,16,23.53
23,24,UAB,13,48,43,89.58,34,70.83,9,18.75
24,25,Purdue,13,47,42,89.36,27,57.45,15,31.91
25,26,Oklahoma State,13,75,67,89.33,49,65.33,18,24.00
26,27,Oregon,13,56,50,89.29,44,78.57,6,10.71
27,28,North Texas,14,54,48,88.89,38,70.37,10,18.52
28,28,TCU,14,54,48,88.89,36,66.67,12,22.22
29,28,Georgia Tech,11,36,32,88.89,26,72.22,6,16.67
30,28,Illinois,12,27,24,88.89,14,51.85,10,37.04
31,32,Fresno State,14,53,47,88.68,29,54.72,18,33.96
32,33,Oregon State,12,35,31,88.57,22,62.86,9,25.71
33,34,Arizona,13,52,46,88.46,37,71.15,9,17.31
34,35,Tulsa,12,43,38,88.37,32,74.42,6,13.95
35,36,Northwestern,13,59,52,88.14,41,69.49,11,18.64
36,36,Auburn,14,59,52,88.14,38,64.41,14,23.73
