,Rank,Name,G,Kickoffs,Yards,Avg.,Touchback,Touchback %,Out-Of-Bounds,Onside
0,1,Georgia,15,96,6171,64.28,67,69.79,0,1
1,2,Syracuse,12,69,4427,64.16,31,44.93,6,3
2,3,Wisconsin,14,88,5642,64.11,58,65.91,1,0
3,4,Tennessee,12,51,3268,64.08,33,64.71,1,1
4,5,Texas,13,69,4421,64.07,34,49.28,0,1
5,6,Florida,11,50,3202,64.04,39,78.00,2,2
6,7,Virginia Tech,13,75,4802,64.03,59,78.67,1,1
7,8,Georgia Southern,12,54,3457,64.02,46,85.19,1,1
8,9,Oregon,13,84,5376,64.00,42,50.00,0,1
9,10,South Carolina,13,67,4282,63.91,44,65.67,2,0
10,11,New Mexico,12,48,3062,63.79,39,81.25,1,4
11,12,Florida State,13,75,4782,63.76,40,53.33,2,0
12,13,Mississippi State,13,75,4776,63.68,45,60.00,1,4
13,14,East Carolina,12,62,3947,63.66,40,64.52,2,1
14,15,Boise State,14,84,5342,63.60,53,63.10,1,2
15,16,Connecticut,12,58,3688,63.59,36,62.07,0,1
16,17,Colorado,12,65,4132,63.57,40,61.54,1,1
17,18,North Carolina,12,59,3748,63.53,30,50.85,1,3
18,19,Vanderbilt,12,56,3557,63.52,38,67.86,2,1
19,20,Colorado State,13,83,5271,63.51,45,54.22,2,1
20,20,Texas Tech,13,82,5208,63.51,42,51.22,7,1
21,22,Marshall,13,65,4127,63.49,32,49.23,3,3
22,23,Arizona State,13,75,4756,63.41,52,69.33,1,7
23,24,Florida Atlantic,14,101,6403,63.40,77,76.24,1,3
24,24,Illinois,12,42,2663,63.40,31,73.81,0,3
25,26,LSU,13,72,4553,63.24,33,45.83,1,2
26,26,Middle Tennessee,13,68,4300,63.24,37,54.41,1,0
27,28,Alabama,14,99,6255,63.18,45,45.45,2,0
28,29,Auburn,14,94,5938,63.17,65,69.15,1,0
29,30,Stanford,14,88,5553,63.10,58,65.91,3,0
30,30,Rice,12,39,2461,63.10,27,69.23,3,3
31,32,Miami (Florida),13,75,4729,63.05,32,42.67,3,2
32,33,Pittsburgh,12,58,3653,62.98,29,50.00,0,0
33,34,Boston College,13,68,4279,62.93,35,51.47,2,0
34,35,San Diego State,13,77,4843,62.90,33,42.86,0,0
35,36,Michigan,13,69,4331,62.77,32,46.38,0,0
36,37,California,12,63,3952,62.73,29,46.03,1,3
37,37,Charlotte,12,37,2321,62.73,12,32.43,2,1
38,39,UCLA,13,84,5266,62.69,34,40.48,0,0
39,40,Arizona,13,95,5949,62.62,63,66.32,3,1
40,41,Tulsa,12,67,4195,62.61,30,44.78,0,1
