,Rank,Name,G,Attempts,Conversions,Conversion %
0,1,Army,13,165,91,55.15
1,2,Colorado State,13,183,92,50.27
2,3,Air Force,12,166,81,48.80
3,4,Wisconsin,14,185,90,48.65
4,5,Penn State,13,171,82,47.95
5,6,Ohio State,14,185,86,46.49
6,7,Clemson,14,218,101,46.33
7,8,Mississippi State,13,197,91,46.19
8,9,Boise State,14,203,93,45.81
9,10,TCU,14,199,91,45.73
10,11,Georgia,15,195,89,45.64
11,12,Georgia Tech,11,158,72,45.57
12,13,Oklahoma State,13,180,82,45.56
13,14,Houston,12,178,81,45.51
14,15,Auburn,14,209,95,45.45
15,15,Navy,13,187,85,45.45
16,15,UCF,13,165,75,45.45
17,18,UAB,13,185,84,45.41
18,19,Washington,13,152,69,45.39
19,20,Missouri,13,173,78,45.09
20,21,Michigan State,13,207,93,44.93
21,22,San Diego State,13,165,74,44.85
22,23,Arizona State,13,208,93,44.71
23,24,North Carolina State,13,188,84,44.68
24,25,Texas Tech,13,193,86,44.56
25,26,Arkansas State,12,180,80,44.44
26,27,Marshall,13,187,83,44.39
27,28,Louisville,13,181,80,44.20
28,29,Western Kentucky,13,193,85,44.04
29,30,South Florida,12,205,90,43.90
30,31,New Mexico State,13,210,92,43.81
31,32,Memphis,13,169,74,43.79
32,33,Notre Dame,13,192,84,43.75
33,34,Tulsa,12,190,83,43.68
34,35,Louisiana-Monroe,12,177,77,43.50
35,36,North Texas,14,194,84,43.30
36,37,SMU,13,192,83,43.23
37,38,Florida International,13,183,79,43.17
38,39,Georgia State,12,182,78,42.86
39,39,Troy,13,175,75,42.86
40,41,Stanford,14,176,75,42.61
41,42,Oklahoma,14,162,69,42.59
42,43,Washington State,13,202,86,42.57
43,44,Arizona,13,168,71,42.26
44,45,Arkansas,12,165,69,41.82
45,46,Colorado,12,189,79,41.80
46,47,Vanderbilt,12,168,70,41.67
47,48,UTSA,11,154,64,41.56
48,49,Buffalo,12,169,70,41.42
49,50,Temple,13,198,82,41.41
50,51,LSU,13,174,72,41.38
51,52,East Carolina,12,199,82,41.21
52,52,UCLA,13,182,75,41.21
53,54,Ohio,13,163,67,41.10
54,55,USC,14,190,78,41.05
55,56,Oregon,13,178,73,41.01
56,57,Virginia Tech,13,211,86,40.76
57,58,UNLV,12,172,70,40.70
58,59,Louisiana Tech,13,182,74,40.66
59,60,Alabama,14,178,72,40.45
60,61,California,12,193,78,40.41
61,62,Appalachian State,13,176,71,40.34
62,63,Oregon State,12,164,66,40.24
63,64,Tulane,12,163,65,39.88
64,65,Connecticut,12,191,76,39.79
65,66,Nevada,12,166,66,39.76
66,67,Syracuse,12,224,89,39.73
67,68,Wake Forest,13,194,77,39.69
68,69,Florida Atlantic,14,184,73,39.67
69,70,Western Michigan,12,177,70,39.55
70,71,Akron,14,203,80,39.41
71,72,Kentucky,13,168,66,39.29
72,73,Iowa State,13,186,73,39.25
73,74,Duke,13,209,82,39.23
74,74,Virginia,13,209,82,39.23
75,76,Northern Illinois,13,204,80,39.22
76,77,Toledo,14,179,70,39.11
77,78,Cincinnati,12,172,67,38.95
78,79,Ball State,12,203,79,38.92
79,80,Rice,12,147,57,38.78
80,81,Boston College,13,221,85,38.46
81,82,Hawai'i,12,167,64,38.32
82,83,Mississippi,12,155,59,38.06
83,84,Texas,13,226,86,38.05
84,84,Texas A&M,13,205,78,38.05
85,86,South Carolina,13,171,65,38.01
86,87,Indiana,12,211,80,37.91
87,88,Middle Tennessee,13,178,67,37.64
88,89,Nebraska,12,181,68,37.57
89,90,Miami (Ohio),12,168,63,37.50
90,91,Southern Mississippi,13,193,72,37.31
91,92,Bowling Green,12,176,64,36.36
92,93,Louisiana-Lafayette,12,164,59,35.98
93,94,Coastal Carolina,12,153,55,35.95
94,95,BYU,13,179,64,35.75
95,96,Pittsburgh,12,168,60,35.71
96,97,Fresno State,14,191,68,35.60
97,98,Northwestern,13,203,72,35.47
98,99,Idaho,12,181,64,35.36
99,100,Utah,13,176,62,35.23
100,101,Florida State,13,162,57,35.19
101,102,Georgia Southern,12,191,67,35.08
102,103,Massachusetts,12,173,60,34.68
103,104,Eastern Michigan,12,174,60,34.48
104,105,Iowa,13,180,62,34.44
105,105,Old Dominion,12,180,62,34.44
106,107,Utah State,13,201,69,34.33
107,108,Texas State,12,181,61,33.70
108,109,Minnesota,12,158,53,33.54
109,110,Illinois,12,173,58,33.53
110,111,West Virginia,13,185,62,33.51
111,112,Purdue,13,186,62,33.33
112,112,Kansas State,13,153,51,33.33
113,114,Wyoming,13,181,60,33.15
114,115,Baylor,12,186,61,32.80
115,116,Michigan,13,190,62,32.63
116,117,Florida,11,157,51,32.48
117,118,Rutgers,12,162,52,32.10
118,119,North Carolina,12,165,51,30.91
119,120,South Alabama,12,163,50,30.67
120,120,Tennessee,12,163,50,30.67
121,122,San Jose State,13,190,58,30.53
122,123,Central Michigan,13,184,56,30.43
123,124,New Mexico,12,163,49,30.06
124,125,Kansas,12,201,58,28.86
125,126,Miami (Florida),13,163,47,28.83
126,127,Kent State,12,174,50,28.74
127,128,Maryland,12,161,46,28.57
128,129,UTEP,12,160,43,26.88
129,130,Charlotte,12,173,45,26.01
